GO:0031331,Tbk1,Sirt1,Polr2d,Gabarap,Ppp2ca,Trib1,Rbx1,Cdc20,Pten,Prr5l,Ubqln2,Vdac1,Rchy1,Ddrgk1,Daglb,Psen2,Gigyf2,Disc1,Prickle1,Axin2,Csnk1e,Mdm2,Pabpc1,Tnrc6b,Ralb,Gba,Fbxw8,Kat5,Ldlr,Pip4k2a,Nprl2,Chfr,Xbp1,Nanos1,Hmox1,Ccdc22,Endog,Rab3gap2,Trim13,Fbxo7,Trim8,Plk3,Usp5,Mtdh,Prkcd,Trp53inp1,Hnrnpu,Flcn,Hmgb1,Bbs7,Clec16a,Ago2,Csnk1a1,Trim30d,Smurf1,Ticam1,Hnrnpd,Plk2,Nnt,Paip1,Cnot8,Pafah1b2,Plk1,Ripk2,Pias1,Irs2,Pink1,Snx4,Ulk2,Zfp36l1,Rnf14,Wdr45,Bnip3,Larp1,Csnk1d,Gsk3b,Tsc1,Khsrp,Ptk2b,Ythdf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0031647,Wiz,Ubr5,Chfr,Crebbp,Siah1a,Commd1,Smad3,Prkra,Pfn1,Hsp90aa1,Phb2,Rnf139,Crtap,Dnaja3,Gsn,Hcfc1,Pten,Siah1b,Flna,Tardbp,Cog3,Prnp,Cct4,Cdkn2aip,Golga7,Ncor2,Pik3r1,Tcp1,Trex1,Ep300,Ube2b,Smad7,Ndc80,Rassf2,Rpl5,Hypk,Ddi2,Fbxw11,Rassf1,Hspd1,Tada3,Ccdc88c,Chek2,Stk4,Naa15,Plk1,Usp33,Usp9x,Lamp2,Serf2,Cct2,Get4,Naa16,B4galt5,Pim1,Tmem183a,Ctsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:1903052,Gabarap,Trib1,Rbx1,Cdc20,Pten,Ubqln2,Rchy1,Ddrgk1,Psen2,Disc1,Prickle1,Axin2,Atxn3,Csnk1e,Mdm2,Fmr1,Gba,Fbxw8,Chfr,Rnft2,Ccdc22,Plk3,Usp5,Bbs7,Csnk1a1,Smurf1,Plk2,Plk1,Pias1,Atpif1,Rnf14,Csnk1d,Gsk3b,Ptk2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0043161,Dcaf12,Sirt1,Ube2cbp,Gabarap,Ube2b,Ppp2r5c,Trib1,Rbx1,Cdc20,Ubqln2,Peli1,N4bp1,Rchy1,Asb2,Ddrgk1,Psen2,Ube2d3,Prickle1,Axin2,Atxn3,Csnk1e,Fbxo9,Fbxo33,Mdm2,Gba,Fbxw8,Kat5,Rmnd5a,Sec61b,Akirin2,Foxred2,Fbxl19,Rnf103,Chfr,Smurf2,Fbxl2,Ercc8,Ccdc47,Dtl,Erlin2,Trim13,Stt3b,Plk3,Kctd5,Psmd7,Wwp2,Ubxn7,Ccnf,Usp5,Nrros,Bbs7,Clec16a,Spsb1,Naglu,Csnk1a1,Fbxl20,Smurf1,Apc,Faf2,Erlec1,Mtm1,Plk2,Fbxl8,Taf9,Hectd3,Plk1,Fem1b,Pias1,Trim25,Fbxl5,Psmd2,Cdc34,Rnf14,Otud5,Dnajc10,Appbp2,Derl1,Csnk1d,Gsk3b,Phf20l1,Trib2,Fem1c,Dcaf12,Siah1a,Commd1,Nfe2l2,Smarcc1,Psmc1,Ube2s,Clock,Ube2a,Klhl42,Styx,Clgn,Pcnp,Anapc4,Xpo1,Ppp2cb,Siah1b,Faf1,Fbxl15,Fbxl14,Psmd8,Fbxo3,Ubxn8,Smad7,Ube2g1,Znrf1,Ankib1,Ube2k,Psmd14,Fbxw11,Topors,Spopl,Ube4b,Ubxn2a,Wdr26,Sumo2,Hectd1,Usp9x,Psmc6,Nub1,Eif2ak3,Cul1,Hspa5,Trim2,,,,,,,,,,,,,,,,,,,,,,,,
GO:0061919,Dcaf12,Tbk1,Sirt1,Slc25a46,Gabarap,Phf23,Rab24,Vps33a,Arsb,Rnf213,Tnfaip3,Rragb,Ubqln2,Ctsd,Vmp1,Vdac1,Cltc,Cry1,Npc1,Ddrgk1,Vps16,Cisd2,Usp33,Tecpr1,Arsa,Atg14,Srebf1,Ralb,Gba,Kat5,Pip4k2a,Stx17,Xpa,Nprl2,Xbp1,Mcoln1,Hmox1,Atg5,Fbxl2,Endog,Huwe1,Bcl2,Rab3gap2,Trim13,Tex264,Fbxo7,Trim8,Plk3,Herc1,Mtdh,Fundc1,Trp53inp1,Tbc1d5,Tomm7,Flcn,Hmgb1,Clec16a,Hk2,Atg3,Rragc,Naglu,Trim30d,Ubxn6,Smurf1,Ticam1,Mtm1,Plk2,Zmpste24,Pafah1b2,Eif4g1,Ripk2,Vps11,Wdr41,Pink1,Snx4,Atpif1,Ulk2,Zfyve26,Wdr45,Dram1,Bnip3,Larp1,Gsk3b,Tsc1,Chmp2a,Atg16l1,Mtmr4,Vps41,Irgm1,Ap4m1,Atf6,Stk3,Atp13a2,Ikbkg,Plekhm1,Hif1a,Optn,Mul1,Irgm2,Acbd5,Tmem208,Calm1,Dcaf12,Parl,Pik3r4,Igtp,Usp30,Snx18,Psen1,Park7,Keap1,Anxa7,Lamp2,Fyco1,Nprl3,Tbc1d17,Stub1,Arfip2,Nrbf2,Bid,Nrbp2,Gpsm1,Map1lc3b,Snap29,Rab23,Atg12,Gabarapl2,Zkscan3,Wdr24,Sh3glb1,Fundc2,Rab39b,Atg16l2,Tfeb,Gsk3a,Ift88,Atg2b,,,,,,,,,,,,,
GO:0097193,Creb1,Stat6,Irf3,Stat4,Gata3,Irf1,Foxj3,Stat2,Zfp287,Runx3,Irf2,Foxn3,Runx1,Stat1,Runx2,Irf7,Junb,Tbx21,Atf2,Cbfb,Rxrb,Irf9,Bbx,Zfp212,Foxo1,Mafk,Atf1,Stat5b,Nr3c1,Rora,Nr1d2,Nfe2l2,Foxp1,Atf7,Spi1,Zfp422,Nfe2l1,Dmrt2,Eomes,Zbtb20,Irf8,Arid3a,Foxj2,Batf,Nfatc1,Jund,Cebpb,Vax2,Foxd2,Zscan20,Jdp2,Nr4a2,Nfil3,Gfi1,Crem,Tef,Zbtb3,Homez,Thrb,Ddit3,Jun,Irf4,Meox2,Fos,Isl2,Prdm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0032623,Tnfaip3,Runx1,Tnfsf4,Map3k7,Pde4d,Irf4,Ccr2,Pnp2,Pnp,Cd83,Hdac7,Pde4b,Stat5b,Card11,Ezr,Pawr,Prkcq,Gata3,Malt1,Trim27,Traf6,Plcg2,Ptprc,Anxa1,Gpam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0032743,Runx1,Tnfsf4,Map3k7,Pde4d,Irf4,Ccr2,Pnp2,Pnp,Cd83,Pde4b,Stat5b,Card11,Prkcq,Malt1,Traf6,Plcg2,Ptprc,Anxa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0032663,Tnfaip3,Runx1,Tnfsf4,Map3k7,Pde4d,Irf4,Ccr2,Pnp2,Pnp,Cd83,Hdac7,Pde4b,Stat5b,Card11,Ezr,Prkcq,Gata3,Malt1,Trim27,Traf6,Plcg2,Ptprc,Anxa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO:0071559,Wwox,Zfp36l2,Tgfbr2,Fyn,Smad7,Nfkbiz,Zeb1,Chst11,Pmepa1,Zfp36l1,Tgfb1,Tgfbr3,Bcl9l,Runx3,Bambi,Map3k1,Crebbp,Zeb2,Cited2,Nlk,Dbn1,Smad3,Spred2,Crkl,Zmiz1,Fut8,Runx1,Smad2,Cflar,Acvr1,Sap30,Nr3c1,Mef2c,Ldlrad4,Furin,Got1,Creb1,Trim33,Zfp703,Cdkn2b,Fos,Tab1,Skil,Igf1r,Ep300,Nrros,Parp1,Tgfbr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
