"","kmeans_cluster"
"1700003M07RIK",1
"1700088E04RIK",1
"1700096K18RIK",1
"2010013B24RIK",1
"2200002D01RIK",1
"2210404O09RIK",1
"2700081O15RIK",1
"4930404I05RIK",1
"4930417H01RIK",1
"4930453N24RIK",1
"4930465K10RIK",1
"4930469G21RIK",1
"4930525G20RIK",1
"4930556I23RIK",1
"4930593A02RIK",1
"5031415H12RIK",1
"6030419C18RIK",1
"8030462N17RIK",1
"9030612E09RIK",1
"A230060F14RIK",1
"A230083G16RIK",1
"AC044807.1",1
"AC113029.6",1
"AC151967.1",1
"AC153941.1",1
"ACBD6",1
"AIMP2",1
"AKR1A1",1
"AL589651.2",1
"ANKRD34B",1
"APH1A",1
"ARFIP2",1
"ARFRP1",1
"ARHGEF2",1
"ARHGEF4",1
"ARID4B",1
"ASTE1",1
"ATL3",1
"ATP6V0E",1
"ATXN10",1
"B230217C12RIK",1
"B2M",1
"BABAM1",1
"BC030336",1
"BLVRB",1
"BRAT1",1
"BRWD3",1
"BTD",1
"BUD13",1
"BYSL",1
"C330013E15RIK",1
"CALM2",1
"CAPZA1",1
"CARD9",1
"CCDC148",1
"CCDC167",1
"CCDC94",1
"CD164",1
"CD320",1
"CD3E",1
"CDH7",1
"CENPM",1
"CEP85",1
"CFAP97",1
"CHERP",1
"CHGB",1
"CIR1",1
"CIRBP",1
"CITED1",1
"CLK1",1
"CMPK2",1
"CPSF3",1
"CR1L",1
"CRAMP1L",1
"CRNKL1",1
"CUBN",1
"D730003I15RIK",1
"DDAH2",1
"DEPTOR",1
"DGAT1",1
"DHRS3",1
"DPM3",1
"DRAP1",1
"DYM",1
"E2F5",1
"EFNB2",1
"EFNB3",1
"EHMT2",1
"EIF2S1",1
"EIF2S3X",1
"ENTHD2",1
"EPHA2",1
"ERC1",1
"FAIM",1
"FAM102B",1
"FAM126B",1
"FAM53C",1
"FAM98C",1
"FBXL15",1
"FBXO2",1
"FBXO3",1
"FBXO32",1
"FBXW8",1
"FGFBP3",1
"FLT3L",1
"FOXE3",1
"FRMD5",1
"FUS",1
"FUT1",1
"FV1",1
"GABPB2",1
"GBP10",1
"GLE1",1
"GLG1",1
"GM10083",1
"GM10272",1
"GM10373",1
"GM10710",1
"GM10778",1
"GM11168",1
"GM11430",1
"GM11529",1
"GM11536",1
"GM11561",1
"GM11802",1
"GM12287",1
"GM13015",1
"GM13063",1
"GM13777",1
"GM13792",1
"GM14232",1
"GM14420",1
"GM14963",1
"GM15154",1
"GM15200",1
"GM15469",1
"GM15509",1
"GM15869",1
"GM16066",1
"GM16092",1
"GM16276",1
"GM16423",1
"GM16619",1
"GM17134",1
"GM17182",1
"GM17230",1
"GM20069",1
"GM20432",1
"GM2109",1
"GM21738",1
"GM22033",1
"GM22381",1
"GM22782",1
"GM22806",1
"GM22981",1
"GM23049",1
"GM23476",1
"GM23562",1
"GM23853",1
"GM24067",1
"GM24916",1
"GM25066",1
"GM25091",1
"GM25265",1
"GM25353",1
"GM25569",1
"GM25706",1
"GM25778",1
"GM25948",1
"GM26097",1
"GM26220",1
"GM26308",1
"GM26315",1
"GM26454",1
"GM26490",1
"GM26920",1
"GM27280",1
"GM27624",1
"GM28530",1
"GM36984",1
"GM37249",1
"GM37368",1
"GM37415",1
"GM37545",1
"GM37566",1
"GM38097",1
"GM38275",1
"GM3828",1
"GM5087",1
"GM6209",1
"GM6787",1
"GM6826",1
"GM8241",1
"GM8705",1
"GM8807",1
"GM9581",1
"GM9964",1
"GM9974",1
"GM9978",1
"GM9985",1
"GM9988",1
"GPR155",1
"GPR3",1
"GPSM2",1
"GRIK4",1
"GSDMD",1
"GSE1",1
"HIST1H2AB",1
"HIST1H4J",1
"HIST2H3C1",1
"HMGCLL1",1
"HMX1",1
"HOXA10",1
"HOXD3OS1",1
"HPS6",1
"HS3ST3A1",1
"ICOSL",1
"IFT20",1
"IMPDH1",1
"INIP",1
"INO80D",1
"INTS3",1
"INTS4",1
"IRF2BP1",1
"IWS1",1
"KCNK9",1
"KEAP1",1
"KIF18A",1
"KLHL7",1
"KY",1
"LAMR1-PS1",1
"LARP1",1
"LDLRAD3",1
"LIME1",1
"LINGO1",1
"LONP1",1
"LPCAT3",1
"LPO",1
"LPPR3",1
"LRP11",1
"LRRC29",1
"LSM4",1
"MACROD2",1
"MAF1",1
"MAGEB3",1
"MANSC1",1
"MAP3K11",1
"MAPK7",1
"MARCH11",1
"MAST1",1
"MBOAT1",1
"MDGA1",1
"MED20",1
"METTL9",1
"MIR1957B",1
"MIR6372",1
"MIR6417",1
"MIR6919",1
"MIR7237",1
"MIR7239",1
"MIR8090",1
"MKLN1",1
"MMP9",1
"MND1",1
"MNDAL",1
"MPP4",1
"MRPL17",1
"MSMB",1
"MSMO1",1
"MTX3",1
"MYO19",1
"N-R5S96",1
"NDUFB3",1
"NDUFS3",1
"NEIL3",1
"NFKB2",1
"NHP2",1
"NME4",1
"NOC3L",1
"NOSIP",1
"NPTXR",1
"NRTN",1
"NSG2",1
"NUDC",1
"NXT2",1
"OGFRL1",1
"OLFR1336",1
"ORC3",1
"OSBPL11",1
"PACSIN2",1
"PAQR6",1
"PAX6",1
"PCM1",1
"PDCD2",1
"PDE4A",1
"PDRG1",1
"PFDN6",1
"PHAX",1
"PISD-PS2",1
"PKD2L1",1
"PKP1",1
"PLA2G16",1
"PLEKHF2",1
"PLET1OS",1
"PNPO",1
"POLB",1
"POLR2A",1
"POLR2G",1
"POLR3F",1
"POR",1
"PPAP2B",1
"PPDPF",1
"PPP1CA",1
"PPP1R18OS",1
"PPP2R2C",1
"PROM2",1
"PRR12",1
"PSEN2",1
"PSG20",1
"PSMD2",1
"PSMD3",1
"PTCD3",1
"PTGR1",1
"PTMS",1
"PTPN7",1
"RAB14",1
"RASL11A",1
"RASSF7",1
"RELT",1
"RET",1
"RFT1",1
"RIC1",1
"RIF1",1
"RILPL1",1
"RIOK1",1
"RNASEL",1
"RNF123",1
"RP23-130C18.4",1
"RP23-158G17.1",1
"RP23-207N15.7",1
"RP23-228F6.9",1
"RP23-316M11.8",1
"RP23-418F10.1",1
"RP23-42J4.2",1
"RP23-89M16.5",1
"RP23-97M20.1",1
"RP24-171J16.3",1
"RP24-324D14.5",1
"RP24-404P10.6",1
"RP24-465E5.1",1
"RPL10-PS6",1
"RPL31-PS14",1
"RPL36AL",1
"RPS11",1
"RRM2",1
"SAPCD2",1
"SEC24C",1
"SEMA4C",1
"SEMA5A",1
"SEPT10",1
"SEPT7",1
"SERINC5",1
"SF3A3",1
"SH3GL1",1
"SHE",1
"SIX5",1
"SKA1",1
"SKIDA1",1
"SLC16A5",1
"SLC26A3",1
"SLC27A3",1
"SLC2A4RG-PS",1
"SLC35A5",1
"SLC35E4",1
"SLC37A3",1
"SLC7A7",1
"SLIT3",1
"SMCR8",1
"SMIM8",1
"SNORD34",1
"SNX15",1
"SNX17",1
"SPON1",1
"SRRM2",1
"SSBP4",1
"STRADB",1
"STXBP5L",1
"STXBP6",1
"STYXL1",1
"SUFU",1
"SYNJ1",1
"TACC2",1
"TAF6",1
"TAPBP",1
"TBCE",1
"TCF4",1
"TCF7",1
"TCF7L1",1
"TCP11",1
"TESCL",1
"TIMM10B",1
"TJP1",1
"TKFC",1
"TMBIM7",1
"TMEM177",1
"TMEM181B-PS",1
"TMPRSS4",1
"TNNC1",1
"TNRC18",1
"TOR1AIP1",1
"TRAJ34",1
"TRAM2",1
"TRBJ2-2",1
"TRBV21",1
"TRIM8",1
"TRIOBP",1
"TRMU",1
"TRPM5",1
"1010001B22RIK",2
"1500012F01RIK",2
"1600002K03RIK",2
"1700006E09RIK",2
"1700008K24RIK",2
"1700012C14RIK",2
"1700020M21RIK",2
"1700021K19RIK",2
"1700022N22RIK",2
"1700037C18RIK",2
"1700049J03RIK",2
"1700063H04RIK",2
"1700066J03RIK",2
"1700092C02RIK",2
"1700106J16RIK",2
"1700113B19RIK",2
"2010310C07RIK",2
"2310022A10RIK",2
"2310033P09RIK",2
"2310035C23RIK",2
"2610005L07RIK",2
"2610524H06RIK",2
"2900052L18RIK",2
"2900092N22RIK",2
"3100002H09RIK",2
"3110070M22RIK",2
"4930404H24RIK",2
"4930415O20RIK",2
"4930432B10RIK",2
"4930515G01RIK",2
"4930540M05RIK",2
"4930562C15RIK",2
"4930572O03RIK",2
"4932438H23RIK",2
"4933404K08RIK",2
"4933421A08RIK",2
"4933431E20RIK",2
"5330417C22RIK",2
"5730559C18RIK",2
"6030445D17RIK",2
"6030452D12RIK",2
"6430503K07RIK",2
"9130019P16RIK",2
"9330154J02RIK",2
"9430098F02RIK",2
"A230072C01RIK",2
"A530084C06RIK",2
"ABCA14",2
"ABHD8",2
"ACTA1",2
"ACTL6A",2
"ACTN3",2
"ADAMTS9",2
"ADGRL2",2
"AI593442",2
"AKAP1",2
"AL672160.1",2
"AMER2",2
"AMIGO1",2
"ANKZF1",2
"ANXA6",2
"AP4E1",2
"AP5Z1",2
"AQP6",2
"ART5",2
"ASPSCR1",2
"ATIC",2
"ATOH8",2
"ATP11A",2
"ATP5G1",2
"ATP5O",2
"AUNIP",2
"AV039307",2
"AVPR1A",2
"B3GAT1",2
"B4GAT1",2
"BAIAP2L2",2
"BC004004",2
"BCDIN3D",2
"BLM",2
"BMP2",2
"BOK",2
"BORA",2
"C030005K06RIK",2
"C030039L03RIK",2
"CBX1",2
"CCDC126",2
"CCDC37",2
"CCNK",2
"CCR4",2
"CCR5",2
"CD3EAP",2
"CD55B",2
"CDC20B",2
"CDX1",2
"CEACAM10",2
"CERS2",2
"CFAP53",2
"CGREF1",2
"CHAT",2
"CHCHD5",2
"CHMP4C",2
"CHSY3",2
"CLCN6",2
"CLDN1",2
"CLEC4G",2
"CLNS1A",2
"CMTR2",2
"COBL",2
"COL4A3",2
"CORIN",2
"COX17",2
"CPE",2
"CRYBA2",2
"CRYBA4",2
"CRYGE",2
"CSPP1",2
"CST6",2
"CTHRC1",2
"CTNNBL1",2
"CYYR1",2
"DCAF11",2
"DCAF6",2
"DCP2",2
"DEDD2",2
"DENR",2
"DEPDC7",2
"DHX29",2
"DHX36",2
"DLX2",2
"DLX3",2
"DMRTC1B",2
"DNAH5",2
"DNMT3AOS",2
"DOLK",2
"DSC2",2
"DUSP26",2
"DYNLT1C",2
"ECT2L",2
"EFNA2",2
"EFNA3",2
"EIF5A",2
"ELP5",2
"EMCN",2
"ESP24",2
"F630040K05RIK",2
"FAM122A",2
"FAM13A",2
"FAM160A2",2
"FAM160B1",2
"FAM175A",2
"FAM187A",2
"FAM189B",2
"FAM20A",2
"FAM219A",2
"FAM227A",2
"FAM57B",2
"FAM83H",2
"FITM2",2
"FKBP1B",2
"FLT1",2
"FOXI3",2
"FPR-RS7",2
"FRAT1",2
"FRRS1",2
"FSCN1",2
"FXYD7",2
"G6B",2
"GABRA2",2
"GADD45A",2
"GADD45GIP1",2
"GALK1",2
"GALNT13",2
"GALNT14",2
"GALNT6OS",2
"GCNT7",2
"GFER",2
"GGA3",2
"GID8",2
"GIMAP1OS",2
"GJC1",2
"GM10031",2
"GM10073",2
"GM10094",2
"GM10129",2
"GM10130",2
"GM10190",2
"GM10205",2
"GM10300",2
"GM10308",2
"GM10309",2
"GM10371",2
"GM10418",2
"GM10505",2
"GM10549",2
"GM10550",2
"GM10704",2
"GM10830",2
"GM10837",2
"GM10857",2
"GM11127",2
"GM11172",2
"GM11203",2
"GM11214",2
"GM11291",2
"GM11384",2
"GM11473",2
"GM11523",2
"GM11524",2
"GM11525",2
"GM11533",2
"GM11540",2
"GM11560",2
"GM11657",2
"GM11683",2
"GM11733",2
"GM11792",2
"GM11796",2
"GM11837",2
"GM11890",2
"GM11892",2
"GM11899",2
"GM11906",2
"GM11920",2
"GM11940",2
"GM12003",2
"GM12044",2
"GM12101",2
"GM12260",2
"GM12278",2
"GM12309",2
"GM12310",2
"GM12329",2
"GM12349",2
"GM12446",2
"GM12447",2
"GM12464",2
"GM12475",2
"GM12503",2
"GM12634",2
"GM12644",2
"GM12697",2
"GM12743",2
"GM12801",2
"GM12850",2
"GM12861",2
"GM12862",2
"GM12866",2
"GM12891",2
"GM12892",2
"GM12901",2
"GM12997",2
"GM13002",2
"GM13003",2
"GM13012",2
"GM13028",2
"GM13068",2
"GM13140",2
"GM13152",2
"GM13220",2
"GM13278",2
"GM13283",2
"GM13284",2
"GM13333",2
"GM13357",2
"GM13378",2
"GM13412",2
"GM13524",2
"GM13530",2
"GM13563",2
"GM13584",2
"GM13670",2
"GM13717",2
"GM13737",2
"GM13782",2
"GM13828",2
"GM13986",2
"GM14010",2
"GM14050",2
"GM14088",2
"GM14326",2
"GM14376",2
"GM14377",2
"GM14395",2
"GM14398",2
"GM14443",2
"GM14705",2
"GM15264",2
"GM15283",2
"GM15347",2
"GM15423",2
"GM15491",2
"GM15541",2
"GM15561",2
"GM15607",2
"GM15644",2
"GM15734",2
"GM15787",2
"GM15816",2
"GM15832",2
"GM15846",2
"GM15921",2
"GM15933",2
"GM15983",2
"GM15991",2
"GM16047",2
"GM16052",2
"GM16069",2
"GM16089",2
"GM16098",2
"GM16165",2
"GM16214",2
"GM16307",2
"GM16322",2
"GM16379",2
"GM16518",2
"GM16538",2
"GM16570",2
"GM16580",2
"GM17017",2
"GM17020",2
"GM17098",2
"GM17111",2
"GM17147",2
"GM17181",2
"GM17189",2
"GM17271",2
"GM17359",2
"GM17508",2
"GM17552",2
"GM17953",2
"GM18180",2
"GM18733",2
"GM18766",2
"GM18827",2
"GM19459",2
"GM19560",2
"GM19684",2
"GM20394",2
"GM20417",2
"GM20441",2
"GM20683",2
"GM20702",2
"GM20705",2
"GM21092",2
"GM21960",2
"GM21983",2
"GM22020",2
"GM22021",2
"GM22061",2
"GM22075",2
"GM22154",2
"GM22371",2
"GM22374",2
"GM22460",2
"GM22475",2
"GM22533",2
"GM22536",2
"GM22566",2
"GM22739",2
"GM22752",2
"GM22793",2
"GM22802",2
"GM22825",2
"GM22827",2
"GM22891",2
"GM22929",2
"GM22947",2
"GM22988",2
"GM23153",2
"GM23170",2
"GM23187",2
"GM23287",2
"GM23327",2
"GM23439",2
"GM23442",2
"GM23465",2
"GM23477",2
"GM23530",2
"GM23650",2
"GM23653",2
"GM23665",2
"GM23727",2
"GM23750",2
"GM23813",2
"GM23844",2
"GM23886",2
"GM23917",2
"GM23925",2
"GM23971",2
"GM24126",2
"GM24155",2
"GM24159",2
"GM24164",2
"GM24201",2
"GM24251",2
"GM24279",2
"GM24403",2
"GM24422",2
"GM24445",2
"GM24486",2
"GM24487",2
"GM24517",2
"GM24677",2
"GM24709",2
"GM24770",2
"GM24830",2
"GM24913",2
"GM24987",2
"GM24996",2
"GM25054",2
"GM25168",2
"GM25266",2
"GM25275",2
"GM25303",2
"GM25377",2
"GM25410",2
"GM25419",2
"GM25464",2
"GM25495",2
"GM25534",2
"GM25579",2
"GM25649",2
"GM2566",2
"GM25794",2
"GM25829",2
"GM25870",2
"GM25918",2
"GM25951",2
"GM25961",2
"GM26047",2
"GM26074",2
"GM26100",2
"GM26187",2
"GM26216",2
"GM26245",2
"GM26262",2
"GM26274",2
"GM26277",2
"GM26289",2
"GM26339",2
"GM26396",2
"GM26436",2
"GM26525",2
"GM26550",2
"GM26578",2
"GM26595",2
"GM26597",2
"GM26615",2
"GM26631",2
"GM26645",2
"GM26647",2
"GM26692",2
"GM26704",2
"GM26709",2
"GM26716",2
"GM26744",2
"GM26765",2
"GM26847",2
"GM26871",2
"GM26884",2
"GM26912",2
"GM26957",2
"GM27045",2
"GM27247",2
"GM27295",2
"GM27316",2
"GM27443",2
"GM27517",2
"GM27647",2
"GM27671",2
"GM27675",2
"GM27702",2
"GM27743",2
"GM27753",2
"GM27875",2
"GM27887",2
"GM27893",2
"GM27937",2
"GM28000",2
"GM28041",2
"GM28056",2
"GM28139",2
"GM28140",2
"GM28172",2
"GM28184",2
"GM28198",2
"GM28285",2
"GM28286",2
"GM28450",2
"GM28616",2
"GM28669",2
"GM28706",2
"GM28913",2
"GM29019",2
"GM29462",2
"GM37083",2
"GM37152",2
"GM37359",2
"GM37500",2
"GM37564",2
"GM37600",2
"GM37643",2
"GM37711",2
"GM37903",2
"GM37969",2
"GM37989",2
"GM38045",2
"GM38059",2
"GM38153",2
"GM38204",2
"GM38227",2
"GM38325",2
"GM4473",2
"GM4707",2
"GM5278",2
"GM5900",2
"GM6277",2
"GM6822",2
"GM6829",2
"GM7027",2
"GM7030",2
"GM7887",2
"GM8126",2
"GM8513",2
"GM8817",2
"GM9962",2
"GMEB2",2
"GNAI1",2
"GNAI2",2
"GNAL",2
"GNG12",2
"GNG4",2
"GNG7",2
"GNG8",2
"GNMT",2
"GNPTG",2
"GOLGA2",2
"GOLPH3L",2
"GORASP2",2
"GP1BA",2
"GP5",2
"GPR135",2
"GPR152",2
"GPR4",2
"GPSM3",2
"GRAMD3",2
"GRB10",2
