"","kmeans_cluster"
"GRID2IP",2
"GUCY1A2",2
"H3F3B",2
"HAUS3",2
"HAVCR2",2
"HDAC5",2
"HDGF",2
"HEXB",2
"HIST1H2AJ",2
"HMG20B",2
"HMGB3",2
"HN1L",2
"HNF4G",2
"HOXC13",2
"HS3ST6",2
"HSD17B4",2
"HTR1B",2
"ICAM4",2
"IGHV1-10",2
"IGHV1-11",2
"IGHV1-40",2
"IGHV1-46",2
"IGHV1-54",2
"IGHV1-83",2
"IGKV3-2",2
"IGLC4",2
"IKBKAP",2
"IL11",2
"IPO7",2
"JUN",2
"KCNH3",2
"KCNJ10",2
"KCNJ4",2
"KCNN2",2
"KDM2A",2
"KISS1",2
"KLF17",2
"KLHL23",2
"KLK9",2
"KLRA9",2
"KRT75",2
"L3HYPDH",2
"L3MBTL4",2
"LACE1",2
"LAMA5",2
"LDHA-PS2",2
"LEPR",2
"LGI3",2
"LGI4",2
"LHFPL5",2
"LIAS",2
"LINGO3",2
"LIPF",2
"LMNTD1",2
"LNX1",2
"LOX",2
"LRFN4",2
"LRP4",2
"LRRC4B",2
"LRRC63",2
"LRRC75B",2
"LTA",2
"LTBP4",2
"LYPD5",2
"MAATS1",2
"MAF",2
"MAGOH",2
"MAN2A2",2
"MAP3K3",2
"MAPK13",2
"MAS1",2
"MCTP1",2
"MED9",2
"MEGF10",2
"METTL21A",2
"MGAT2",2
"MIEF1",2
"MIF4GD",2
"MIR128-2",2
"MIR193A",2
"MIR200C",2
"MIR22",2
"MIR26A-2",2
"MIR3059",2
"MIR3093",2
"MIR3098",2
"MIR342",2
"MIR3473C",2
"MIR5124A",2
"MIR6241",2
"MIR6398",2
"MIR6963",2
"MIR6974",2
"MIR7024",2
"MIR7049",2
"MIR7080",2
"MIR7687",2
"MIR8116",2
"MMU-MIR-3065",2
"MMU-MIR-3074-2",2
"MMU-MIR-7092",2
"MMU-MIR-9-1",2
"MORC2A",2
"MORN3",2
"MORN4",2
"MOSPD2",2
"MOSPD3",2
"MPDZ",2
"MPHOSPH9",2
"MPO",2
"MPP1",2
"MPPED2",2
"MPZL2",2
"MRC2",2
"MREG",2
"MRFAP1",2
"MRGBP",2
"MRGPRX3-PS",2
"MRPL42",2
"MSH3",2
"MTAG2",2
"MYB",2
"MYBPHL",2
"MYCBPAP",2
"MYLK3",2
"MZT1",2
"NAB2",2
"NACC1",2
"NAT8B",2
"NCAM2",2
"NDUFB10",2
"NELFE",2
"NHSL2",2
"NICN1",2
"NIPSNAP3B",2
"NKAIN1",2
"NKAIN3",2
"NKX2-5",2
"NOL6",2
"NOS3",2
"NPM3",2
"NSA2",2
"NT5DC2",2
"NTMT1",2
"OLFR1017-PS1",2
"OLFR1105",2
"OLFR181",2
"OLFR322",2
"OLFR443-PS1",2
"OLFR59",2
"OLFR685",2
"OLFR69",2
"OLFR877",2
"OSBPL6",2
"OSBPL7",2
"OSTF1",2
"OXCT2A",2
"P2RX1",2
"P3H4",2
"PAGR1A",2
"PAGR1B",2
"PARVA",2
"PBX2",2
"PCDH19",2
"PCDHB5",2
"PCDHGB4",2
"PCDHGB5",2
"PDE8B",2
"PDHA2",2
"PHF12",2
"PIM1",2
"PKDREJ",2
"PLCXD2",2
"PLEKHB1",2
"PLEKHG3",2
"PLSCR2",2
"POLR3H",2
"POM121L2",2
"PON2",2
"POPDC3",2
"POU3F3",2
"PPHLN1",2
"PPL",2
"PPT2",2
"PRAMEL5",2
"PRDM4",2
"PRDM6",2
"PRKAG1",2
"PRKDC",2
"PRL7A2",2
"PRLH",2
"PROKR2",2
"PRPF31",2
"PRPF38B",2
"PRR33",2
"PRRC2A",2
"PRRC2C",2
"PRSS30",2
"PRSS36",2
"PRSS41",2
"PRSS43",2
"PSMD9",2
"PSRC1",2
"PTCHD2",2
"PTGS2OS2",2
"PTP4A1",2
"PTPN20",2
"PTRF",2
"PXDN",2
"QRICH2",2
"RAB26OS",2
"RAB27B",2
"RAD51D",2
"RAG1",2
"RAPGEF4OS1",2
"RASAL2",2
"RBM25",2
"RBM46",2
"RBMX",2
"RGMA",2
"RHOBTB1",2
"RIPK2",2
"RNF2",2
"RNF34",2
"RP23-172K2.1",2
"RP23-175B24.8",2
"RP23-21D6.2",2
"RP23-298M23.3",2
"RP23-304A10.3",2
"RP23-313F5.1",2
"RP23-313F5.2",2
"RP23-348K12.3",2
"RP23-359M3.4",2
"RP23-376H8.2",2
"RP23-385G21.2",2
"RP23-403C5.3",2
"RP23-434H17.6",2
"RP23-477N9.3",2
"RP23-4P1.6",2
"RP23-56M18.5",2
"RP23-5D6.6",2
"RP23-64I9.2",2
"RP23-97L11.3",2
"RP24-100G24.2",2
"RP24-108G5.4",2
"RP24-122I22.6",2
"RP24-122N24.4",2
"RP24-275F18.4",2
"RP24-314B4.1",2
"RP24-363O21.8",2
"RP24-394C15.4",2
"RP24-399A15.6",2
"RP24-404P10.7",2
"RP24-62O16.3",2
"RP24-63G23.2",2
"RP9",2
"SASH3",2
"SAT1",2
"SAV1",2
"SAXO1OS",2
"SBF2",2
"SBK2",2
"SEPN1",2
"SERHL",2
"SEZ6",2
"SGOL2A",2
"SHANK1",2
"SHISA2",2
"SKAP1",2
"SKIV2L2",2
"SLC11A2",2
"SLC25A18",2
"SLC26A4",2
"SLC35D3",2
"SLC35G2",2
"SLC39A13",2
"SLC39A2",2
"SLC4A1AP",2
"SLC4A4",2
"SLC7A8",2
"SLC9A2",2
"SMARCC2",2
"SNORA74A",2
"SNORD15B",2
"SNORD2",2
"SNRNP25",2
"SNX22",2
"SNX24",2
"SNX6",2
"SNX8",2
"SNX9",2
"SOBP",2
"SOCS2",2
"SOD3",2
"SOHLH2",2
"SORBS1",2
"SORCS1",2
"SP110",2
"SP5",2
"SP6",2
"SP7",2
"SPATA18",2
"SPATA20",2
"SPATA2L",2
"SPATA31D1C",2
"SPATS2L",2
"SPDEF",2
"SPRY1",2
"SQRDL",2
"STEAP2",2
"STK11",2
"STOX1",2
"STX2",2
"STXBP3",2
"SULT6B1",2
"SUPT5",2
"SYT3",2
"SYT7",2
"TAF12",2
"TBC1D13",2
"TDRD7",2
"TESC",2
"TEX16",2
"TEX33",2
"THEM5",2
"TLL2",2
"TLX1OS",2
"TM7SF3",2
"TMCO3",2
"TMEM114",2
"TMEM138",2
"TMEM139",2
"TMEM231",2
"TMEM33",2
"TMEM39B",2
"TMOD2",2
"TMTC2",2
"TNFAIP8",2
"TNFSF13OS",2
"TOM1L1",2
"TOM1L2",2
"TOMM40L",2
"TOP2B",2
"TPGS1",2
"TPT1-PS3",2
"TRAF6",2
"TRAJ19",2
"TRAJ24",2
"TRAJ49",2
"TRBJ1-4",2
"TRIB3",2
"TRIM33",2
"TRP53I11",2
"TSPAN17",2
"TSPAN31",2
"TSPO",2
"TSPYL3",2
"TSR2",2
"TTC16",2
"TTC22",2
"TTC24",2
"TTC25",2
"TTC26",2
"TTC30B",2
"TTC38",2
"TTC39A",2
"TTLL13",2
"TTLL8",2
"TUBA1A",2
"TUBA4A",2
"TUBG1",2
"TUFM",2
"TUFT1",2
"TXNDC17",2
"TXNDC9",2
"TYK2",2
"TYMS",2
"UAP1L1",2
"UBAP2L",2
"UBE2I",2
"UBE2N",2
"UBE2O",2
"UBE2V2",2
"UBE2Z",2
"UBL7",2
"UBN2",2
"UBTD1",2
"UCK1",2
"UCN2",2
"UGT2B38",2
"UHRF1",2
"ULK2",2
"UNC93B1",2
"UPK1B",2
"UQCC3",2
"UQCR11",2
"UQCRC1",2
"URB1",2
"UROS",2
"USB1",2
"USE1",2
"USP33",2
"USP4",2
"UTF1",2
"UTP14A",2
"UTP18",2
"VAMP2",2
"VARS",2
"VAX2",2
"VAX2OS",2
"VEGFA",2
"VHL",2
"VIPR2",2
"VKORC1",2
"VMA21-PS",2
"VMN1R-PS126",2
"VMN1R-PS149",2
"VMN1R-PS66",2
"VMN1R-PS8",2
"VMN1R20",2
"VMN1R22",2
"VMN1R231",2
"VMN1R42",2
"VMN2R-PS126",2
"VMN2R121",2
"VPS11",2
"VPS33A",2
"VPS37A",2
"VPS72",2
"VTI1B",2
"VWA1",2
"VWA5B2",2
"WBP2",2
"WBSCR22",2
"WDR19",2
"WDR25",2
"WDR33",2
"WDR54",2
"WDR55",2
"WDR66",2
"WDR74",2
"WDR76",2
"WDR83",2
"WDR83OS",2
"WDTC1",2
"WFDC10",2
"WI1-49P9.2",2
"XCL1",2
"XK",2
"XLR4B",2
"XPA",2
"XPNPEP3",2
"XPO6",2
"XPO7",2
"XYLT2",2
"YARS2",2
"YBEY",2
"YDJC",2
"YES1",2
"YIF1A",2
"YIPF1",2
"YIPF2",2
"YOD1",2
"YPEL4",2
"YTHDF1",2
"ZAP70",2
"ZBED4",2
"ZBTB3",2
"ZBTB39",2
"ZBTB4",2
"ZBTB48",2
"ZBTB5",2
"ZBTB7A",2
"ZC3H4",2
"ZC3HC1",2
"ZDHHC16",2
"ZDHHC24",2
"ZER1",2
"ZFP11",2
"ZFP131",2
"ZFP142",2
"ZFP174",2
"ZFP229",2
"ZFP280B",2
"ZFP319",2
"ZFP36L3",2
"ZFP385C",2
"ZFP389",2
"ZFP418",2
"ZFP420",2
"ZFP445",2
"ZFP449",2
"ZFP513",2
"ZFP574",2
"ZFP598",2
"ZFP652OS",2
"ZFP658",2
"ZFP689",2
"ZFP719",2
"ZFP747",2
"ZFP764",2
"ZFP772",2
"ZFP773",2
"ZFP775",2
"ZFP784",2
"ZFP850",2
"ZFP873",2
"ZFP9",2
"ZFP932",2
"ZFP936",2
"ZFP937",2
"ZFP942",2
"ZFP943",2
"ZFP952",2
"ZFP956",2
"ZGLP1",2
"ZHX1",2
"ZKSCAN4",2
"ZMAT2",2
"ZMAT5",2
"ZNF512B",2
"ZP1",2
"ZSWIM4",2
"ZYG11B",2
"0610009O20RIK",3
"1500002F19RIK",3
"1600014C10RIK",3
"1700010K24RIK",3
"1700017D01RIK",3
"1700028E10RIK",3
"1810026J23RIK",3
"1810058I24RIK",3
"2010001A14RIK",3
"2010110K18RIK",3
"2310011J03RIK",3
"2610002M06RIK",3
"2810402E24RIK",3
"2810428I15RIK",3
"2900076A07RIK",3
"3110056K07RIK",3
"4732419C18RIK",3
"4930500M09RIK",3
"4930522L14RIK",3
"4930526A20RIK",3
"4933427E11RIK",3
"9830147E19RIK",3
"A430010J10RIK",3
"A730017L22RIK",3
"A830080D01RIK",3
"A930005H10RIK",3
"A930036K24RIK",3
"AA543186",3
"AAED1",3
"ABCA1",3
"ABCB1B",3
"AC124745.1",3
"AC126052.1",3
"AC132393.1",3
"ADARB1",3
"AL589742.2",3
"AL590388.2",3
"ALKBH5",3
"ALMS1",3
"ANP32A",3
"ARG2",3
"ARSB",3
"ATAD1",3
"ATP13A1",3
"ATPIF1",3
"ATRN",3
"AY074887",3
"BC005624",3
