"","gene","kmeans_cluster"
"3909","DOCK11",13
"3910","DOCK2",15
"3911","DOCK3",10
"3912","DOCK4",15
"3913","DOCK5",13
"3914","DOCK6",2
"3915","DOCK8",4
"3916","DOCK9",7
"3917","DOHH",9
"3918","DOK1",14
"3919","DOK2",4
"3920","DOK4",14
"3921","DOK6",13
"3922","DOK7",8
"3923","DOLK",12
"3924","DOLPP1",5
"3925","DONSON",2
"3926","DOPEY1",10
"3927","DOPEY2",15
"3928","DOT1L",1
"3929","DPAGT1",2
"3930","DPCD",13
"3931","DPF1",8
"3932","DPF3",13
"3933","DPH1",5
"3934","DPH2",8
"3935","DPH3",2
"3936","DPH5",5
"3937","DPH6",2
"3938","DPH7",1
"3939","DPM1",15
"3940","DPM2",1
"3941","DPM3",8
"3942","DPP10",8
"3943","DPP4",15
"3944","DPP7",9
"3945","DPP8",2
"3946","DPP9",9
"3947","DPY19L1",13
"3948","DPY19L2",9
"3949","DPY19L3",8
"3950","DPY19L4",10
"3951","DPY30",2
"3952","DPYS",12
"3953","DPYSL3",10
"3954","DPYSL5",8
"3955","DQX1",2
"3956","DR1",10
"3957","DRAM1",5
"3958","DRAM2",15
"3959","DRAP1",2
"3960","DRD4",12
"3961","DRG1",1
"3962","DRG2",12
"3963","DROSHA",5
"3964","DSC2",8
"3965","DSCAML1",9
"3966","DSCC1",11
"3967","DSCR3",5
"3968","DSE",2
"3969","DSP",8
"3970","DST",2
"3971","DSTN",5
"3972","DSTYK",8
"3973","DTD1",4
"3974","DTD2",1
"3975","DTL",10
"3976","DTNB",13
"3977","DTNBP1",10
"3978","DTWD1",1
"3979","DTWD2",9
"3980","DTX1",15
"3981","DTX2",1
"3982","DTX3L",13
"3983","DTX4",13
"3984","DTYMK",1
"3985","DUOX2",2
"3986","DUOXA2",9
"3987","DUS2",9
"3988","DUS3L",10
"3989","DUS4L",2
"3990","DUSP1",5
"3991","DUSP10",15
"3992","DUSP11",15
"3993","DUSP12",8
"3994","DUSP13",10
"3995","DUSP14",14
"3996","DUSP15",9
"3997","DUSP16",13
"3998","DUSP19",1
"3999","DUSP2",13
"4000","DUSP22",4
"4001","DUSP23",9
"4002","DUSP26",8
"4003","DUSP28",4
"4004","DUSP4",15
"4005","DUSP5",10
"4006","DUSP6",15
"4007","DUSP7",9
"4008","DUSP8",13
"4009","DUT",10
"4010","DUXF3",9
"4011","DVL1",1
"4012","DVL2",10
"4013","DVL3",1
"4014","DXO",8
"4015","DYM",13
"4016","DYNC1H1",10
"4017","DYNC1I1",1
"4018","DYNC1I2",9
"4019","DYNC1LI1",2
"4020","DYNC1LI2",2
"4021","DYNC2H1",13
"4022","DYNC2LI1",10
"4023","DYNLL1",14
"4024","DYNLL2",15
"4025","DYNLRB2",5
"4026","DYNLT1A",1
"4027","DYNLT1C",1
"4028","DYNLT1F",1
"4029","DYNLT3",1
"4030","DYRK1A",10
"4031","DYRK1B",10
"4032","DYRK2",15
"4033","DYRK3",13
"4034","DYSF",1
"4035","DYX1C1",9
"4036","DZANK1",10
"4037","DZIP1",10
"4038","DZIP3",4
"4039","E030037K01RIK",1
"4040","E030042O20RIK",2
"4041","E130012A19RIK",2
"4042","E130018N17RIK",4
"4043","E130018O15RIK",8
"4044","E130102H24RIK",13
"4045","E130114P18RIK",1
"4046","E130116L18RIK",1
"4047","E130201H02RIK",9
"4048","E130208F15RIK",2
"4049","E130215H24RIK",15
"4050","E130304I02RIK",14
"4051","E130307A14RIK",10
"4052","E130308A19RIK",7
"4053","E130309D02RIK",8
"4054","E130309D14RIK",8
"4055","E130311K13RIK",1
"4056","E230001N04RIK",1
"4057","E230013L22RIK",10
"4058","E230015B07RIK",4
"4059","E230016K23RIK",8
"4060","E230016M11RIK",4
"4061","E2F1",1
"4062","E2F2",13
"4063","E2F3",1
"4064","E2F4",13
"4065","E2F5",2
"4066","E2F6",14
"4067","E2F7",13
"4068","E2F8",13
"4069","E330009J07RIK",9
"4070","E330011M16RIK",10
"4071","E330020D12RIK",8
"4072","E330021D16RIK",3
"4073","E330040D14RIK",9
"4074","E430018J23RIK",16
"4075","E430024P14RIK",15
"4076","E430025E21RIK",5
"4077","E530001F21RIK",4
"4078","E530011L22RIK",8
"4079","EAF1",2
"4080","EAF2",3
"4081","EAPP",14
"4082","EAR-PS8",9
"4083","EAR10",6
"4084","EARS2",13
"4085","EBAG9",15
"4086","EBF1",9
"4087","EBF2",12
"4088","EBF4",10
"4089","EBNA1BP2",2
"4090","EBP",14
"4091","EBPL",11
"4092","ECD",2
"4093","ECE1",14
"4094","ECE2",12
"4095","ECH1",14
"4096","ECHDC1",4
"4097","ECHDC2",8
"4098","ECHDC3",15
"4099","ECHS1",1
"4100","ECI2",13
"4101","ECSCR",12
"4102","ECSIT",1
"4103","ECT2",13
"4104","EDARADD",4
"4105","EDC3",9
"4106","EDC4",4
"4107","EDEM1",3
"4108","EDEM2",9
"4109","EDEM3",7
"4110","EDIL3",12
"4111","EDRF1",8
"4112","EEA1",5
"4113","EED",5
"4114","EEF1A1",1
"4115","EEF1B2",12
"4116","EEF1D",9
"4117","EEF1E1",10
"4118","EEF1G",8
"4119","EEF2",9
"4120","EEF2K",5
"4121","EEF2KMT",15
"4122","EEFSEC",1
"4123","EEPD1",15
"4124","EFCAB11",2
"4125","EFCAB12",14
"4126","EFCAB14",15
"4127","EFCAB2",10
"4128","EFCAB3",12
"4129","EFCAB7",16
"4130","EFCAB8",6
"4131","EFCAB9",2
"4132","EFEMP2",12
"4133","EFHB",3
"4134","EFHC1",14
"4135","EFHD1",8
"4136","EFHD1OS",6
"4137","EFHD2",5
"4138","EFNA4",1
"4139","EFNB2",3
"4140","EFNB3",8
"4141","EFR3A",5
"4142","EFR3B",12
"4143","EFTUD1",3
"4144","EFTUD2",1
"4145","EGF",4
"4146","EGFL7",9
"4147","EGFLAM",8
"4148","EGFR",12
"4149","EGLN1",2
"4150","EGLN2",5
"4151","EGLN3",15
"4152","EGR1",10
"4153","EGR2",3
"4154","EGR3",10
"4155","EHBP1L1",9
"4156","EHD1",1
"4157","EHD2",9
"4158","EHD3",3
"4159","EHD4",13
"4160","EHHADH",15
"4161","EHMT1",13
"4162","EHMT2",1
"4163","EI24",3
"4164","EID1",2
"4165","EID2",9
"4166","EID2B",8
"4167","EIF1",14
"4168","EIF1A",13
"4169","EIF1AX",14
"4170","EIF1B",15
"4171","EIF2A",3
"4172","EIF2AK1",5
"4173","EIF2AK2",11
"4174","EIF2AK3",13
"4175","EIF2B2",3
"4176","EIF2B3",9
"4177","EIF2B4",12
"4178","EIF2B5",12
"4179","EIF2D",11
"4180","EIF2S1",11
"4181","EIF2S2",3
"4182","EIF2S3X",3
"4183","EIF2S3Y",12
"4184","EIF3A",7
"4185","EIF3B",3
"4186","EIF3C",12
"4187","EIF3D",11
"4188","EIF3E",14
"4189","EIF3F",16
"4190","EIF3H",15
"4191","EIF3J1",13
"4192","EIF3J2",5
"4193","EIF3K",5
"4194","EIF3L",13
"4195","EIF3M",15
"4196","EIF4A-PS4",6
"4197","EIF4A1",14
"4198","EIF4B",3
"4199","EIF4E",10
"4200","EIF4E2",3
"4201","EIF4E3",2
"4202","EIF4EBP1",3
"4203","EIF4EBP2",2
"4204","EIF4ENIF1",3
"4205","EIF4G1",1
"4206","EIF4G2",3
"4207","EIF4G3",14
"4208","EIF4H",14
"4209","EIF5",15
"4210","EIF5A2",10
"4211","EIF5B",12
"4212","EIF6",11
"4213","ELAC1",5
"4214","ELAC2",3
"4215","ELANE",6
"4216","ELAVL1",5
"4217","ELAVL2",12
"4218","ELAVL3",9
"4219","ELAVL4",8
"4220","ELDR",13
"4221","ELF1",3
"4222","ELF2",3
"4223","ELF3",9
"4224","ELF4",7
"4225","ELF5",6
"4226","ELFN1",6
"4227","ELFN2",2
"4228","ELK1",15
"4229","ELK3",7
"4230","ELK4",3
"4231","ELL",12
"4232","ELL2",15
"4233","ELL3",2
"4234","ELMO1",15
"4235","ELMO2",2
"4236","ELMO3",13
"4237","ELMOD2",13
"4238","ELMOD3",14
"4239","ELMSAN1",5
"4240","ELN",8
"4241","ELOF1",2
"4242","ELOVL1",14
"4243","ELOVL2",8
"4244","ELOVL4",1
"4245","ELOVL5",5
"4246","ELOVL6",3
"4247","ELOVL7",5
"4248","ELP2",5
"4249","ELP3",2
"4250","ELP4",3
"4251","ELP5",11
"4252","ELP6",11
"4253","EMB",13
"4254","EMC1",2
"4255","EMC10",3
"4256","EMC2",9
"4257","EMC3",4
"4258","EMC4",10
"4259","EMC6",2
"4260","EMC7",1
"4261","EMC8",13
"4262","EMC9",14
"4263","EMCN",6
"4264","EME1",6
"4265","EME2",6
"4266","EMG1",5
"4267","EMID1",12
"4268","EMILIN1",6
"4269","EMILIN2",8
"4270","EML1",6
"4271","EML2",14
"4272","EML3",1
"4273","EML4",13
"4274","EML5",15
"4275","EML6",2
"4276","EMP1",5
"4277","EMP3",1
"4278","EMX1",3
"4279","EN2",8
"4280","ENAH",9
"4281","ENC1",3
"4282","ENDOG",11
"4283","ENDOU",8
"4284","ENDOV",15
"4285","ENGASE",11
"4286","ENHO",12
"4287","ENKD1",12
"4288","ENKUR",13
"4289","ENO1",14
"4290","ENO2",12
"4291","ENO3",13
"4292","ENO4",8
"4293","ENOPH1",10
"4294","ENOX1",13
"4295","ENOX2",15
"4296","ENPEP",3
"4297","ENPP1",15
"4298","ENPP2",16
"4299","ENPP4",11
"4300","ENPP5",2
"4301","ENSA",14
"4302","ENTHD1",12
"4303","ENTHD2",6
"4304","ENTPD1",3
"4305","ENTPD5",5
"4306","ENTPD6",5
"4307","ENTPD7",13
"4308","ENY2",3
"4309","EOGT",3
"4310","EOMES",3
"4311","EP300",10
"4312","EPAS1",5
"4313","EPB4.1",13
"4314","EPB4.1L1",8
"4315","EPB4.1L2",13
"4316","EPB4.1L4A",12
"4317","EPB4.1L4AOS",1
"4318","EPB4.1L4B",9
"4319","EPB4.1L5",13
"4320","EPC1",5
"4321","EPC2",10
"4322","EPCAM",13
"4323","EPDR1",8
"4324","EPG5",13
"4325","EPGN",6
"4326","EPHA1",14
"4327","EPHA10",9
"4328","EPHA2",12
"4329","EPHA3",7
"4330","EPHA5",8
"4331","EPHA6",12
"4332","EPHA8",9
"4333","EPHB2",10
"4334","EPHB3",5
"4335","EPHB6",14
"4336","EPHX1",2
"4337","EPHX2",12
"4338","EPHX3",6
"4339","EPHX4",6
"4340","EPM2AIP1",3
"4341","EPN1",2
"4342","EPN2",13
"4343","EPO",10
"4344","EPOR",9
"4345","EPRS",3
"4346","EPS15",14
"4347","EPS15L1",12
"4348","EPS8",4
"4349","EPS8L1",9
"4350","EPS8L2",9
"4351","EPSTI1",13
"4352","EPX",4
"4353","ERAL1",1
"4354","ERAP1",5
"4355","ERBB2IP",13
"4356","ERBB3",8
"4357","ERC1",2
"4358","ERCC1",2
"4359","ERCC2",9
"4360","ERCC3",15
"4361","ERCC4",15
"4362","ERCC5",9
"4363","ERCC6",3
"4364","ERCC6L",3
"4365","ERCC6L2",3
"4366","ERCC8",5
"4367","EREG",8
"4368","ERF",14
"4369","ERG",9
"4370","ERGIC1",10
"4371","ERGIC2",5
"4372","ERH",2
"4373","ERI1",3
"4374","ERI2",3
"4375","ERI3",5
"4376","ERICH1",10
"4377","ERICH4",13
"4378","ERICH5",8
"4379","ERLIN1",3
"4380","ERLIN2",10
"4381","ERMN",15
"4382","ERMP1",15
"4383","ERN1",13
"4384","ERO1L",2
"4385","ERO1LB",6
"4386","ERP29",12
"4387","ERP44",5
"4388","ERRFI1",14
"4389","ESCO1",1
"4390","ESCO2",13
"4391","ESD",11
"4392","ESM1",12
"4393","ESP23",8
"4394","ESPL1",10
"4395","ESPN",11
"4396","ESR1",13
"4397","ESR2",8
"4398","ESRP1",8
"4399","ESRP2",11
"4400","ESRRG",8
"4401","ESYT2",3
"4402","ESYT3",14
"4403","ETAA1",1
"4404","ETAA1OS",14
"4405","ETF1",14
"4406","ETFA",8
"4407","ETFB",3
"4408","ETFDH",2
"4409","ETHE1",8
"4410","ETNK1",15
"4411","ETNK2",12
"4412","ETNPPL",2
"4413","ETOHD2",1
"4414","ETOS1",13
"4415","ETS1",15
"4416","ETS2",5
"4417","ETV1",4
"4418","ETV3",10
"4419","ETV4",8
"4420","ETV5",15
"4421","ETV6",15
"4422","EVA1A",9
"4423","EVA1B",5
"4424","EVA1C",1
"4425","EVC",8
"4426","EVI2A",8
"4427","EVI2B",12
"4428","EVI5",6
"4429","EVI5L",13
"4430","EVL",10
"4431","EVPL",9
"4432","EVX2",9
"4433","EWSR1",13
"4434","EXD2",13
"4435","EXO1",13
"4436","EXO5",1
"4437","EXOC1",15
"4438","EXOC2",13
"4439","EXOC3",13
"4440","EXOC3L",10
"4441","EXOC4",14
"4442","EXOC5",2
"4443","EXOC6",1
"4444","EXOC6B",15
"4445","EXOC8",13
"4446","EXOG",13
"4447","EXOSC10",1
"4448","EXOSC2",9
"4449","EXOSC3",12
"4450","EXOSC5",13
"4451","EXOSC8",1
"4452","EXPH5",9
"4453","EXT1",15
"4454","EXT2",4
"4455","EXTL2",3
"4456","EXTL3",5
"4457","EYA1",4
"4458","EYA2",4
"4459","EYA3",2
"4460","EZH1",9
"4461","EZH2",13
"4462","EZR",10
"4463","F11R",6
"4464","F2R",15
"4465","F2RL1",15
"4466","F2RL2",4
"4467","F2RL3",1
"4468","F730035M05RIK",12
"4469","F730035P03RIK",4
"4470","F730043M19RIK",10
"4471","F730311O21RIK",8
"4472","F8",1
"4473","F8A",2
"4474","F930015N05RIK",9
"4475","FA2H",8
"4476","FAAH",15
"4477","FAAP100",16
"4478","FAAP20",12
"4479","FAAP24",14
"4480","FABP12",8
"4481","FABP3",8
"4482","FABP5",13
"4483","FABP5L2",3
"4484","FADD",11
"4485","FADS1",11
"4486","FADS2",6
"4487","FADS3",8
"4488","FADS6",16
"4489","FAF1",3
"4490","FAF2",9
"4491","FAH",15
"4492","FAHD1",6
"4493","FAHD2A",3
"4494","FAIM",7
"4495","FAM101B",1
"4496","FAM102A",15
"4497","FAM102B",11
"4498","FAM103A1",1
"4499","FAM104A",14
"4500","FAM105A",5
"4501","FAM107A",4
"4502","FAM107B",3
"4503","FAM109B",14
"4504","FAM110A",13
"4505","FAM110B",9
"4506","FAM111A",13
"4507","FAM114A1",8
"4508","FAM114A2",16
"4509","FAM117A",9
"4510","FAM117B",15
"4511","FAM118A",4
"4512","FAM118B",11
"4513","FAM120A",5
"4514","FAM120AOS",7
"4515","FAM120B",8
"4516","FAM120C",10
"4517","FAM122A",14
"4518","FAM122B",14
"4519","FAM122C",2
"4520","FAM124A",6
"4521","FAM124B",14
"4522","FAM126A",3
"4523","FAM126B",13
"4524","FAM129A",13
"4525","FAM129B",6
"4526","FAM129C",1
"4527","FAM131A",1
"4528","FAM131B",11
"4529","FAM131C",6
"4530","FAM132B",6
"4531","FAM133B",11
"4532","FAM134A",11
"4533","FAM134B",10
"4534","FAM135A",9
"4535","FAM135B",12
"4536","FAM136A",11
"4537","FAM13A",8
"4538","FAM13B",13
"4539","FAM149B",3
"4540","FAM150A",8
"4541","FAM151B",8
"4542","FAM159A",12
"4543","FAM159B",10
"4544","FAM160A2",11
"4545","FAM160B1",3
"4546","FAM160B2",2
"4547","FAM161A",3
"4548","FAM161B",1
"4549","FAM162A",15
"4550","FAM162B",1
"4551","FAM163A",13
"4552","FAM163B",9
"4553","FAM167A",6
"4554","FAM168A",2
"4555","FAM168B",10
"4556","FAM169B",13
"4557","FAM171A2",8
"4558","FAM171B",15
"4559","FAM172A",13
"4560","FAM173A",8
"4561","FAM173B",4
"4562","FAM174A",15
"4563","FAM174B",1
"4564","FAM175B",13
"4565","FAM178A",1
"4566","FAM178B",14
"4567","FAM179B",10
"4568","FAM184A",15
"4569","FAM184B",14
"4570","FAM185A",5
"4571","FAM187A",1
"4572","FAM187B",1
"4573","FAM188A",13
"4574","FAM188B",8
"4575","FAM192A",1
"4576","FAM193A",12
"4577","FAM195B",2
"4578","FAM198B",15
"4579","FAM199X",9
"4580","FAM19A1",1
"4581","FAM19A2",6
"4582","FAM19A3",5
"4583","FAM19A5",6
"4584","FAM206A",4
"4585","FAM207A",2
"4586","FAM208A",7
"4587","FAM208B",10
"4588","FAM20A",8
"4589","FAM20B",13
"4590","FAM21",14
"4591","FAM210A",13
"4592","FAM210B",1
"4593","FAM212A",9
"4594","FAM212B",13
"4595","FAM213A",5
"4596","FAM213B",14
"4597","FAM214A",15
"4598","FAM214B",5
"4599","FAM216A",13
"4600","FAM219A",1
"4601","FAM219B",12
"4602","FAM220A",3
"4603","FAM221A",4
"4604","FAM221B",2
"4605","FAM222A",1
"4606","FAM222B",1
"4607","FAM227B",2
"4608","FAM228B",2
"4609","FAM229A",8
"4610","FAM229B",10
"4611","FAM24A",8
"4612","FAM26E",12
"4613","FAM26F",13
"4614","FAM35A",1
"4615","FAM3A",1
"4616","FAM3B",8
"4617","FAM3C",15
"4618","FAM43A",13
"4619","FAM45A",6
"4620","FAM46A",15
"4621","FAM46B",8
"4622","FAM46C",2
"4623","FAM46D",13
"4624","FAM49A",12
"4625","FAM49B",3
"4626","FAM50A",10
"4627","FAM53B",13
"4628","FAM53C",1
"4629","FAM57A",1
"4630","FAM58B",8
"4631","FAM60A",3
"4632","FAM63A",8
"4633","FAM63B",10
"4634","FAM64A",2
"4635","FAM65A",1
"4636","FAM65B",1
"4637","FAM65C",8
"4638","FAM69A",10
"4639","FAM69B",2
"4640","FAM71E1",2
"4641","FAM71F2",9
"4642","FAM72A",11
"4643","FAM73A",10
"4644","FAM73B",1
"4645","FAM76A",3
"4646","FAM76B",8
"4647","FAM78A",3
"4648","FAM78B",11
"4649","FAM81A",3
"4650","FAM83D",10
"4651","FAM83E",11
"4652","FAM83F",6
"4653","FAM83G",3
"4654","FAM83H",6
"4655","FAM84A",12
"4656","FAM84B",13
"4657","FAM89A",11
"4658","FAM8A1",15
"4659","FAM90A1A",12
"4660","FAM90A1B",13
"4661","FAM92A",9
"4662","FAM92B",14
"4663","FAM96A",1
"4664","FAM96B",3
"4665","FAM98A",3
"4666","FAM98B",13
"4667","FAM98C",13
"4668","FAN1",7
"4669","FANCB",12
"4670","FANCC",15
"4671","FANCD2",2
"4672","FANCD2OS",8
"4673","FANCE",15
"4674","FANCF",1
"4675","FANCG",4
"4676","FANCI",13
"4677","FANCL",14
"4678","FANCM",10
"4679","FAR1",4
"4680","FAR2",9
"4681","FAR2OS2",9
"4682","FARP1",15
"4683","FARP2",11
"4684","FARS2",14
"4685","FARSA",1
"4686","FARSB",13
"4687","FAS",1
"4688","FASL",3
"4689","FASN",2
"4690","FASTK",2
"4691","FASTKD1",13
"4692","FASTKD2",1
"4693","FASTKD3",4
"4694","FASTKD5",10
"4695","FAU-PS2",8
"4696","FAXC",13
"4697","FBF1",1
"4698","FBL",14
"4699","FBLIM1",8
"4700","FBLN2",6
"4701","FBLN5",8
"4702","FBLN7",12
"4703","FBN1",8
"4704","FBP1",12
"4705","FBRSL1",14
"4706","FBXL12",2
"4707","FBXL12OS",13
"4708","FBXL13",13
"4709","FBXL14",13
"4710","FBXL15",2
"4711","FBXL16",8
"4712","FBXL17",14
"4713","FBXL18",1
"4714","FBXL19",13
"4715","FBXL2",13
"4716","FBXL20",1
"4717","FBXL21",1
"4718","FBXL3",13
"4719","FBXL4",13
"4720","FBXL5",15
"4721","FBXL6",12
"4722","FBXL7",9
"4723","FBXL8",13
"4724","FBXO10",1
"4725","FBXO11",3
"4726","FBXO16",8
"4727","FBXO17",8
"4728","FBXO18",5
"4729","FBXO2",2
"4730","FBXO21",1
"4731","FBXO22",2
"4732","FBXO24",12
"4733","FBXO25",5
"4734","FBXO27",13
"4735","FBXO28",1
"4736","FBXO3",14
"4737","FBXO30",1
"4738","FBXO31",1
"4739","FBXO32",2
"4740","FBXO33",13
"4741","FBXO34",10
"4742","FBXO36",14
"4743","FBXO38",13
"4744","FBXO39",8
"4745","FBXO4",13
"4746","FBXO40",4
"4747","FBXO41",8
"4748","FBXO42",14
"4749","FBXO43",1
"4750","FBXO44",2
"4751","FBXO45",12
"4752","FBXO46",14
"4753","FBXO47",12
"4754","FBXO5",5
"4755","FBXO6",12
"4756","FBXO7",4
"4757","FBXO8",4
"4758","FBXO9",10
"4759","FBXW11",2
"4760","FBXW17",1
"4761","FBXW2",5
"4762","FBXW4",2
"4763","FBXW7",15
"4764","FBXW8",10
"4765","FBXW9",1
"4766","FCAMR",8
"4767","FCF1",10
"4768","FCGR2B",12
"4769","FCGR3",1
"4770","FCGRT",8
"4771","FCHO1",1
"4772","FCHO2",5
"4773","FCHSD1",9
"4774","FCHSD2",15
"4775","FCMR",4
"4776","FCNAOS",9
"4777","FCOR",1
"4778","FCRL1",9
"4779","FCRLA",8
"4780","FCRLS",15
"4781","FDFT1",10
"4782","FDPS",8
"4783","FDX1",13
"4784","FDX1L",8
"4785","FDXR",13
"4786","FECH",13
"4787","FEM1A",2
"4788","FEM1B",10
"4789","FEM1C",15
"4790","FEN1",5
"4791","FER1L5",1
"4792","FERMT1",9
"4793","FERMT3",1
"4794","FES",8
"4795","FEZ2",15
"4796","FEZF2",12
"4797","FGA",1
"4798","FGD1",12
"4799","FGD2",8
"4800","FGD3",4
"4801","FGD4",9
"4802","FGD5",12
"4803","FGD6",13
"4804","FGF1",1
"4805","FGF10",2
"4806","FGF12",9
"4807","FGF13",15
"4808","FGF15",13
"4809","FGF16",9
"4810","FGF18",8
"4811","FGF2",1
"4812","FGF20",10
"4813","FGF21",9
"4814","FGF2OS",8
"4815","FGF4",8
"4816","FGF8",1
"4817","FGFBP3",2
"4818","FGFR1OP2",8
"4819","FGFR2",8
"4820","FGFR3",8
"4821","FGFR4",14
"4822","FGFRL1",5
"4823","FGGY",15
"4824","FGL2",15
"4825","FGR",8
"4826","FH1",13
"4827","FHAD1",10
"4828","FHAD1OS2",9
"4829","FHDC1",9
"4830","FHIT",15
"4831","FHL1",8
"4832","FHL2",15
"4833","FHL3",2
"4834","FHL4",2
"4835","FHOD1",10
"4836","FHOD3",9
"4837","FIBIN",9
"4838","FIBP",2
"4839","FICD",2
"4840","FIG4",10
"4841","FIGF",2
"4842","FIGNL1",15
"4843","FILIP1",15
"4844","FILIP1L",2
"4845","FIP1L1",5
"4846","FIRRE",15
"4847","FIS1",4
"4848","FITM2",14
"4849","FIZ1",2
"4850","FJX1",15
"4851","FKBP11",14
"4852","FKBP14",2
"4853","FKBP15",5
"4854","FKBP1A",3
"4855","FKBP2",6
"4856","FKBP3",10
"4857","FKBP4",11
"4858","FKBP5",13
"4859","FKBP7",3
"4860","FKBP8",9
"4861","FKBP9",12
"4862","FKBPL",6
"4863","FKRP",1
"4864","FKTN",2
"4865","FLAD1",8
"4866","FLCN",8
"4867","FLI1",8
"4868","FLII",8
"4869","FLNA",10
"4870","FLNB",15
"4871","FLNC",8
"4872","FLOT1",2
"4873","FLT1",9
"4874","FLT3",12
"4875","FLT3L",5
"4876","FLT4",8
"4877","FLYWCH1",2
"4878","FLYWCH2",8
"4879","FMN1",15
"4880","FMNL1",3
"4881","FMNL2",8
"4882","FMNL3",14
"4883","FMO2",12
"4884","FMO5",1
"4885","FMR1",14
"4886","FMR1OS",1
"4887","FN1",9
"4888","FN3K",9
"4889","FN3KRP",14
"4890","FNBP1",3
"4891","FNBP1L",9
"4892","FNBP4",12
"4893","FNDC1",9
"4894","FNDC3A",5
"4895","FNDC3B",5
"4896","FNDC8",2
"4897","FNIP1",6
"4898","FNIP2",2
"4899","FNTA",2
"4900","FNTB",5
"4901","FOCAD",13
"4902","FOS",5
"4903","FOSB",14
"4904","FOSL1",2
"4905","FOSL2",5
"4906","FOXA2",12
"4907","FOXA3",2
"4908","FOXB2",8
"4909","FOXC1",8
"4910","FOXC2",11
"4911","FOXD1",8
"4912","FOXD2",13
"4913","FOXD2OS",5
"4914","FOXE1",9
"4915","FOXH1",1
"4916","FOXI2",8
"4917","FOXI3",9
"4918","FOXJ1",1
"4919","FOXJ2",5
"4920","FOXJ3",10
"4921","FOXK1",3
"4922","FOXK2",8
"4923","FOXL2",2
"4924","FOXL2OS",1
"4925","FOXM1",13
"4926","FOXN1",9
"4927","FOXN2",5
"4928","FOXN3",3
"4929","FOXO1",1
"4930","FOXO3",2
"4931","FOXO4",1
"4932","FOXO6",13
"4933","FOXO6OS",14
"4934","FOXP1",15
"4935","FOXP2",12
"4936","FOXP3",14
"4937","FOXP4",2
"4938","FOXQ1",8
"4939","FOXRED1",1
"4940","FOXRED2",10
"4941","FPGS",1
"4942","FPGT",14
"4943","FPR-RS7",8
"4944","FRA10AC1",5
"4945","FRAS1",6
"4946","FRAT1",10
"4947","FRAT2",1
"4948","FRG1",13
"4949","FRMD3",8
"4950","FRMD4A",3
"4951","FRMD4B",3
"4952","FRMD5",15
"4953","FRMD6",15
"4954","FRMD8",8
"4955","FRMD8OS",1
"4956","FRMPD4",13
"4957","FRRS1",8
"4958","FRRS1L",8
"4959","FRS2",5
"4960","FRS3",2
"4961","FRY",7
"4962","FRYL",15
"4963","FRZB",9
"4964","FSCN1",9
"4965","FSCN3",12
"4966","FSD1L",12
"4967","FSD2",2
"4968","FSIP1",15
"4969","FSIP2",4
"4970","FST",9
"4971","FSTL5",12
"4972","FTH1",5
"4973","FTL1",3
"4974","FTO",14
"4975","FTSJ1",14
"4976","FTSJ2",3
"4977","FTSJ3",11
"4978","FTX",2
"4979","FUBP1",5
"4980","FUBP3",9
"4981","FUCA1",9
"4982","FUCA2",6
"4983","FUK",9
"4984","FUNDC1",15
"4985","FUNDC2",2
"4986","FUOM",6
"4987","FURIN",5
"4988","FUS",9
"4989","FUT1",6
"4990","FUT11",5
"4991","FUT4",6
"4992","FUT7",14
"4993","FUT8",7
"4994","FUT9",9
"4995","FUZ",15
"4996","FV1",12
"4997","FXN",11
"4998","FXR1",14
"4999","FXYD1",6
"5000","FXYD5",5
"5001","FXYD7",12
"5002","FYB",7
"5003","FYCO1",5
"5004","FYN",5
"5005","FYTTD1",3
"5006","FZD3",9
"5007","FZD4",2
"5008","FZD5",3
"5009","FZD6",9
"5010","FZD7",5
"5011","FZD9",12
"5012","G0S2",6
"5013","G2E3",3
"5014","G3BP2",5
"5015","G430095P16RIK",9
"5016","G530011O06RIK",13
"5017","G630016G05RIK",1
"5018","G630030J09RIK",14
"5019","G630090E17RIK",10
"5020","G6PC2",5
"5021","G6PC3",6
"5022","G6PDX",5
"5023","G730003C15RIK",3
"5024","G730013B05RIK",15
"5025","G730046D07RIK",6
"5026","GAA",16
"5027","GAB1",9
"5028","GAB3",15
"5029","GABARAP",14
"5030","GABARAPL1",16
"5031","GABARAPL2",11
"5032","GABBR1",11
"5033","GABBR2",9
"5034","GABPA",5
"5035","GABPB1",7
"5036","GABPB2",6
"5037","GABRA2",6
"5038","GABRA4",10
"5039","GABRB1",10
"5040","GABRB3",15
"5041","GABRR3",15
"5042","GAD1",1
"5043","GAD2",12
"5044","GADD45A",12
"5045","GADD45B",1
"5046","GADD45G",11
"5047","GADD45GIP1",14
"5048","GADL1",9
"5049","GAK",7
"5050","GALC",15
"5051","GALE",6
"5052","GALK1",16
"5053","GALK2",10
"5054","GALM",5
"5055","GALNT1",11
"5056","GALNT10",2
"5057","GALNT11",3
"5058","GALNT12",5
"5059","GALNT14",6
"5060","GALNT2",5
"5061","GALNT3",15
"5062","GALNT4",11
"5063","GALNT6",11
"5064","GALNT7",5
"5065","GALNTL6",5
"5066","GALP",4
"5067","GALR2",6
"5068","GALT",11
"5069","GAMT",3
"5070","GAN",11
"5071","GANAB",12
"5072","GANC",3
"5073","GAP43",3
"5074","GAPDH",10
"5075","GAPVD1",5
"5076","GAR1",10
