"","gene","kmeans_cluster"
"261","2010110K18RIK",2
"262","2010204K13RIK",1
"263","2010300C02RIK",12
"264","2010310C07RIK",1
"265","2010315B03RIK",4
"266","2200002D01RIK",13
"267","2210013O21RIK",10
"268","2210015D19RIK",10
"269","2210016F16RIK",13
"270","2210016L21RIK",8
"271","2210018M11RIK",13
"272","2210404O09RIK",13
"273","2210406O10RIK",2
"274","2210408F21RIK",3
"275","2210408I21RIK",1
"276","2210409E12RIK",13
"277","2210417A02RIK",15
"278","2300002M23RIK",8
"279","2300009A05RIK",10
"280","2310001H17RIK",15
"281","2310001K24RIK",1
"282","2310002F09RIK",2
"283","2310005E17RIK",9
"284","2310009A05RIK",4
"285","2310009B15RIK",10
"286","2310010J17RIK",10
"287","2310014F06RIK",9
"288","2310015A10RIK",1
"289","2310016D23RIK",6
"290","2310022B05RIK",13
"291","2310026I22RIK",2
"292","2310026L22RIK",14
"293","2310031A07RIK",13
"294","2310033P09RIK",1
"295","2310034G01RIK",8
"296","2310035C23RIK",13
"297","2310036O22RIK",14
"298","2310039H08RIK",13
"299","2310040G24RIK",14
"300","2310043M15RIK",4
"301","2310044K18RIK",4
"302","2310047D07RIK",1
"303","2310057M21RIK",1
"304","2310058D17RIK",2
"305","2310061I04RIK",1
"306","2310067B10RIK",1
"307","2310068J16RIK",8
"308","2310069B03RIK",8
"309","2310069G16RIK",15
"310","2410002F23RIK",2
"311","2410004B18RIK",1
"312","2410004P03RIK",1
"313","2410006H16RIK",9
"314","2410015M20RIK",10
"315","2410016O06RIK",1
"316","2410017I17RIK",12
"317","2410022M11RIK",5
"318","2410080I02RIK",2
"319","2410089E03RIK",13
"320","2410127L17RIK",8
"321","2410131K14RIK",13
"322","2410137M14RIK",1
"323","2500002B13RIK",13
"324","2500004C02RIK",10
"325","2510002D24RIK",1
"326","2510009E07RIK",8
"327","2510039O18RIK",14
"328","2600006K01RIK",1
"329","2600014E21RIK",8
"330","2610001J05RIK",13
"331","2610002M06RIK",13
"332","2610005L07RIK",14
"333","2610008E11RIK",10
"334","2610015P09RIK",13
"335","2610016A17RIK",9
"336","2610020C07RIK",10
"337","2610020H08RIK",14
"338","2610021A01RIK",2
"339","2610024D14RIK",8
"340","2610035D17RIK",13
"341","2610035F20RIK",8
"342","2610037D02RIK",8
"343","2610044O15RIK8",4
"344","2610203C20RIK",8
"345","2610206C17RIK",1
"346","2610301B20RIK",10
"347","2610306M01RIK",13
"348","2610316D01RIK",8
"349","2610318N02RIK",2
"350","2610507B11RIK",9
"351","2610507I01RIK",14
"352","2610509F24RIK",8
"353","2610524H06RIK",1
"354","2700016F22RIK",13
"355","2700029M09RIK",8
"356","2700033N17RIK",1
"357","2700038G22RIK",13
"358","2700046G09RIK",8
"359","2700049A03RIK",13
"360","2700060E02RIK",10
"361","2700062C07RIK",1
"362","2700081O15RIK",1
"363","2700094K13RIK",3
"364","2700097O09RIK",2
"365","2700099C18RIK",4
"366","2810001G20RIK",2
"367","2810002D19RIK",15
"368","2810004N23RIK",8
"369","2810006K23RIK",14
"370","2810013P06RIK",15
"371","2810021J22RIK",15
"372","2810025M15RIK",4
"373","2810029C07RIK",8
"374","2810030D12RIK",9
"375","2810032G03RIK",2
"376","2810039B14RIK",1
"377","2810047C21RIK1",8
"378","2810402E24RIK",2
"379","2810403D21RIK",13
"380","2810404F17RIK",13
"381","2810405F17RIK",4
"382","2810408I11RIK",1
"383","2810414N06RIK",13
"384","2810417H13RIK",12
"385","2810428I15RIK",10
"386","2810429I04RIK",10
"387","2810430I11RIK",13
"388","2810454H06RIK",15
"389","2810459M11RIK",8
"390","2810474O19RIK",15
"391","2900009J06RIK",13
"392","2900011O08RIK",8
"393","2900026A02RIK",13
"394","2900041M22RIK",8
"395","2900042K21RIK",4
"396","2900052L18RIK",8
"397","2900055J20RIK",13
"398","2900069G24RIK",4
"399","2900072N19RIK",2
"400","2900076A07RIK",1
"401","2900089D17RIK",13
"402","2900092N22RIK",8
"403","2900092O11RIK",4
"404","2900093K20RIK",1
"405","2900097C17RIK",8
"406","3000002C10RIK",10
"407","3010003L21RIK",1
"408","3010026O09RIK",14
"409","3100002H09RIK",8
"410","3110001I22RIK",1
"411","3110002H16RIK",1
"412","3110009E18RIK",10
"413","3110039M20RIK",8
"414","3110040N11RIK",1
"415","3110043O21RIK",1
"416","3110045C21RIK",4
"417","3110053B16RIK",2
"418","3110056K07RIK",13
"419","3110057O12RIK",1
"420","3110062M04RIK",13
"421","3110067C02RIK",13
"422","3110070M22RIK",10
"423","3110082I17RIK",9
"424","3110083C13RIK",9
"425","3300002A11RIK",8
"426","3300002I08RIK",1
"427","3300005D01RIK",15
"428","3632451O06RIK",9
"429","3830406C13RIK",4
"430","4430402I18RIK",2
"431","4632404H12RIK",10
"432","4632411P08RIK",1
"433","4632415L05RIK",1
"434","4632427E13RIK",2
"435","4632428C04RIK",8
"436","4632428N05RIK",2
"437","4732414G09RIK",9
"438","4732419C18RIK",9
"439","4732440D04RIK",2
"440","4732465J04RIK",4
"441","4732471J01RIK",13
"442","4732490B19RIK",4
"443","4732491K20RIK",2
"444","4831440E17RIK",13
"445","4833407H14RIK",13
"446","4833412C05RIK",8
"447","4833417C18RIK",8
"448","4833418N02RIK",13
"449","4833418N17RIK",8
"450","4833420G17RIK",8
"451","4833422C13RIK",8
"452","4833427G06RIK",8
"453","4833428L15RIK",9
"454","4833439L19RIK",9
"455","4833445I07RIK",12
"456","4921504A21RIK",8
"457","4921504E06RIK",1
"458","4921507G05RIK",5
"459","4921507L20RIK",14
"460","4921507P07RIK",13
"461","4921508M14RIK",12
"462","4921511C20RIK",9
"463","4921522P10RIK",13
"464","4921524J17RIK",1
"465","4921530L21RIK",8
"466","4921531C22RIK",13
"467","4921534H16RIK",4
"468","4922502D21RIK",12
"469","4930402F06RIK",8
"470","4930402H24RIK",10
"471","4930404H24RIK",8
"472","4930404I05RIK",2
"473","4930405A21RIK",1
"474","4930406D18RIK",2
"475","4930412C18RIK",1
"476","4930412F09RIK",13
"477","4930412L05RIK",14
"478","4930412M03RIK",1
"479","4930412O13RIK",9
"480","4930415F15RIK",10
"481","4930415O20RIK",12
"482","4930417H01RIK",9
"483","4930423C22RIK",4
"484","4930426I24RIK",2
"485","4930426L09RIK",5
"486","4930427A07RIK",13
"487","4930429P21RIK",8
"488","4930430F08RIK",4
"489","4930432B10RIK",10
"490","4930439D14RIK",13
"491","4930440I19RIK",4
"492","4930442H23RIK",12
"493","4930442L01RIK",12
"494","4930444P10RIK",8
"495","4930445N08RIK",12
"496","4930445N18RIK",13
"497","4930447M23RIK",6
"498","4930448E22RIK",8
"499","4930451G09RIK",10
"500","4930453N24RIK",13
"501","4930455D15RIK",2
"502","4930456G14RIK",15
"503","4930458D05RIK",9
"504","4930461C15RIK",3
"505","4930463O16RIK",9
"506","4930465K10RIK",12
"507","4930465M20RIK",15
"508","4930467K11RIK",2
"509","4930469G21RIK",8
"510","4930470G03RIK",1
"511","4930471M09RIK",10
"512","4930473A02RIK",10
"513","4930474B08RIK",6
"514","4930480K23RIK",10
"515","4930481A15RIK",14
"516","4930481B07RIK",2
"517","4930483J18RIK",14
"518","4930483K19RIK",8
"519","4930500M09RIK",5
"520","4930502E09RIK",9
"521","4930503L19RIK",9
"522","4930505A04RIK",14
"523","4930505N22RIK",14
"524","4930506C21RIK",10
"525","4930507D05RIK",5
"526","4930509E16RIK",14
"527","4930509G22RIK",5
"528","4930513N10RIK",2
"529","4930515B02RIK",6
"530","4930516B21RIK",3
"531","4930517O19RIK",4
"532","4930518I15RIK",4
"533","4930518J20RIK",9
"534","4930519D14RIK",8
"535","4930519F16RIK",9
"536","4930519G04RIK",9
"537","4930519P11RIK",1
"538","4930520O04RIK",9
"539","4930522L14RIK",2
"540","4930523C07RIK",15
"541","4930524J08RIK",10
"542","4930524O07RIK",1
"543","4930524O08RIK",9
"544","4930525G20RIK",15
"545","4930526A20RIK",8
"546","4930527E20RIK",8
"547","4930527J03RIK",8
"548","4930528D03RIK",12
"549","4930532G15RIK",2
"550","4930534D22RIK",2
"551","4930535I16RIK",4
"552","4930535L15RIK",14
"553","4930539J05RIK",13
"554","4930540M05RIK",1
"555","4930542C12RIK",15
"556","4930544D05RIK",2
"557","4930546C10RIK",4
"558","4930547M16RIK",1
"559","4930550C14RIK",4
"560","4930551O13RIK",9
"561","4930553M12RIK",15
"562","4930554C24RIK",15
"563","4930555B11RIK",2
"564","4930555F03RIK",8
"565","4930556I23RIK",8
"566","4930556M19RIK",9
"567","4930558J22RIK",2
"568","4930558K02RIK",13
"569","4930562C15RIK",6
"570","4930562F07RIK",15
"571","4930563E18RIK",1
"572","4930563E22RIK",2
"573","4930563I02RIK",4
"574","4930568A12RIK",10
"575","4930568G15RIK",8
"576","4930569F06RIK",9
"577","4930570G19RIK",8
"578","4930572O03RIK",4
"579","4930577N17RIK",2
"580","4930578M01RIK",4
"581","4930579F01RIK",14
"582","4930579G18RIK",9
"583","4930579G24RIK",1
"584","4930581F22RIK",1
"585","4930583K01RIK",15
"586","4930586N03RIK",9
"587","4930588K23RIK",1
"588","4930589L23RIK",1
"589","4930591A17RIK",4
"590","4930593A02RIK",4
"591","4930593C16RIK",8
"592","4930594C11RIK",8
"593","4930594M17RIK",8
"594","4930594M22RIK",2
"595","4930597A21RIK",4
"596","4930597O21RIK",4
"597","4930598A11RIK",1
"598","4930599N23RIK",1
"599","4931406C07RIK",8
"600","4931406G06RIK",2
"601","4931406P16RIK",10
"602","4931408C20RIK",4
"603","4931422A03RIK",1
"604","4931428F04RIK",10
"605","4931429L15RIK",12
"606","4931440F15RIK",8
"607","4931440J10RIK",9
"608","4931440P22RIK",15
"609","4932412D23RIK",13
"610","4932431P20RIK",9
"611","4932438A13RIK",10
"612","4932438H23RIK",9
"613","4933402D24RIK",4
"614","4933404O12RIK",2
"615","4933405D12RIK",10
"616","4933405E24RIK",9
"617","4933405L10RIK",9
"618","4933406C10RIK",15
"619","4933406I18RIK",14
"620","4933406M09RIK",9
"621","4933406P04RIK",2
"622","4933407K13RIK",15
"623","4933407L21RIK",8
"624","4933408J17RIK",2
"625","4933408N05RIK",9
"626","4933413J09RIK",6
"627","4933416C03RIK",9
"628","4933421A08RIK",9
"629","4933421O10RIK",8
"630","4933423P22RIK",3
"631","4933424G06RIK",15
"632","4933426K07RIK",9
"633","4933427D14RIK",1
"634","4933427E11RIK",8
"635","4933427G17RIK",1
"636","4933429H19RIK",3
"637","4933430I17RIK",3
"638","4933431K14RIK",3
"639","4933433G15RIK",5
"640","4933434E20RIK",14
"641","4933436E23RIK",14
"642","4933439C10RIK",2
"643","4933439K11RIK",8
"644","4933440N22RIK",13
"645","5031414D18RIK",3
"646","5031415H12RIK",10
"647","5031425E22RIK",5
"648","5031425F14RIK",9
"649","5031434O11RIK",13
"650","5031439G07RIK",8
"651","5033403F01RIK",5
"652","5033428I22RIK",6
"653","5033430I15RIK",5
"654","5330406M23RIK",5
"655","5330426P16RIK",5
"656","5330438D12RIK",15
"657","5330438I03RIK",9
"658","5430400D12RIK",1
"659","5430402O13RIK",10
"660","5430403G16RIK",2
"661","5430405H02RIK",4
"662","5430416N02RIK",10
"663","5430427O19RIK",4
"664","5530400K19RIK",4
"665","5530601H04RIK",2
"666","5730405O15RIK",13
"667","5730420D15RIK",2
"668","5730422E09RIK",13
"669","5730437C11RIK",1
"670","5730455P16RIK",13
"671","5730457N03RIK",8
"672","5730508B09RIK",2
"673","5730522E02RIK",12
"674","5730559C18RIK",14
"675","5830405F06RIK",12
"676","5830415F09RIK",1
"677","5830416P10RIK",2
"678","5830417I10RIK",8
"679","5830432E09RIK",5
"680","5830454E08RIK",13
"681","5830468F06RIK",9
"682","5930403N24RIK",3
"683","6030442K20RIK",4
"684","6030443J06RIK",13
"685","6030445D17RIK",8
"686","6030458C11RIK",3
"687","6030460B20RIK",9
"688","6230400D17RIK",2
"689","6330403A02RIK",9
"690","6330403K07RIK",12
"691","6330403L08RIK",9
"692","6330403N20RIK",6
"693","6330408A02RIK",1
"694","6330416G13RIK",15
"695","6330418K02RIK",3
"696","6330549D23RIK",2
"697","6330562C20RIK",9
"698","6430503K07RIK",9
"699","6430511E19RIK",3
"700","6430531B16RIK",1
"701","6430571L13RIK",8
"702","6430573P05RIK",3
"703","6530402F18RIK",3
"704","6530409C15RIK",1
"705","6720483E21RIK",1
"706","6720489N17RIK",1
"707","6820408C15RIK",9
"708","6820431F20RIK",2
"709","7330404K18RIK",3
"710","8030423F21RIK",2
"711","8030474K03RIK",9
"712","8430408G22RIK",8
"713","8430419K02RIK",8
"714","8430419L09RIK",13
"715","8430429K09RIK",1
"716","8430432A02RIK",1
"717","9030407P20RIK",15
"718","9030612E09RIK",12
"719","9030617O03RIK",4
"720","9030622O22RIK",9
"721","9030624J02RIK",13
"722","9130008F23RIK",12
"723","9130011E15RIK",2
"724","9130023H24RIK",3
"725","9130204K15RIK",8
"726","9130213A22RIK",8
"727","9130230L23RIK",2
"728","9130230N09RIK",1
"729","9130401M01RIK",13
"730","9130410C08RIK",8
"731","9230019H11RIK",16
"732","9230104L09RIK",16
"733","9230110C19RIK",5
"734","9230111E07RIK",15
"735","9230114K14RIK",14
"736","9230116N13RIK",8
"737","9330020H09RIK",8
"738","9330104G04RIK",14
"739","9330111N05RIK",8
"740","9330132A10RIK",16
"741","9330136K24RIK",10
"742","9330151L19RIK",1
"743","9330154J02RIK",8
"744","9330158H04RIK",14
"745","9330162012RIK",9
"746","9330175E14RIK",8
"747","9330175M20RIK",12
"748","9330179D12RIK",6
"749","9330182L06RIK",9
"750","9330198N18RIK",13
"751","9430015G10RIK",1
"752","9430016H08RIK",1
"753","9430020K01RIK",8
"754","9430021M05RIK",12
"755","9430025C20RIK",12
"756","9430037G07RIK",12
"757","9430038I01RIK",2
"758","9430041J12RIK",10
"759","9430062P05RIK",8
"760","9430065F17RIK",15
"761","9430069I07RIK",9
"762","9430091E24RIK",1
"763","9430098F02RIK",9
"764","9530018H14RIK",8
"765","9530027J09RIK",2
"766","9530036M11RIK",4
"767","9530046B11RIK",13
"768","9530051G07RIK",9
"769","9530052C20RIK",13
"770","9530052E02RIK",4
"771","9530056K15RIK",10
"772","9530068E07RIK",5
"773","9530080O11RIK",2
"774","9530082P21RIK",13
"775","9530085P06RIK",8
"776","9630001P10RIK",1
"777","9630013D21RIK",10
"778","9830147E19RIK",1
"779","9930004E17RIK",9
"780","9930012K11RIK",1
"781","9930014A18RIK",15
"782","9930021J03RIK",5
"783","A",1
"784","A130006I12RIK",4
"785","A130010J15RIK",3
"786","A130014A01RIK",1
"787","A130051J06RIK",1
"788","A130057D12RIK",5
"789","A130071D04RIK",9
"790","A230006K03RIK",6
"791","A230020J21RIK",9
"792","A230028O05RIK",15
"793","A230046K03RIK",10
"794","A230050P20RIK",2
"795","A230052G05RIK",8
