"","TRM","TexTerm"
"PRDM1-EGR2",2.92164577112135,-24.4222370190188
"PRDM1-IRF4",6.55715355250959,-97.4436340963473
"PRDM1-NR4A3",5.31668834603158,-85.7133114807842
"HIC1-CREB3L2",5.26991223003247,-4.01907026890769
"HIC1-RBPJ",4.15696519873389,-12.6890500882572
"HIC1-MYC",3.69559380277207,-7.23530467849919
"HIC1-JUNB",1.72280511561187,-6.91109832428324
