TF freq type
Mafa 32 oe
Zbtb7b 24 oe
Foxo4 11 oe
Cic 10 oe
Epas1 9 oe
Hoxb4 6 oe
Plag1 6 oe
Jrkl 5 oe
Jun 5 ko
Nr4a2 5 ko
Zbtb26 4 oe
Prdm16 3 ko
Erf 2 oe
Fbxl19 2 oe
Heyl 2 ko
Hsf2 2 oe
Klf9 2 ko
Lef1 2 oe
Nr1i3 2 ko
Rara 2 oe
Rxra 2 oe
Sox12 2 oe
Tfap4 2 oe
Zbtb18 2 oe
Zbtb6 2 oe
E2f8 1 oe
Hic1 1 ko
Hlx 1 oe
Mybl2 1 ko
Nr4a3 1 oe
Tbx6 1 oe
Tet3 1 oe
Zbtb20 1 ko
