TF freq type
Cxxc5 49 oe
Zbtb32 40 ko
Zfp324 5 ko
Zscan29 5 ko
Bach1 4 ko
Lin54 4 ko
Arid2 2 ko
Cdc5l 2 ko
Cxxc1 2 ko
E2f5 2 ko
Epas1 2 oe
Gmeb1 2 oe
Hinfp 2 ko
Hmbox1 2 ko
Homez 2 ko
Kdm2a 2 ko
Kdm2b 2 ko
Klf9 2 ko
Lcor 2 ko
Mnt 2 ko
Mynn 2 ko
Mypop 2 oe
Naif1 2 ko
Phf21a 2 ko
Pou2f1 2 oe
Pou6f1 2 ko
Setbp1 2 ko
Tef 2 ko
Tigd2 2 ko
Zbtb2 2 ko
Zbtb26 2 oe
Zbtb37 2 ko
Zbtb45 2 ko
Zfp113 2 ko
Zfp248 2 ko
Zfp276 2 ko
Zfp282 2 ko
Zfp653 2 ko
Zik1 2 ko
Zkscan17 2 ko
Zscan20 2 ko
Arid5b 1 ko
Atf6 1 ko
Foxn2 1 oe
Hsf4 1 ko
Jrkl 1 ko
Mybl2 1 ko
Sp140 1 ko
Zfp652 1 oe
Zzz3 1 ko
