TF freq type
Zfp324 58 ko
Gmeb1 13 oe
Zfp276 12 ko
Zfp282 11 ko
Zscan20 9 ko
Zfp113 8 ko
Pou6f1 7 ko
Zik1 7 ko
Zbtb32 6 ko
Cxxc5 5 ko
Arid5b 4 ko
Pou2f1 4 ko
Mynn 3 ko
Bcl11b 2 ko
Arid2 1 ko
Arid3b 1 ko
Atf6 1 ko
Bach1 1 ko
Cdc5l 1 ko
Cxxc1 1 ko
E2f5 1 ko
Epas1 1 ko
Foxn2 1 oe
Hinfp 1 ko
Hmbox1 1 ko
Homez 1 ko
Hsf4 1 ko
Jrkl 1 ko
Kdm2a 1 ko
Kdm2b 1 ko
Klf9 1 ko
Lcor 1 ko
Lin54 1 ko
Mnt 1 ko
Mybl2 1 ko
Mypop 1 ko
Naif1 1 ko
Pbx2 1 ko
Phf21a 1 ko
Prdm11 1 ko
Rest 1 ko
Setbp1 1 ko
Sp140 1 ko
Tef 1 ko
Tigd2 1 ko
Zbtb2 1 ko
Zbtb20 1 oe
Zbtb26 1 ko
Zbtb37 1 ko
Zbtb45 1 ko
Zfp248 1 ko
Zfp652 1 oe
Zfp653 1 ko
Zfp69 1 ko
Zfp691 1 ko
Zfp90 1 ko
Zkscan17 1 ko
Zscan29 1 ko
Zzz3 1 ko
