TF freq type
Zfp324 1526 ko
Gmeb1 379 oe
Mynn 346 ko
Zfp113 336 ko
Zfp282 311 ko
Zscan20 304 ko
Cdc5l 292 ko
Lin54 161 ko
Pou6f1 161 ko
Zfp276 157 ko
Zik1 144 ko
Cxxc5 129 ko
Pou2f1 103 ko
Zscan29 103 ko
Cxxc1 100 ko
Zbtb2 100 ko
Zbtb32 100 ko
Tef 99 ko
Zbtb45 95 ko
Zfp69 93 ko
Zfp653 82 ko
Zfp90 82 ko
Kdm2b 81 ko
Bach1 75 ko
Setbp1 74 ko
Zfp248 74 ko
Arid3b 72 ko
Arid5b 72 ko
Hmbox1 72 ko
Phf21a 72 ko
Zbtb20 72 oe
Zbtb26 72 ko
Zfp652 72 oe
Zfp691 72 ko
Bcl11b 70 ko
Mnt 70 ko
Naif1 70 ko
Rest 70 ko
Zzz3 70 ko
Hsf4 65 ko
Klf9 65 ko
Epas1 62 ko
Zkscan17 62 ko
Hinfp 61 ko
Homez 61 ko
Pbx2 61 ko
Sp140 59 ko
Atf6 57 ko
Mypop 56 ko
Zbtb37 54 ko
Tigd2 52 ko
Foxn2 51 oe
Kdm2a 44 ko
Lcor 44 ko
Prdm11 41 ko
Jrkl 40 ko
Mybl2 40 ko
Arid2 34 ko
E2f5 34 ko
