TF1 TF2 z-score.sum freq TF1_type TF2_type
Tlx2 Phox2b 270 8 oe oe
Cdx1 Nr4a3 96 8 oe oe
Cdx1 Cebpb 84 8 oe ko
Cdx1 Hsf2 62 8 oe oe
Cdx1 Zfp324 43 8 oe ko
Cdx1 Zfp879 42 8 oe oe
Cdx1 Zfp146 39 8 oe oe
Cdx1 Jund 35 8 oe ko
Cdx1 Sp9 34 8 oe oe
Cdx1 Klf4 33 8 oe oe
Cdx1 Klf5 33 8 oe oe
Cdx1 Dpf3 31 8 oe oe
Cdx1 Nr4a1 31 8 oe oe
Cdx1 Snai1 31 8 oe oe
Cdx1 Zfp300 38 7 oe ko
Cdx1 Vax2 29 7 oe ko
Cdx1 Eomes 28 7 oe ko
Cdx1 Myb 23 7 oe oe
Cdx1 Crem 22 7 oe oe
Cdx1 Fosb 32 6 oe oe
Cdx1 Tgif1 22 6 oe oe
Cdx1 Sox8 20 6 oe oe
Cdx1 Rel 19 6 oe oe
Cdx1 Wt1 19 6 oe oe
Tlx2 Jdp2 11 6 oe ko
Cdx1 Heyl 54 5 oe ko
Cdx1 Zbtb20 24 5 oe ko
Cdx1 Atf3 18 5 oe oe
Cdx1 Zkscan17 17 5 oe ko
Cdx1 Irf4 16 5 oe oe
Cdx1 Prdm16 15 5 oe ko
Cdx1 Pbx3 14 5 oe ko
Cdx1 Jun 34 4 oe oe
Cenpb Thra 24 4 oe oe
Cdx1 Arnt2 23 4 oe ko
Cdx1 Bhlhe41 23 4 oe ko
Tlx2 Nr4a3 22 4 oe oe
Cdx1 Setbp1 22 4 oe ko
Cdx1 Fos 21 4 oe oe
Cdx1 Dmrt2 19 4 oe ko
Cdx1 Tet3 19 4 oe oe
Cdx1 Klf9 18 4 oe ko
Tlx2 Jun 17 4 oe oe
Tlx2 Fos 15 4 oe oe
Cdx1 Kdm2b 15 4 oe ko
Cdx1 Nr1i3 15 4 oe oe
Cdx1 Spic 15 4 oe ko
Cdx1 Zfp777 15 4 oe ko
Cdx1 Mnt 14 4 oe ko
Phox2b Nr4a3 14 4 oe oe
