TF freq type
Atf6 1397 oe
Zfp324 822 ko
Zscan20 254 ko
Epas1 161 oe
Foxn2 156 oe
Nfat5 139 oe
Zfp282 135 ko
Zfp90 132 ko
Zbtb20 125 ko
E2f5 123 oe
Cenpb 119 oe
Tgif2 116 ko
Gmeb1 112 oe
Tef 112 ko
Zfp12 108 ko
Sp140 106 oe
Zfp652 100 oe
Arid3b 94 oe
Hsf4 94 oe
Jrkl 94 oe
Zfp248 92 ko
Zbtb26 90 oe
Zbtb2 88 ko
Bcl11b 85 oe
Kdm2a 85 oe
Mybl2 85 ko
Foxd2 84 oe
Pou6f1 84 ko
Prdm11 81 oe
Zfp317 81 ko
Zzz3 81 ko
Zfp276 76 ko
Zfp300 76 ko
Hmbox1 75 oe
Zscan26 75 oe
Mynn 74 ko
Nr1h3 74 oe
Cdc5l 73 oe
Tet3 73 oe
Zkscan17 69 ko
Zscan29 69 oe
Arid2 68 oe
Zfp653 68 oe
Hinfp 64 ko
Mypop 64 ko
Tigd2 64 ko
Zbtb45 64 ko
Kdm2b 63 oe
Lcor 62 oe
Phf21a 62 oe
Cxxc1 61 oe
Naif1 58 ko
Creb3l1 52 oe
Homez 52 ko
Lin54 52 ko
