TF1 TF2 z-score.sum freq TF1_type TF2_type
Zfp324 Zscan20 87 20 ko ko
Zfp324 Mynn 70 20 ko ko
Zfp324 Bach1 68 20 ko ko
Zfp324 Zik1 66 20 ko oe
Zfp324 Rest 65 20 ko ko
Zfp324 Bcl11b 64 20 ko ko
Zfp324 Hsf4 63 20 ko ko
Zfp324 Zfp691 61 20 ko oe
Zfp324 Hmbox1 58 20 ko oe
Zfp324 Zfp282 76 19 ko ko
Zfp324 Atf6 66 19 ko oe
Zfp324 Pbx2 65 19 ko oe
Zfp324 Zfp90 62 19 ko ko
Zfp324 Zbtb2 60 19 ko ko
Zfp324 Zbtb26 60 19 ko oe
Zfp324 Zfp69 60 19 ko ko
Zfp324 E2f5 59 19 ko ko
Zfp324 Zbtb37 59 19 ko oe
Zfp324 Epas1 57 19 ko oe
Zfp324 Foxn2 57 19 ko oe
Zfp324 Jrkl 54 19 ko oe
Zfp324 Gmeb1 77 18 ko oe
Zfp324 Cxxc1 72 18 ko ko
Zfp324 Zfp113 70 18 ko ko
Zfp324 Zfp276 69 18 ko ko
Zfp324 Cdc5l 67 18 ko ko
Zfp324 Zbtb32 65 18 ko ko
Zfp324 Hinfp 62 18 ko ko
Zfp324 Lin54 61 18 ko ko
Zfp324 Tef 61 18 ko ko
Zfp324 Zbtb20 59 18 ko ko
Zfp324 Mnt 58 18 ko ko
Zfp324 Arid2 57 18 ko ko
Zfp324 Zfp653 56 18 ko ko
Zfp324 Klf9 55 18 ko ko
Zfp324 Mybl2 55 18 ko ko
Zfp324 Lcor 54 18 ko oe
Zfp324 Setbp1 54 18 ko ko
Zfp324 Zzz3 54 18 ko ko
Zfp324 Tigd2 53 18 ko ko
Zfp324 Pou6f1 65 17 ko ko
Zfp324 Pou2f1 63 17 ko ko
Zfp324 Homez 53 17 ko ko
Zfp324 Phf21a 53 17 ko oe
Zfp324 Zkscan17 53 17 ko ko
Zfp324 Arid3b 52 17 ko ko
Zfp324 Sp140 52 17 ko oe
Zfp324 Arid5b 62 16 ko ko
Zfp324 Kdm2b 58 16 ko ko
Zfp324 Zfp652 57 16 ko oe
Zfp324 Zscan29 54 16 ko ko
Zfp324 Mypop 53 16 ko oe
Zfp324 Zbtb45 53 16 ko ko
Zfp324 Zfp248 53 16 ko ko
Zfp324 Cxxc5 52 16 ko ko
Zfp324 Naif1 48 16 ko ko
Zfp324 Kdm2a 47 16 ko ko
Zfp324 Prdm11 47 16 ko ko
Zscan20 Zfp113 24 10 ko ko
Zscan20 Pou6f1 20 10 ko ko
Zscan20 Cxxc1 22 9 ko ko
Zscan20 Arid5b 18 9 ko ko
Gmeb1 Zfp113 22 8 oe ko
Gmeb1 Mynn 21 8 oe ko
Gmeb1 Pou2f1 20 8 oe ko
Zscan20 Zfp282 19 8 ko ko
Zscan20 Bach1 16 8 ko ko
Zscan20 Zbtb32 16 8 ko ko
Zscan20 Zfp276 16 8 ko ko
Gmeb1 Zfp282 20 7 oe ko
Gmeb1 Zbtb32 17 7 oe ko
Zscan20 Mynn 16 7 ko ko
Zscan20 Pou2f1 16 7 ko ko
Zscan20 Cdc5l 15 7 ko ko
Gmeb1 Zfp276 15 7 oe ko
Gmeb1 Cxxc5 13 7 oe ko
Zscan20 Lin54 13 7 ko ko
Gmeb1 Zscan20 20 6 oe ko
Gmeb1 Cxxc1 15 6 oe ko
Gmeb1 Cdc5l 14 6 oe ko
Zscan20 Gmeb1 14 6 ko oe
Gmeb1 Pou6f1 14 6 oe ko
Gmeb1 Zik1 14 6 oe oe
Gmeb1 Lin54 13 6 oe ko
Zfp282 Pou6f1 13 6 ko ko
Cdc5l Zfp276 13 6 ko ko
Gmeb1 Bach1 12 6 oe ko
Gmeb1 Bcl11b 11 6 oe ko
Zscan20 Hinfp 11 6 ko ko
Zscan20 Zfp652 11 6 ko oe
Zfp282 Zscan20 12 5 ko ko
Gmeb1 Arid5b 11 5 oe ko
Gmeb1 Zscan29 11 5 oe ko
Zscan20 Kdm2b 10 5 ko ko
Zscan20 Mypop 10 5 ko oe
Zscan20 Zik1 10 5 ko oe
Zscan20 Tef 9 5 ko ko
Cdc5l Hsf4 11 4 ko ko
Cdc5l Hmbox1 10 4 ko oe
Gmeb1 Mypop 10 4 oe oe
