TF1 TF2 z-score.sum freq TF1_type TF2_type
Tead2 Foxo4 22 5 oe oe
Msx2 Bhlha15 52 4 oe oe
Msx2 Sp9 48 4 oe oe
Msx2 Nkx2-5 47 4 oe oe
Msx2 Tead2 30 4 oe oe
Msx2 Pou1f1 26 4 oe oe
Msx2 Rarb 25 4 oe oe
Nr4a2 Klf9 22 4 ko ko
Msx2 Batf 21 4 oe ko
Msx2 Foxo4 20 4 oe oe
Msx2 Snai3 20 4 oe ko
Bhlhe23 Klf9 18 4 oe ko
Nr4a2 Lef1 16 4 ko oe
Msx2 Glis2 14 4 oe oe
Nr4a2 Glis2 14 4 ko oe
Msx2 Grhl2 14 4 oe oe
Msx2 Nrf1 14 4 oe ko
Tcf7 Setbp1 14 4 oe ko
Bhlhe23 Lef1 13 4 oe oe
Bhlhe23 Tcf7 13 4 oe oe
Msx2 Usf1 13 4 oe ko
Msx2 Myod1 12 4 oe oe
Heyl Setbp1 12 4 ko ko
Nr4a2 Cebpb 11 4 ko ko
Msx2 Gli1 11 4 oe oe
Tcf7 Lef1 11 4 oe oe
Nr4a2 Foxo4 10 4 ko oe
Msx2 Zbtb18 10 4 oe oe
Msx2 Gfi1 9 4 oe ko
Heyl Lef1 9 4 ko oe
Msx2 Maff 9 4 oe oe
Msx2 Mypop 9 4 oe oe
Msx2 Nr3c2 9 4 oe oe
Msx2 Nr1i2 8 4 oe oe
Bhlha15 Pou1f1 8 4 oe oe
Sp9 Pou1f1 8 4 oe oe
Nr4a2 Vax2 8 4 ko ko
Nr4a2 Jdp2 20 3 ko ko
Bhlhe23 Jdp2 19 3 oe ko
Msx2 Nr1i3 19 3 oe oe
Nr4a2 Tcf7 18 3 ko oe
Tead2 Tfap4 16 3 oe oe
Tcf7 Arnt2 15 3 oe ko
Tcf7 Dmrta1 14 3 oe oe
Msx2 Nr4a2 13 3 oe ko
Heyl Arnt2 12 3 ko ko
Tcf7 Klf9 12 3 oe ko
Bhlha15 Nkx2-5 12 3 oe oe
Bhlha15 Sp9 12 3 oe oe
Heyl Dmrta1 11 3 ko oe
