TF freq type
Zbtb32 613 ko
Klf9 402 ko
Zfp324 377 ko
Zscan29 339 ko
Mybl2 316 ko
Setbp1 248 ko
Gmeb1 236 oe
Zbtb20 215 oe
Zfp248 164 ko
Zfp282 142 ko
Mypop 105 ko
Zscan20 99 ko
Zik1 88 ko
Zfp113 82 ko
Pou6f1 69 ko
Kdm2a 67 ko
Mnt 64 ko
Zzz3 61 ko
Lin54 57 ko
Arid3b 52 ko
Foxn2 46 oe
Naif1 46 ko
Arid5b 42 ko
Zkscan17 42 ko
Zfp653 41 ko
Tigd2 38 ko
Homez 37 ko
Phf21a 33 ko
Kdm2b 32 ko
Mynn 32 ko
Hinfp 30 ko
Zbtb37 30 ko
Cxxc1 27 ko
Tef 26 ko
Atf6 25 ko
Pbx2 25 ko
Zfp691 25 ko
Zfp276 24 ko
Arid2 23 ko
Epas1 21 ko
Pou2f1 21 ko
Zbtb45 18 ko
Cdc5l 17 ko
Hsf4 17 ko
Prdm11 17 ko
Zfp90 17 ko
Cxxc5 16 ko
Zbtb2 16 ko
Zfp652 16 oe
E2f5 14 ko
Bach1 13 ko
Bcl11b 13 ko
Jrkl 13 ko
Lcor 13 ko
Rest 13 ko
Sp140 13 ko
Zbtb26 13 ko
Zfp69 13 ko
Hmbox1 11 ko
