TF freq type
Jrkl 588 oe
Homez 535 oe
Epas1 365 oe
Zbtb20 320 ko
Cdc5l 273 ko
Setbp1 264 oe
Zbtb26 229 oe
Hsf4 194 oe
Mnt 168 oe
Hmbox1 157 oe
Pbx2 117 oe
Zkscan17 113 ko
Zik1 94 oe
Zbtb32 75 ko
Zzz3 75 oe
Klf9 62 oe
Foxn2 59 oe
Zfp691 56 oe
Arid2 48 oe
Tigd2 48 oe
Zbtb45 46 ko
Zfp324 46 ko
Zbtb37 44 oe
Zfp69 43 ko
Mypop 38 oe
Zbtb2 38 ko
Cxxc5 37 oe
Kdm2a 35 oe
Bcl11b 32 ko
Bach1 31 oe
E2f5 31 oe
Mynn 31 ko
Zscan20 31 ko
Zfp276 28 oe
Zfp90 28 ko
Kdm2b 26 oe
Naif1 26 ko
Pou6f1 26 oe
Gmeb1 25 oe
Tef 25 oe
Zfp248 25 ko
Zfp113 23 ko
Atf6 20 oe
Prdm11 20 oe
Rest 20 ko
Arid5b 19 ko
Lcor 19 oe
Phf21a 19 oe
Hinfp 17 ko
Pou2f1 17 oe
Zfp653 15 oe
Zscan29 15 oe
Arid3b 13 oe
Cxxc1 13 ko
Lin54 13 oe
Mybl2 13 ko
Sp140 13 oe
Zfp282 13 ko
Zfp652 13 oe
