TF freq type
Zfp324 501 ko
Zbtb26 494 oe
Zzz3 482 ko
Creb3l1 245 oe
Epas1 219 oe
Nfat5 218 oe
Tef 210 ko
Cdc5l 197 ko
Zscan20 197 ko
Arid3b 161 oe
Nr1h3 160 ko
Foxn2 148 oe
Atf6 137 ko
Foxd2 131 ko
Bcl11b 123 ko
Zscan26 85 oe
Arid2 83 ko
Hinfp 78 ko
Cenpb 74 oe
Lcor 63 oe
Homez 59 ko
Sp140 59 oe
Zfp282 52 ko
Zkscan17 42 ko
Gmeb1 39 oe
Naif1 39 ko
Tet3 39 oe
Zbtb2 39 ko
Zfp653 39 ko
Lin54 38 ko
Phf21a 38 ko
Jrkl 35 oe
Mypop 33 oe
Kdm2b 32 ko
Tgif2 32 ko
Pou6f1 30 ko
Zfp90 27 ko
Zfp12 25 ko
Prdm11 21 ko
Tigd2 21 ko
Zbtb20 21 ko
Zfp317 21 ko
Zscan29 21 ko
Hmbox1 14 ko
Cxxc1 13 ko
Mybl2 8 oe
Zbtb45 8 ko
Hsf4 6 ko
Mynn 6 ko
Zfp300 6 ko
E2f5 3 ko
Kdm2a 3 ko
Zfp248 3 ko
Zfp276 3 ko
Zfp652 3 ko
