TF freq type
Zbtb20 50 ko
Homez 43 oe
Jrkl 10 oe
Cdc5l 7 oe
Epas1 6 oe
Bach1 5 oe
Klf9 5 ko
Pbx2 4 oe
E2f5 3 oe
Hmbox1 3 oe
Hsf4 3 oe
Arid3b 2 oe
Atf6 2 oe
Bcl11b 2 ko
Cxxc1 2 ko
Cxxc5 2 ko
Foxn2 2 oe
Gmeb1 2 oe
Kdm2a 2 oe
Kdm2b 2 ko
Lcor 2 oe
Mnt 2 oe
Mynn 2 ko
Prdm11 2 oe
Rest 2 oe
Setbp1 2 oe
Tef 2 oe
Tigd2 2 oe
Zbtb2 2 ko
Zbtb26 2 oe
Zbtb32 2 ko
Zbtb37 2 oe
Zbtb45 2 ko
Zfp113 2 oe
Zfp276 2 ko
Zfp282 2 ko
Zfp324 2 ko
Zfp69 2 ko
Zfp691 2 oe
Zfp90 2 ko
Zik1 2 oe
Zkscan17 2 ko
Zscan20 2 oe
Zzz3 2 oe
Arid2 1 oe
Arid5b 1 ko
Lin54 1 ko
Mybl2 1 ko
Sp140 1 oe
Zfp248 1 ko
Zscan29 1 oe
