"","Naive_Kaech_Kaech","Naive_Kaech_Chung","Naive_Mackay_Chung","Naive_MilnerAug_Chung","Naive_Renkema_Chung","Naive_Scott_Scott","MP_Kaech_Chung","MP_Kaech_Kaech","MP_Kaech_Scott","MP_MilnerAug_Kaech","MP_MilnerAug_Scott","MP_MilnerAug_Chung","TE_Kaech_Chung","TE_Kaech_Kaech","TE_Kaech_Scott","TE_MilnerAug_Kaech","TE_MilnerAug_Scott","TE_MilnerAug_Chung","TCM_Mackay_Chung","TCM_MilnerAug_Chung","TCM_Renkema_Chung","TEM_Mackay_Chung","TEM_MilnerAug_Chung","TEM_Renkema_Chung","TRM.IEL_Milner17_Milner17","TRM.IEL_MilnerApr_Chung","TRM.IEL_MilnerApr_Milner17","TRM.IEL_Milner17_Chung","TRM.liver_Mackay_Chung","TexProg1_Beltra_Beltra","TexProg2_Beltra_Beltra","TexProg_Beltra_Chung","TexProg_Hudson_Chung","TexProg_Hudson_Beltra","TexInt_Beltra_Beltra","TexInt_Beltra_Chung","TexInt_Hudson_Chung","TexInt_Hudson_Beltra","TexTerm_Beltra_Beltra","TexTerm_Beltra_Chung","TexTerm_Hudson_Chung","TexTerm_Hudson_Beltra"
"Creb3l1",0,0,0.28,0.56,0,1.57,1.38,1.38,1.38,1.27,1.27,1.27,2.83,2.83,2.83,3.51,3.51,3.51,0.98,0.08,0,1.02,0.34,0,0.57,0,0,0.57,1.24,0.8,1.13,0.8,2.31,2.31,3.77,3.77,4.42,4.42,1.2,1.2,2.25,2.25
"Hoxa6",0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snai3",9.85,9.85,11.22,23.05,0,41.71,45.21,45.21,45.21,44.4,44.4,44.4,25.62,25.62,25.62,18.83,18.83,18.83,28.61,32.13,0,35.6,40.34,0,40.34,26.72,26.72,40.34,43.21,28.68,40.38,28.68,22.6,22.6,51.19,51.19,70.86,70.86,121.5,121.5,84.63,84.63
"Nfatc2",20.17,20.17,13.31,10.4,12.8,11.63,74.86,74.86,74.86,18.53,18.53,18.53,62.96,62.96,62.96,14.65,14.65,14.65,37.89,22.49,8.82,44.44,31.98,16.33,22.29,29.27,29.27,22.29,50.95,7.69,9.84,7.69,53.62,53.62,22.34,22.34,47.04,47.04,22.43,22.43,48.04,48.04
"Tbx19",0,0,0.1,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klf12",3.28,3.28,0.07,0,0,0.13,0.23,0.23,0.23,0,0,0,0.43,0.43,0.43,0,0,0,0.85,0.74,0,1.76,0,0,0,0,0,0,0.64,0.3,2.1,0.3,0.18,0.18,0.93,0.93,3.88,3.88,0,0,2.4,2.4
"Foxj1",1.15,1.15,0,0,0,0,0.03,0.03,0.03,0,0,0,0.08,0.08,0.08,0,0,0,0.08,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ubp1",41.42,41.42,14.65,17.97,0,4.27,68.26,68.26,68.26,11.63,11.63,11.63,75.36,75.36,75.36,15.47,15.47,15.47,63.04,3.56,10.4,83.51,8.33,14.62,15.2,4.95,4.95,15.2,84.64,20.59,26.03,20.59,39.41,39.41,20.87,20.87,39.45,39.45,33.57,33.57,38.96,38.96
"Tead2",0,0,0.26,2.36,43.26,0.88,0.07,0.07,0.07,1.51,1.51,1.51,0,0,0,0.63,0.63,0.63,2.5,0.47,19.79,4.63,1.7,36.85,0.53,0.34,0.34,0.53,2.93,0,0,0,0.97,0.97,2.78,2.78,1.06,1.06,0,0,2.22,2.22
"Nfe2l1",32.51,32.51,23.11,12.21,9.82,22.1,44.28,44.28,44.28,7.57,7.57,7.57,47.8,47.8,47.8,12.77,12.77,12.77,40.33,5.04,24.07,51.53,9.26,3.04,10.24,16.37,16.37,10.24,51.56,15.29,20.67,15.29,69.98,69.98,38.98,38.98,58.66,58.66,42.83,42.83,92.57,92.57
