"","cluster"
"Bbx",2
"Dmrtb1",5
"Dbx2",7
"Lcor",6
"Duxbl3",5
"Rhox9",7
"Msgn1",5
"Prdm14",5
"Arid3c",2
"Pitx3",6
"Zfp879",3
"Creb3l1",6
"Hoxa6",5
"Snai3",6
"Nfatc2",1
"Tbx19",5
"Klf12",2
"Foxj1",4
"Ubp1",1
"Tead2",5
"Nfe2l1",2
"E2f7",6
"Sp7",5
"Pax5",4
"Zfp523",2
"Sox11",7
"Tbx20",7
"Patz1",5
"Egr2",3
"Hmx1",3
"Klf7",3
"Stat5a",5
"Hoxc13",5
"Obox6",7
"Rfx4",7
"Fos",3
"Gcm1",7
"Hdx",7
"Etv1",3
"Maf",2
"Irf3",6
"Runx3",1
"Pou3f1",5
"Arid2",1
"Hsf1",6
"Tbx2",3
"Rbak",6
"Tfap2c",5
"Foxp3",5
"Nfat5",1
"Hoxb3",4
"Foxq1",7
"Hoxd4",7
"Gmeb2",4
"Onecut1",3
"Mafa",1
"Rel",6
"Smad4",2
"Lhx1",7
"Foxa1",5
"Duxbl2",7
"Rhox8",5
"Zfp580",6
"Zfp661",4
"Arid3b",6
"Pitx2",7
"Hoxa7",4
"Snai2",5
"Nfatc3",1
"Klf13",6
"Tef",1
"E2f6",2
"Sp6",4
"Tcf4",7
"Sox10",5
"Gata6",7
"Tbx21",6
"Relb",2
"Egr3",4
"Esx1",6
"Klf6",3
"Obox7",7
"Zfp647",4
"Rfx5",2
"Cux1",4
"Homez",2
"Hesx1",7
"Irf2",2
"Zfp184",3
"Eomes",2
"Runx2",1
"Gbx2",3
"Hnf1b",5
"Tbx3",5
"Zfp324",2
"Tfap2b",5
"Zfp41",2
"Foxp2",7
"Hoxb2",5
"Zfp143",2
"Gmeb1",3
"Onecut2",7
"Mafb",1
"Mlxip",6
"Sox8",7
"Lhx2",2
"Ascl1",5
"Duxbl1",7
"Rbpj",2
"Prdm16",2
"Arid3a",2
"Zfp341",1
"Hoxa4",3
"Snai1",3
"Klf10",2
"Noto",7
"Foxj3",4
"Myrf",5
"Bhlhe41",2
"E2f5",5
"Sp140",6
"Nr2f6",5
"Zscan10",5
"Fosb",3
"Sp5",5
"Tcf7",4
"Zic4",7
"Pax7",5
"Sox13",5
"Neurog2",5
"Gata5",5
"Rela",6
"Zbtb48",5
"Fbxl19",1
"Hmx3",3
"Barx1",7
"Klf5",3
"Rfx6",7
"Cux2",5
"Pou1f1",5
"Etv3",3
"Irf1",2
"Zfp64",6
"Runx1",6
"Gbx1",5
"Pou3f3",5
"Hsf3",5
"Hnf1a",5
"Tfap2a",5
"Zfp42",7
"Foxp1",6
"Hoxb1",6
"Msc",2
"Bcl6",4
"Onecut3",5
"Esrrg",7
"Sox9",5
"Dbx1",6
"Foxa3",5
"Atf6b",4
"Bsx",5
"Nkx2-3",5
"Zfp410",2
"Junb",3
"Creb3l2",1
"Hhex",7
"Hoxa5",5
"Cxxc1",6
"Nfatc1",2
"Klf11",6
"Foxj2",2
"Tead1",7
"Cbfb",1
"Nfe2l2",5
"Bhlhe40",2
"Mnt",1
"E2f4",2
"Zfp384",1
"Sp4",1
"Kmt2a",1
"Zic5",7
"Pax6",5
"Sox12",1
"Gata4",5
"Zbtb49",2
"Egr1",3
"Hmx2",3
"Klf4",3
"Stat5b",2
"Hoxc10",7
"Obox5",7
"Rfx7",1
"Tfcp2",4
"Nfix",4
"Yy1",1
"Gcm2",5
"Zbtb12",1
"Gabpa",6
"Pou3f2",7
"Hsf2",5
"Tbx1",5
"Hoxc4",5
"Zeb1",5
"Zfp202",4
"Meis2",7
"Foxc2",5
"Trp73",2
"Rorc",6
"Lhx4",7
"Foxf1",5
"Nobox",3
"Zfx",6
"Crebl2",1
"Hoxa2",5
"Jdp2",2
"Zfp57",5
"Zfp787",4
"E2f3",1
"Zfp383",5
"Sp3",6
"Hey2",5
"Pax1",7
"Vezf1",6
"Sox15",6
"Prdm9",4
"Gata3",6
"Cenpb",1
"Klf3",1
"Tcf21",5
"Myod1",5
"Zfp322a",6
"Zfp422",6
"Arid5a",7
"Lyl1",4
"Tal1",4
"Etv5",2
"Irf7",2
"Msantd3",5
"Hsf5",7
"Tbx6",1
"Thrb",7
"Hoxb7",5
"Fosl1",5
"Hmbox1",5
"Zzz3",6
"Scrt1",5
"Hoxc5",5
"Hoxa10",7
"Meis3",2
"Esrra",1
"Zfp449",2
"Crem",3
"Rorb",7
"Ahctf1",7
"Lhx5",5
"Nkx2-5",5
"Lmx1a",7
"Gfi1",2
"Ar",5
"Prdm11",1
"Bcl11b",6
"Mlx",3
"Jund",1
"Hoxa3",1
"Zfp768",5
"E2f2",6
"Zbtb7b",1
"Tbr1",5
"Zfp513",5
"Sp2",1
"Zic3",7
"Gata2",4
"Crx",5
"Klf2",1
"Hic1",2
"Obox3",7
"Rfx1",1
"Zbtb14",2
"Zfp423",5
"Hoxb13",5
"Plag1",1
"Etv4",5
"Irf6",5
"Hmga2",7
"Foxm1",2
"Pou3f4",6
"Hsf4",2
"Dnajc21",1
"Pou2f1",5
"Fosl2",3
"Hoxc6",6
"Osr2",2
"Maff",5
"Mzf1",5
"Zkscan17",6
"Smad3",5
"Rora",6
"Lhx6",5
"Hlf",7
"Foxl1",5
"Insm1",7
"Bcl11a",4
"Cxxc4",3
"Taf1",1
"Tead4",5
"E2f1",2
"Zbtb7a",4
"Nr2f2",7
"Sp1",1
"Tcf3",1
"Pax3",7
"Sox17",5
"Bhlhe23",5
"Phf21a",5
"Gata1",4
"Ebf1",4
"Ctcfl",5
"Zscan29",5
"Egr4",5
"Nkx6-2",5
"Klf1",4
"Hic2",4
"Rfx2",4
"Zbtb17",6
"Pou5f1",7
"Sp100",6
"Nfil3",2
"Irf5",5
"Tbx4",5
"Zfp46",6
"Pou2f2",1
"Hoxb5",5
"Zfp740",1
"Tfap4",4
"Arnt2",2
"Zfp90",6
"Zfp146",1
"Arnt",6
"Meis1",7
"Mafg",5
"Foxc1",5
"Foxf2",2
"Zfp3",6
"Setbp1",4
"Hoxa1",3
"Cxxc5",4
"Foxs1",5
"Klf15",5
"Zfp296",5
"Zfp784",5
"Zfp335",1
"Hey1",2
"Zfp524",6
"Obox1",7
"Trp63",7
"Rfx3",6
"Arid5b",1
"Tal2",5
"Etv6",2
"Irf4",3
"Arx",7
"Tbx5",5
"Mbd2",1
"Foxp4",1
"Fezf2",5
"Thra",4
"Nkx3-2",5
"Hoxb4",1
"Naif1",6
"Spib",4
"Nr4a3",3
"Zbtb20",2
"Hoxc8",7
"Sall4",5
"Dlx4",3
"Nr1d1",5
"Dmrt1",7
"Nr3c2",2
"Mitf",7
"Lhx8",7
"Zfp105",3
"Usf2",1
"Nr1i2",5
"Zkscan2",7
"Neurod1",5
"T",5
"Nfkb1",1
"Hlx",7
"Cebpb",7
"Rara",1
"Elf1",6
"Lbx2",7
"Bach2",4
"Zfp637",2
"Mtf1",2
"Prdm5",7
"Alx3",7
"Foxb1",5
"Irx5",5
"Epas1",1
"Nfyc",3
"Pou4f2",7
"Ets2",4
"Gsx2",3
"Thap1",3
"Nfic",1
"Batf3",7
"Six4",7
"Cdx1",3
"Stat6",2
"Gli2",7
"Zbtb2",2
"Tet1",5
"Glis3",7
"Pparg",7
"Zbtb33",1
"Spic",2
"Isl1",5
"Nr4a2",2
"Srebf1",5
"Hoxc9",5
"Hes1",6
"Twist2",2
"Sox3",5
"Plagl1",7
"Foxo3",1
"Lhx9",7
"Mecom",7
"Mxi1",5
"Nr1h4",5
"Nr1i3",5
"Thap11",6
"Arntl",6
"Dmrta1",7
"Tbx10",5
"Rhox11",7
"Zfp711",7
"Nkx1-2",3
"Dpf3",6
