"","MP_Kaech_Chung","MP_Kaech_Kaech","MP_Kaech_Scott","MP_MilnerAug_Kaech","MP_MilnerAug_Scott","MP_MilnerAug_Chung","Naive_Kaech_Kaech","Naive_Kaech_Chung","Naive_Mackay_Chung","Naive_MilnerAug_Chung","Naive_Renkema_Chung","Naive_Scott_Scott","TCM_Mackay_Chung","TCM_MilnerAug_Chung","TCM_Renkema_Chung","TEM_Mackay_Chung","TEM_MilnerAug_Chung","TEM_Renkema_Chung","TE_Kaech_Chung","TE_Kaech_Kaech","TE_Kaech_Scott","TE_MilnerAug_Kaech","TE_MilnerAug_Scott","TE_MilnerAug_Chung","TRM.IEL_Milner17_Milner17","TRM.IEL_MilnerApr_Chung","TRM.IEL_MilnerApr_Milner17","TRM.IEL_Milner17_Chung","TRM.liver_Mackay_Chung","TRM.lungA_Hayward_Hayward","TRM.lungI_Hayward_Hayward","TexInt_Beltra_Beltra","TexInt_Beltra_Chung","TexInt_Hudson_Chung","TexInt_Hudson_Beltra","TexProg1_Beltra_Beltra","TexProg2_Beltra_Beltra","TexProg_Beltra_Chung","TexProg_Hudson_Chung","TexProg_Hudson_Beltra","TexTerm_Beltra_Beltra","TexTerm_Beltra_Chung","TexTerm_Hudson_Chung","TexTerm_Hudson_Beltra"
"Bbx",-1.48270776624983,-0.644459881410193,-0.995567218850495,-0.716578162339281,-0.336024102762157,0.0862898271317146,-0.638615748055334,-0.565827795035169,-1.802807145478,-0.974331756852127,-0.600435030198568,0.681667328571906,-0.509644622610272,0.25911330379003,0.95120136484264,-0.865974975345641,0.507748217417538,1.89405662892265,-1.71315503122895,-1.15633927039442,-1.18515483895917,-0.993019181644228,-0.285841747341316,-0.206966865353627,-1.22372454301691,1.81261584662335,0.620378323429038,-0.345385163230561,-0.60896855878863,0.479794667560838,0.877147495336692,0.341998929008404,0.578430092001509,0.0125199585388727,0.0993821299478636,2.32384186407175,1.2779342644254,1.90719799011554,0.514281372998222,0.608680933249053,1.12597264173399,0.726095118038237,-0.201046551311981,0.366227658701606
"Dmrtb1",-0.914317356631606,-0.2695603490418,-0.608792008141105,0.512878276139545,1.02634981736975,1.69591986605531,-0.983738063811342,-0.617092062739412,-0.427825694833176,0.990481488231939,0.9776834445244,-0.122468577889419,0.142658230358198,0.996523680793719,0.901354820671685,-0.610083218548114,0.522349207054487,0.795380192704027,-0.835742718518433,-0.485312677108158,-0.605130244207956,0.336926142883577,0.665212427520321,0.827559838034056,-0.166137586171016,-0.508703748486761,-0.0857640718755617,-0.648153302736576,4.71562843576907,-0.495067861539376,-0.287361623070297,-0.536420884173233,-0.40333583832248,0.32581249860002,0.232008707626713,-0.76046912936043,-0.755597816881577,-0.144137209468521,-0.523201575558668,-0.88954254959439,-0.657190068363569,-0.868896803537801,-0.851883102463645,-0.602800931262398
"Dbx2",-0.737269366431956,0.074253502854296,-0.796738166160647,0.114036528662407,0.417278703052986,1.46856424697835,-1.18163769522104,-1.38489487726872,-1.36243167084079,-1.17135308085094,-0.827501749998754,-0.778677676974015,-0.817099513958152,-0.104976282835967,1.54737172727728,0.0235241688344782,0.672356241448021,-0.273514167897721,-0.916934976807104,0.634773802464723,-0.601207504976055,-0.178090028846436,0.340108822276875,2.40698690745057,0.321457292878121,-0.467867042694317,1.04697621782008,-0.404118950860016,-0.11565189419343,3.54534771213001,1.49180027411878,-0.0409594399944082,0.764651128607201,0.109928317006025,-0.16920517692858,-0.571531671257004,-0.838254625086354,1.02131441697093,0.205894608000287,-0.766235030479346,-0.529788178075314,-0.434325514887115,-0.240349779566431,-0.496010555740807
"Lcor",1.82401979535718,0.919692960198526,0.311846273954265,1.81827594717964,-0.097086483723204,1.30304839982484,-0.490403425242698,-0.760351824047582,-0.941567880486677,-0.0652653093945863,-0.00439310131990079,0.742401507588792,0.733102991467766,1.04038353273722,-0.0190981896227717,-0.36971136382693,-1.49570203938365,-1.38567928693889,-0.290831282091444,0.634595634259297,0.405207525128973,0.416319235545387,0.531152947111456,1.54546836075159,1.24551140739456,-0.604983905131002,-0.499352618592195,-0.335295424381926,0.57001120757141,2.75287950701307,0.957896848567566,-1.53214188964474,-0.869162689501203,-1.26687047601615,-1.56351501065195,-0.579373421831464,-0.847402574613612,-0.866082845882011,-0.97054320035219,-0.388195148683005,0.101365545515012,-0.631689646981367,-0.557631294995527,-0.420849293829866
"Duxbl3",-0.341778349473232,-0.627015787137063,-0.926591457573524,1.33763914788061,0.685726903699402,1.0067165567382,-0.372828528369188,-0.385137144263164,0.072338333217844,-0.00493493331598794,3.34759326761429,-0.689020103206652,-1.05141927511911,0.577738651887429,1.02454241439025,-0.781265010665138,1.00244870344696,1.79100734584094,-0.559682642156569,-0.715178700618805,-1.08278916225027,1.32201696001809,0.0972649175582573,0.613812398588297,-0.0435305113978291,1.58065953384597,0.0257451585551004,0.847310380299681,-0.975046980830167,2.07154221679842,-0.798925023815544,-0.285351083284719,-0.506598228962448,-0.674675401219269,-0.672382354396914,-0.236506690348457,-0.693227833983596,-0.165358719724837,-0.71439399477871,-0.950764965416179,-0.879854842893786,-0.492322280801684,-0.782388196397221,-0.995134687979686
"Rhox9",-0.649748667163918,-0.352924254949903,-0.832526088635112,1.02364598268211,0.618418264172463,0.949728134934372,-1.31778083345788,0.382372298748585,0.57356725119163,1.29645757540398,1.03391053269732,-0.899733460546668,-1.48866545770418,1.45069741460103,0.432783924616483,-1.77827931901264,0.0524058931101844,-0.981385074355628,-0.0547042909704538,-0.802933648182498,-0.724105397385261,0.937407136303653,0.532222524085333,0.6355673450463,0.422958391360658,-0.240925838204444,1.59815722944202,-0.395425214940116,-1.38838015204718,2.37531450053587,2.52249983227336,-0.357826730730267,0.150472447814042,0.16994227512779,-1.01902085830082,-0.247896434436889,-0.533072153076367,0.797186098124812,-0.153100186168786,-0.943782390427801,-0.858957032213109,-0.311320418633014,-0.54961935201825,-1.07360179871081
"Msgn1",-0.968259906171267,-0.473635701479572,-0.726854191714144,-0.0970410144041572,0.379777898927745,0.636250674704129,-0.850066911840469,-0.661419330699212,0.815060054346562,0.132589707083797,0.403177781270029,4.52633399915852,0.873916220579582,1.00987668080467,1.14488898272742,-0.446019028377054,0.642819033990048,2.02293665931151,-1.06149397495747,-0.776533866221873,-0.813555579365952,-0.437529329422134,0.58428460434213,-0.0586421389182727,-0.20168632551986,-0.25540059755108,-0.20268973021299,-0.243519677974038,-0.627300533894414,-0.318983806031025,-0.50830680632401,-0.529838290512924,-0.559076998087788,0.838555133692474,0.992734151055418,-0.721279174799309,-0.858949923284301,-0.257688174362537,0.583248508429938,0.247701928036589,-0.893410104931416,-0.733087230330436,-0.664641197185605,-0.887242473887262
"Prdm14",-1.14586863803125,-0.385927425462818,-0.674412247635107,0.343505875328011,0.705676553765682,1.47878141259962,-1.09427025898795,-0.499379481524117,0.0702257928342325,0.566677166172942,1.66042472681654,-0.0165860923391838,-0.557850316538504,1.80278995941137,1.49974710570184,0.127323752315128,1.65066812023243,2.94073761463905,-1.13527779611985,0.107897567771907,0.246862883182863,-0.767515225817349,1.37231504443303,1.0402778961909,-0.470055623197312,-0.337010501969449,-0.358912748998975,-0.12582490590552,-0.659858684343452,-0.389183504250312,1.72307713301208,-1.20737884109476,-0.172307485681932,-0.35170265335394,-1.20555207395314,-0.503356663520967,-1.09090308156207,-0.227811120090619,-0.249611739346842,-0.740246919832745,-0.954712512644811,-0.996974756816791,-0.562828325999118,-0.455668979388739
"Arid3c",-0.169039395106238,-0.152156289500678,-0.154088593543929,-0.160481655124239,-0.137556798938166,-0.134146701628371,-0.173285733498037,-0.164602445025252,-0.15494743541953,-0.1445982137394,-0.126579844948039,-0.153927400661813,-0.162826548904753,-0.157011903668923,-0.154751965128083,-0.160503058014183,-0.133607013170487,-0.116841313695548,-0.169068147589986,-0.156249366565775,-0.161346116055829,-0.153054942012711,-0.147918156682073,-0.138533865707366,-0.160636454733633,-0.166289700366786,-0.152034526544165,-0.155151146238122,-0.159956833852415,-0.161241921662713,-0.153264144117811,-0.13362016957633,-0.128895845445897,-0.128722312526567,-0.131769661790986,-0.137409373409729,6.48192280296813,-0.143479475652834,-0.151184412913626,-0.165346999342453,-0.149364259499435,-0.16298023704514,-0.161179798535124,-0.142272625384964
"Pitx3",-0.78585384027665,1.42272387852244,-0.501652758576025,0.409120782640814,0.975691313025455,2.63647422169134,-1.3546909597075,-0.378019271152204,-0.467124298599426,0.885267071608337,0.997823961931566,0.413517567319763,-1.16152252576252,1.31551057991124,0.701356525712074,-1.27927165269544,-0.335707839062523,-0.304296274236919,-0.726688376951856,-0.818814759319229,-0.399132963766773,0.381658052938507,0.736661741620342,0.0468933865821614,-0.808061991104834,-0.742813203611715,-0.296922908668605,-0.814504131949913,-1.08578489304182,0.937191663185596,0.0158459630587386,-0.293671613473795,1.24860674352211,3.35224690135568,-0.191874467966081,-0.432594286495697,-0.204927942124952,0.660179254838886,-0.0260465537868177,-0.908940610320194,-0.595165628286352,-0.717619295513186,-0.771815696738213,-0.733250866275812
