"","Naive_Kaech_Kaech","Naive_Kaech_Chung","Naive_Mackay_Chung","Naive_MilnerAug_Chung","Naive_Renkema_Chung","Naive_Scott_Scott","MP_Kaech_Chung","MP_Kaech_Kaech","MP_Kaech_Scott","MP_MilnerAug_Kaech","MP_MilnerAug_Scott","MP_MilnerAug_Chung","TE_Kaech_Chung","TE_Kaech_Kaech","TE_Kaech_Scott","TE_MilnerAug_Kaech","TE_MilnerAug_Scott","TE_MilnerAug_Chung","TCM_Mackay_Chung","TCM_MilnerAug_Chung","TCM_Renkema_Chung","TEM_Mackay_Chung","TEM_MilnerAug_Chung","TEM_Renkema_Chung","TRM.IEL_Milner17_Milner17","TRM.IEL_MilnerApr_Chung","TRM.IEL_MilnerApr_Milner17","TRM.IEL_Milner17_Chung","TRM.liver_Mackay_Chung","TexProg1_Beltra_Beltra","TexProg2_Beltra_Beltra","TexProg_Beltra_Chung","TexProg_Hudson_Chung","TexProg_Hudson_Beltra","TexInt_Beltra_Beltra","TexInt_Beltra_Chung","TexInt_Hudson_Chung","TexInt_Hudson_Beltra","TexTerm_Beltra_Beltra","TexTerm_Beltra_Chung","TexTerm_Hudson_Chung","TexTerm_Hudson_Beltra"
"Bbx",0.00154565959307576,0.00158767013226879,0.000873730979888027,0.00135189661499918,0.00156769610430304,0.00230767860357297,0.00105848061164377,0.00154228657345965,0.00133964028450013,0.00150066254445768,0.00172030440236928,0.00196404852715123,0.000925474894960816,0.00124684854778707,0.00123021725754837,0.00134111091820362,0.00174926781900255,0.00179479151054216,0.00162009700057887,0.00206379590481987,0.00246324377232377,0.00141443617858669,0.00220729886582237,0.00300742528013475,0.00120795623774016,0.00296042064496184,0.00227230483571961,0.00171490154129985,0.00156277086430916,0.00325548156852653,0.00265182202894505,0.0030150099922545,0.00221106956381823,0.00226555353075468,0.00211163445037988,0.00224809385371856,0.00192147126227161,0.00197160492457365,0.00256411534891043,0.00233332069561144,0.00179820849885907,0.0021256183853051
"Dmrtb1",2.71522844167039e-05,3.66562590286556e-05,4.15623066883008e-05,7.83268027427801e-05,7.7995059638741e-05,4.94775881274208e-05,2.89517657601552e-05,4.56647647103587e-05,3.6871407995096e-05,6.59466628011414e-05,7.92565597522721e-05,9.6612747260185e-05,3.09885297329999e-05,4.0072164102641e-05,3.69663260123494e-05,6.13857386331579e-05,6.98953760095859e-05,7.41036468302894e-05,5.6350043976295e-05,7.8483424782949e-05,7.60165154813234e-05,3.68379380243585e-05,6.61921625112269e-05,7.32695056386658e-05,4.83456266582543e-05,3.94658349789667e-05,5.04290200052541e-05,3.58511084597534e-05,0.000174887795939694,3.29397259228304e-05,3.30659971217267e-05,4.89159070404829e-05,3.90900311245212e-05,2.95939632378566e-05,3.87473682478144e-05,4.21971178517868e-05,6.10976575063806e-05,5.86661326968676e-05,3.56168629181629e-05,3.0129129708493e-05,3.05701485184388e-05,3.70267050456216e-05
"Dbx2",9.76838178845786e-06,7.62197899962183e-06,7.85919122719173e-06,9.87698766768778e-06,1.35080694727725e-05,1.40236533525001e-05,1.44609265269733e-05,2.30306357608228e-05,1.38329339694633e-05,2.34507458729606e-05,2.66529935979731e-05,3.77546048700171e-05,1.25636515412525e-05,2.89497492807613e-05,1.58977444339275e-05,2.03658794421008e-05,2.58380770196594e-05,4.76643802356522e-05,1.36179174408627e-05,2.1137963098669e-05,3.85868145552576e-05,2.2494932259874e-05,2.9346621120823e-05,1.93581972725531e-05,2.56411162317835e-05,1.73058242725975e-05,3.33026208741308e-05,1.79790063009896e-05,2.102522827789e-05,1.62111222521867e-05,1.33945187443627e-05,3.30316313801594e-05,2.44207703300629e-05,1.41550481247172e-05,2.18139831468824e-05,3.03212582834464e-05,2.34073630174691e-05,2.04597037819974e-05,1.66519349667894e-05,1.76600239525395e-05,1.97084143467405e-05,1.70086278130084e-05
"Lcor",0.00012450014304618,0.000106677751227861,9.47135996495336e-05,0.000152568389092803,0.000156587262136527,0.000205891744721732,0.00027730178089091,0.000217596788161288,0.000177465852561471,0.000276922563554492,0.000150467508185509,0.000242906480239302,0.000137676190568634,0.000198774241808951,0.000183629700194763,0.000184363311720853,0.000191944802889326,0.000258911403948226,0.000205277842959871,0.000225564957937753,0.00015561641049741,0.000132468411120507,5.81288444018643e-05,6.53927089466497e-05,0.000239107803056255,0.000116935370606924,0.000123909304089406,0.000134740602251478,0.000194510282611975,0.000118626212523534,0.000100930532161049,9.96972330739206e-05,9.28006062552753e-05,0.000131248084356396,5.57230316908818e-05,9.94938972513582e-05,7.32366420431534e-05,5.36517319253363e-05,0.000163569604133782,0.000115172218103841,0.000120061659835499,0.000129092209485953
"Rhox9",8.58509911256572e-06,1.81712435825837e-05,1.92492773204498e-05,2.33252225706781e-05,2.1844877163029e-05,1.09422176780196e-05,1.23517320913269e-05,1.40253470403633e-05,1.13211597652881e-05,2.17870015178877e-05,1.95021652997243e-05,2.13702230795225e-05,1.57068306693352e-05,1.14880137998014e-05,1.19324790577517e-05,2.13007523532382e-05,1.90161591856144e-05,1.95988586879083e-05,7.62158314174028e-06,2.41948885752082e-05,1.84554845249928e-05,5.98862416738037e-06,1.63107607973671e-05,1.04818331683213e-05,1.84000842322186e-05,1.46568389824696e-05,2.50263260862242e-05,1.37857096013216e-05,8.18703187105581e-06,1.46175359683701e-05,1.30096010203744e-05,2.0510129965022e-05,1.51520351931161e-05,1.06938521645895e-05,1.39977049178973e-05,1.68636993199389e-05,1.69734780062821e-05,1.02696275408948e-05,1.11721315167039e-05,1.42599261367315e-05,1.2916301283647e-05,9.96187833279813e-06
"Msgn1",2.60222416181022e-05,3.03831470492988e-05,6.45144458994794e-05,4.8737998483595e-05,5.4993095926123e-05,0.000150306771487106,2.32900121996894e-05,3.47240807819214e-05,2.88705104225088e-05,4.34296989843474e-05,5.44521683755099e-05,6.03809670066454e-05,2.11347502319366e-05,2.77220813725831e-05,2.68662623424874e-05,3.5558740166651e-05,5.91796840794612e-05,4.43173534331624e-05,6.58750049558545e-05,6.90179591662221e-05,7.21389951062079e-05,3.53624865276816e-05,6.05328056547252e-05,9.24365407121489e-05,4.10106469995143e-05,3.976895145687e-05,4.09874516160935e-05,4.00435988517515e-05,3.11718602964648e-05,2.89993862946288e-05,2.58168959008848e-05,3.97160702798042e-05,5.91557329836486e-05,5.13990106551439e-05,3.34248636158167e-05,3.27489618210891e-05,6.50575740885934e-05,6.86216808220434e-05,2.50202909701679e-05,2.8726423274451e-05,3.03086681984484e-05,2.51628661124271e-05
"Prdm14",3.92885524776547e-05,5.13677241654097e-05,6.29334773488058e-05,7.30138510919415e-05,9.52222380237434e-05,6.11707745043982e-05,3.82408548113185e-05,5.3671351848689e-05,4.78137090202248e-05,6.84823901246252e-05,7.58362136681164e-05,9.15339966499015e-05,3.84559003333066e-05,6.36983973215016e-05,6.65200680669252e-05,4.59232664369676e-05,8.9372212354743e-05,8.26302458085007e-05,5.01804822688784e-05,9.81129435986583e-05,9.19597020333573e-05,6.40928432050569e-05,9.5024131530108e-05,0.000121218807094767,5.19631408917993e-05,5.46646029456925e-05,5.42198809694246e-05,5.89526961040911e-05,4.81092170299774e-05,5.12869680569049e-05,3.93569225310682e-05,5.68818806912553e-05,5.64392222523096e-05,4.64769454686488e-05,3.69918989836279e-05,5.80088740061881e-05,5.43662809246446e-05,3.7028991227739e-05,4.21222524479614e-05,4.12641236575983e-05,5.00794045026464e-05,5.22552596254519e-05
"Arid3c",1.29868613570539e-05,2.01377518316683e-05,2.80888773111757e-05,3.6611702616826e-05,5.14502493450698e-05,2.89288997123196e-05,1.64838200096516e-05,3.03874510401189e-05,2.87961536163086e-05,2.35313183754265e-05,4.24104718489865e-05,4.52187664768278e-05,1.64601416690321e-05,2.70167066627555e-05,2.28194146467002e-05,2.96473897478533e-05,3.38776522119102e-05,4.16058345880185e-05,2.1600243685047e-05,2.63887395827103e-05,2.82498516528156e-05,2.35136925966324e-05,4.5663212502644e-05,5.9470156847675e-05,2.34038372885367e-05,1.87482577260851e-05,3.04877256732394e-05,2.79211167033355e-05,2.39635209269512e-05,4.253188020831e-05,0.00549370623157581,3.75330095101634e-05,3.11878140650989e-05,1.95245939950502e-05,4.56523778957416e-05,4.95429689464924e-05,4.96858773508091e-05,4.71763141944022e-05,3.268675283152e-05,2.14736779187939e-05,2.29563810020505e-05,3.85268788387997e-05
"Pitx3",6.9806465670965e-06,1.42057549669949e-05,1.35465841424219e-05,2.35511479721484e-05,2.43838082645172e-05,2.00612942720528e-05,1.11887237520237e-05,2.75270835252324e-05,1.32911535108844e-05,2.00287682489391e-05,2.42200779246318e-05,3.65060248650608e-05,1.16264111459156e-05,1.09448892927744e-05,1.4049562543635e-05,1.98256076563046e-05,2.24518127190152e-05,1.73491244826619e-05,8.4096455757148e-06,2.6733953435097e-05,2.21906358926485e-05,7.53857475831233e-06,1.45187615658194e-05,1.47511343923637e-05,1.1024434872787e-05,1.15071247757748e-05,1.48056802199201e-05,1.09767779513481e-05,8.96992863989189e-06,1.38020262561052e-05,1.54862299003415e-05,2.18860194599649e-05,1.68095378620775e-05,1.02781667382605e-05,1.482973227395e-05,2.62390200035817e-05,4.18010848743362e-05,1.55827953756166e-05,1.25993748626857e-05,1.16935013434198e-05,1.12925735000885e-05,1.15778639244754e-05
"Zfp879",8.8577432085554e-05,0.000123379246687318,0.000261826359150153,0.000520271038125427,0.000248353910115557,0.000250890572453503,9.78366362505022e-05,0.000170641502600899,0.000149580251509883,0.000112019180735096,0.000170930925235962,0.000192501739328702,7.08764610884912e-05,0.000107281985749909,9.00261688757876e-05,0.000115602880478682,0.000154174859041106,0.000177888994974453,0.000130094713498078,0.000145307481390132,0.00028187151044724,0.000144649492677219,0.000163032299575467,0.000251242438197578,0.000524793823572594,0.000151632793717116,9.84424680774609e-05,0.000626013793057186,9.37294202065239e-05,0.000145617685688619,0.000119966690468693,0.000163979456155723,0.000124211464287059,0.000118668427997941,0.000121997018676971,0.000149692646277593,0.000154459493600286,0.000126037208009371,0.000117565314954237,6.59330335601173e-05,6.4461679554649e-05,0.000116626637296684
