TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Bhlha15 Zfp90 65 19 ko oe ko
Zfp324 Zscan20 Sp8 82 18 ko ko ko
Zfp324 Zscan20 Vax2 77 18 ko ko ko
Zfp324 Zscan20 Zfp768 76 18 ko ko ko
Zfp324 Zscan20 Zfp90 74 18 ko ko ko
Zfp324 Bhlha15 Lin54 66 18 ko oe ko
Zfp324 Bhlha15 Nhlh1 66 18 ko oe ko
Zfp324 Bhlha15 Esr1 64 18 ko oe oe
Zfp324 Bhlha15 Mafb 64 18 ko oe ko
Zfp324 Bhlha15 Tef 64 18 ko oe ko
Zfp324 Bhlha15 Pbx1 62 18 ko oe oe
Zfp324 Zscan20 Zbtb32 76 17 ko ko ko
Zfp324 Zscan20 Esr1 74 17 ko ko oe
Zfp324 Zscan20 Lin54 74 17 ko ko ko
Zfp324 Zscan20 Tef 73 17 ko ko ko
Zfp324 Zscan20 Pbx1 70 17 ko ko oe
Zfp324 Foxd2 Vax2 67 17 ko ko ko
Zfp324 Foxd2 Esr1 66 17 ko ko oe
Zfp324 Zfp282 Zfp768 66 17 ko ko ko
Zfp324 Bhlha15 Tal1 65 17 ko oe oe
Zfp324 Foxd2 Zfp90 64 17 ko ko ko
Zfp324 Zfp282 Zfp90 64 17 ko ko ko
Zfp324 Bhlha15 Vax2 62 17 ko oe ko
Zfp324 Bhlha15 Zfp768 60 17 ko oe ko
Zfp324 Plag1 Esr1 56 17 ko oe oe
Zfp324 Plag1 Nhlh1 56 17 ko oe ko
Zfp324 Plag1 Zfp90 55 17 ko oe ko
Zfp324 Hsf2 Etv1 81 16 ko oe oe
Zfp324 Hsf2 Sp8 81 16 ko oe ko
Zfp324 Hsf2 Arid5b 80 16 ko oe ko
Zfp324 Hsf2 Trp73 80 16 ko oe ko
Zfp324 Zscan20 Foxd2 78 16 ko ko ko
Zfp324 Zscan20 Plag1 78 16 ko ko oe
Zfp324 Zscan20 Zfp113 78 16 ko ko ko
Zfp324 Zscan20 Trp73 77 16 ko ko ko
Zfp324 Gmeb1 Zfp113 77 16 ko oe ko
Zfp324 Hsf2 Vax2 76 16 ko oe ko
Zfp324 Hsf2 Esr1 75 16 ko oe oe
Zfp324 Hsf2 Lin54 75 16 ko oe ko
Zfp324 Hsf2 Nhlh1 75 16 ko oe ko
Zfp324 Zscan20 Pou2f1 75 16 ko ko ko
Zfp324 Hsf2 Zfp768 75 16 ko oe ko
Zfp324 Zscan20 Pou6f1 74 16 ko ko ko
Zfp324 Hsf2 Tef 74 16 ko oe ko
Zfp324 Hsf2 Ehf 73 16 ko oe ko
Zfp324 Hsf2 Mafb 73 16 ko oe ko
Zfp324 Gmeb1 Plag1 73 16 ko oe oe
Zfp324 Hsf2 Zfp90 73 16 ko oe ko
Zfp324 Zscan20 Nhlh1 72 16 ko ko ko
Zfp324 Hsf2 Pbx1 71 16 ko oe oe
Zfp324 Zscan20 Ehf 70 16 ko ko ko
Zfp324 Zscan20 Mafb 70 16 ko ko ko
