TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Zscan20 Hand2 96 20 ko ko ko
Zfp324 Zscan20 Hey1 96 20 ko ko ko
Zfp324 Zscan20 Hhex 96 20 ko ko oe
Zfp324 Zscan20 Hnf4g 96 20 ko ko oe
Zfp324 Zscan20 Kdm2a 96 20 ko ko ko
Zfp324 Bhlha15 Mafb 96 20 ko oe ko
Zfp324 Foxd2 Mafb 96 20 ko ko ko
Zfp324 Zscan20 Mecom 96 20 ko ko oe
Zfp324 Zscan20 Mlxipl 96 20 ko ko ko
Zfp324 Zscan20 Msx1 96 20 ko ko oe
Zfp324 Zscan20 Naif1 96 20 ko ko ko
Zfp324 Zscan20 Nr3c2 96 20 ko ko ko
Zfp324 Zscan20 Nr6a1 96 20 ko ko oe
Zfp324 Zscan20 Otx2 96 20 ko ko oe
Zfp324 Zscan20 Pax6 96 20 ko ko ko
Zfp324 Zscan20 Prdm11 96 20 ko ko ko
Zfp324 Zscan20 Prox2 96 20 ko ko ko
Zfp324 Zscan20 Sox21 96 20 ko ko oe
Zfp324 Zscan20 Sox6 96 20 ko ko ko
Zfp324 Zscan20 Sox9 96 20 ko ko ko
Zfp324 Zscan20 Tcf7l2 96 20 ko ko ko
Zfp324 Bhlha15 Zfp184 96 20 ko oe oe
Zfp324 Foxd2 Zfp300 96 20 ko ko ko
Zfp324 Foxd2 Zfp652 96 20 ko ko oe
Zfp324 Zscan20 Cebpa 95 20 ko ko oe
Zfp324 Zscan20 Cebpe 95 20 ko ko oe
Zfp324 Zscan20 Dmrta1 95 20 ko ko oe
Zfp324 Bhlha15 Duxbl1 95 20 ko oe oe
Zfp324 Foxd2 Duxbl1 95 20 ko ko oe
Zfp324 Foxd2 Ebf1 95 20 ko ko oe
Zfp324 Zscan20 Gata2 95 20 ko ko oe
Zfp324 Zscan20 Hes5 95 20 ko ko oe
Zfp324 Bhlha15 Hic2 95 20 ko oe oe
Zfp324 Zscan20 Hoxa9 95 20 ko ko ko
Zfp324 Zscan20 Irf6 95 20 ko ko ko
Zfp324 Zscan20 Msc 95 20 ko ko ko
Zfp324 Zscan20 Myrf 95 20 ko ko ko
Zfp324 Zscan20 Nkx2-3 95 20 ko ko oe
Zfp324 Zscan20 Nkx6-2 95 20 ko ko oe
Zfp324 Gmeb1 Nr5a1 95 20 ko oe oe
Zfp324 Zscan20 Onecut1 95 20 ko ko oe
Zfp324 Zscan20 Pax3 95 20 ko ko ko
Zfp324 Foxd2 Pbx1 95 20 ko ko oe
Zfp324 Zscan20 Pitx2 95 20 ko ko oe
Zfp324 Zscan20 Pou3f2 95 20 ko ko oe
Zfp324 Zscan20 Ppara 95 20 ko ko oe
Zfp324 Zscan20 Prrx2 95 20 ko ko ko
Zfp324 Zscan20 Tbr1 95 20 ko ko oe
Zfp324 Zscan20 Tcf21 95 20 ko ko ko
Zfp324 Foxd2 Tfec 95 20 ko ko oe
Zfp324 Bhlha15 Zbtb2 95 20 ko oe ko
Zfp324 Bhlha15 Zfp691 95 20 ko oe oe
Zfp324 Gmeb1 Zscan29 95 20 ko oe ko
Zfp324 Zscan20 Zscan4f 95 20 ko ko oe
Zfp324 Foxd2 Creb3l1 94 20 ko ko ko
Zfp324 Zscan20 Dbx2 94 20 ko ko ko
Zfp324 Zscan20 Dlx4 94 20 ko ko oe
Zfp324 Zscan20 Dmrta2 94 20 ko ko oe
Zfp324 Zscan20 Foxc2 94 20 ko ko ko
Zfp324 Zscan20 Foxf2 94 20 ko ko ko
Zfp324 Zscan20 Foxh1 94 20 ko ko ko
Zfp324 Zscan20 Gcm2 94 20 ko ko ko
Zfp324 Zscan20 Hnf1b 94 20 ko ko ko
Zfp324 Zscan20 Hsf5 94 20 ko ko ko
Zfp324 Zscan20 Irx2 94 20 ko ko ko
Zfp324 Zscan20 Lhx4 94 20 ko ko ko
Zfp324 Zscan20 Meox2 94 20 ko ko oe
Zfp324 Gmeb1 Mypop 94 20 ko oe oe
Zfp324 Zscan20 Onecut2 94 20 ko ko oe
Zfp324 Zscan20 Ovol2 94 20 ko ko ko
Zfp324 Bhlha15 Pbx1 94 20 ko oe oe
Zfp324 Zscan20 Prdm14 94 20 ko ko ko
Zfp324 Zscan20 Rorb 94 20 ko ko ko
Zfp324 Zscan20 Six3 94 20 ko ko oe
Zfp324 Zscan20 Sox12 94 20 ko ko ko
Zfp324 Zscan20 Sox13 94 20 ko ko ko
Zfp324 Zscan20 Sox15 94 20 ko ko oe
Zfp324 Foxd2 Zfp105 94 20 ko ko oe
Zfp324 Zscan20 Zfp128 94 20 ko ko ko
Zfp324 Gmeb1 Zfp248 94 20 ko oe ko
Zfp324 Zscan20 Zfp423 94 20 ko ko oe
Zfp324 Gmeb1 Zfp558 94 20 ko oe ko
Zfp324 Gmeb1 Zfp653 94 20 ko oe ko
Zfp324 Foxd2 Zscan29 94 20 ko ko ko
Zfp324 Foxd2 Arid2 93 20 ko ko ko
Zfp324 Gmeb1 Cebpd 93 20 ko oe oe
Zfp324 Bhlha15 Creb3l1 93 20 ko oe ko
Zfp324 Gmeb1 Cxxc5 93 20 ko oe ko
Zfp324 Foxd2 Epas1 93 20 ko ko oe
Zfp324 Gmeb1 Foxi3 93 20 ko oe oe
Zfp324 Bhlha15 Foxn2 93 20 ko oe oe
Zfp324 Gmeb1 Gli3 93 20 ko oe oe
Zfp324 Bhlha15 Glis3 93 20 ko oe oe
Zfp324 Gmeb1 Hes7 93 20 ko oe ko
Zfp324 Zscan20 Lbx2 93 20 ko ko oe
Zfp324 Bhlha15 Nr5a1 93 20 ko oe oe
