TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Pax6 Prdm14 Dbx2 3 1 ko ko ko
Pax6 Prdm14 Dlx1 3 1 ko ko oe
Onecut1 Msx1 Dlx4 3 1 oe oe oe
Mybl2 Zfp184 Dlx4 3 1 ko oe oe
Mybl2 Zfp184 Dmrta1 3 1 ko oe oe
Mybl2 Dlx4 Dmrta2 3 1 ko oe oe
Nr6a1 Lhx4 Dmrta2 3 1 oe ko oe
Sox12 Lhx4 Dmrta2 3 1 ko ko oe
Zbtb26 Lhx4 Dmrta2 3 1 oe ko oe
Sox12 Nr6a1 Dmrta2 3 1 ko oe oe
Nr6a1 Zbtb26 Dmrta2 3 1 oe oe oe
Sox12 Zbtb26 Dmrta2 3 1 ko oe oe
Mybl2 Zfp184 Dmrta2 3 1 ko oe oe
Foxf2 Foxh1 Foxc2 3 1 ko ko ko
Kdm2a Hnf1a Foxc2 3 1 ko ko ko
Dmrta1 Fbxl19 Gcm2 3 1 oe oe ko
Dmrta1 Hsf5 Gcm2 3 1 oe ko ko
Fbxl19 Hsf5 Gcm2 3 1 oe ko ko
Lhx4 Dlx4 Hes5 3 1 ko oe oe
Zfp454 Pou3f2 Hlf 3 1 oe oe ko
