TF freq type
Zbtb20 498 ko
Klf9 426 ko
Zfp324 394 ko
Setbp1 242 ko
Mnt 229 ko
Pou6f1 169 ko
Zkscan17 144 ko
Mybl2 126 ko
Zfp282 102 ko
Homez 87 ko
Kdm2b 82 oe
Cxxc5 75 ko
Zscan29 72 ko
Zfp248 70 ko
Gmeb1 58 oe
Jrkl 57 ko
Zscan20 57 ko
Pbx2 52 ko
Arid5b 51 ko
Lcor 43 oe
Atf6 38 oe
Sp140 38 oe
E2f5 29 ko
Hsf4 29 ko
Tef 29 ko
Zfp652 29 ko
Cxxc1 28 ko
Epas1 28 ko
Phf21a 28 ko
Arid3b 27 ko
Mypop 26 ko
Hinfp 24 ko
Zbtb37 24 ko
Zfp276 24 ko
Zfp113 22 ko
Tigd2 21 ko
Zbtb32 19 ko
Lin54 18 ko
Prdm11 16 ko
Foxn2 15 oe
Zfp90 15 ko
Bach1 14 ko
Arid2 13 ko
Zbtb45 13 ko
Zfp653 13 ko
Kdm2a 12 ko
Naif1 11 ko
Cdc5l 10 ko
Hmbox1 10 ko
Mynn 10 ko
Rest 10 ko
Zbtb2 10 ko
Zfp69 10 ko
Zfp691 10 ko
Zzz3 10 ko
Bcl11b 9 ko
Pou2f1 9 ko
Zbtb26 9 ko
Zik1 9 ko
