TF1 TF2 TF3 z-score.sum freq TF1_type TF2_type TF3_type
Zfp324 Zkscan17 Zfp282 44 10 ko ko ko
Zfp324 Zkscan17 Hinfp 34 10 ko ko ko
Zfp324 Zkscan17 Zfp113 33 10 ko ko ko
Zfp324 Zkscan17 Epas1 51 9 ko ko oe
Zfp324 Zkscan17 Cxxc1 41 9 ko ko ko
Zfp324 Klf9 Cxxc1 38 9 ko ko ko
Zfp324 Zkscan17 Tef 37 9 ko ko ko
Zfp324 Zkscan17 Gmeb1 36 9 ko ko oe
Zfp324 Zkscan17 Arid5b 35 9 ko ko ko
Zfp324 Zkscan17 Lin54 34 9 ko ko ko
Zfp324 Zkscan17 Zfp653 33 9 ko ko ko
Zfp324 Klf9 Tef 32 9 ko ko ko
Zfp324 Klf9 Arid5b 31 9 ko ko ko
Zfp324 Klf9 Zfp653 30 9 ko ko ko
Zfp324 Zkscan17 Hsf4 28 9 ko ko ko
Zbtb32 Zfp324 Gmeb1 87 8 ko ko oe
Zbtb32 Zfp324 Zfp248 70 8 ko ko ko
Zfp324 Zkscan17 Zbtb20 69 8 ko ko ko
Zbtb32 Zfp324 Zfp113 64 8 ko ko ko
Zbtb32 Zfp324 Zscan20 63 8 ko ko ko
Zbtb32 Zfp324 Zfp282 60 8 ko ko ko
Zbtb32 Zfp324 Zbtb20 55 8 ko ko ko
Zbtb32 Zfp324 Epas1 54 8 ko ko oe
Zbtb32 Zfp324 Bach1 52 8 ko ko ko
Zbtb32 Zfp324 Kdm2b 50 8 ko ko ko
Zbtb32 Zfp324 Zfp653 49 8 ko ko ko
Zbtb32 Zfp324 Zik1 49 8 ko ko oe
Zbtb32 Zfp324 Pou6f1 48 8 ko ko ko
Zbtb32 Gmeb1 Zfp248 47 8 ko oe ko
Zbtb32 Zfp324 Homez 46 8 ko ko ko
Zfp324 Zkscan17 Kdm2b 44 8 ko ko ko
Zbtb32 Zfp324 Cxxc1 43 8 ko ko ko
Zfp324 Zkscan17 Jrkl 43 8 ko ko oe
Zbtb32 Zfp324 Mynn 43 8 ko ko ko
Zbtb32 Gmeb1 Zfp113 43 8 ko oe ko
Zbtb32 Zfp324 Zbtb26 42 8 ko ko oe
Zbtb32 Gmeb1 Zscan20 42 8 ko oe ko
Zbtb32 Zfp324 Cdc5l 41 8 ko ko ko
Zbtb32 Gmeb1 Zfp282 41 8 ko oe ko
Zbtb32 Zfp324 Zzz3 41 8 ko ko ko
Zbtb32 Zfp324 Foxn2 40 8 ko ko oe
Zfp324 Zscan29 Gmeb1 40 8 ko ko oe
Zbtb32 Zfp324 Tef 40 8 ko ko ko
Zfp324 Zkscan17 Zscan20 40 8 ko ko ko
Zfp324 Setbp1 Gmeb1 39 8 ko ko oe
Zbtb32 Zfp324 Naif1 39 8 ko ko ko
Zbtb32 Zfp324 Tigd2 39 8 ko ko ko
Zfp324 Klf9 Zfp282 39 8 ko ko ko
Zfp324 Klf9 Zscan20 39 8 ko ko ko
Zbtb32 Zfp324 Zfp276 37 8 ko ko ko
Zbtb32 Zfp324 Arid5b 36 8 ko ko ko
Zbtb32 Zfp324 Mnt 36 8 ko ko ko
Zbtb32 Zfp324 Zbtb45 36 8 ko ko ko
Zbtb32 Zfp324 Kdm2a 35 8 ko ko ko
Zbtb32 Zfp324 Jrkl 34 8 ko ko oe
Zbtb32 Zfp324 Phf21a 34 8 ko ko oe
Zfp324 Zkscan17 Zfp248 34 8 ko ko ko
Zbtb32 Zfp324 Arid3b 33 8 ko ko ko
Zbtb32 Zfp324 Hinfp 33 8 ko ko ko
Zbtb32 Gmeb1 Zik1 33 8 ko oe oe
Zbtb32 Zfp324 Pou2f1 32 8 ko ko ko
Zfp324 Zkscan17 Zfp652 32 8 ko ko oe
Zbtb32 Gmeb1 Zfp653 32 8 ko oe ko
Zfp324 Pou6f1 Cxxc1 31 8 ko ko ko
Zfp324 Zkscan17 Cxxc5 31 8 ko ko ko
Zbtb32 Zfp324 Hmbox1 31 8 ko ko oe
Zbtb32 Zfp324 Sp140 31 8 ko ko oe
Zfp324 Klf9 Zbtb26 31 8 ko ko oe
Zfp324 Kdm2b Gmeb1 30 8 ko ko oe
Zbtb32 Zfp324 Hsf4 30 8 ko ko ko
Zbtb32 Zfp324 Pbx2 30 8 ko ko oe
Zfp324 Pou6f1 Zfp282 30 8 ko ko ko
Zbtb32 Klf9 Zfp653 30 8 ko ko ko
Zfp324 Pou6f1 Zscan20 30 8 ko ko ko
Zbtb32 Zfp324 Bcl11b 29 8 ko ko ko
Zfp324 Klf9 Lin54 29 8 ko ko ko
Zfp324 Klf9 Sp140 29 8 ko ko oe
Zbtb32 Zfp324 Zbtb2 29 8 ko ko ko
Zbtb32 Zfp324 Zfp652 29 8 ko ko oe
Zbtb32 Lin54 Zfp653 29 8 ko ko ko
Zbtb32 Gmeb1 Cxxc1 28 8 ko oe ko
Zbtb32 Gmeb1 Mynn 28 8 ko oe ko
Zbtb32 Zfp324 Zbtb37 28 8 ko ko oe
Zfp324 Pou6f1 Zfp276 28 8 ko ko ko
Zfp324 Klf9 Zfp652 28 8 ko ko oe
Zbtb32 Zfp324 Zfp90 28 8 ko ko ko
Zbtb32 Zfp324 Atf6 27 8 ko ko oe
Zbtb32 Gmeb1 Cdc5l 27 8 ko oe ko
Zbtb32 Zfp324 Lcor 27 8 ko ko oe
Zfp324 Zkscan17 Phf21a 27 8 ko ko oe
Zbtb32 Zfp324 Prdm11 27 8 ko ko ko
Zbtb32 Zfp324 Zfp691 27 8 ko ko oe
Zbtb32 Gmeb1 Zzz3 27 8 ko oe ko
Zfp324 Pou6f1 Arid5b 26 8 ko ko ko
Zfp324 Pou6f1 Gmeb1 26 8 ko ko oe
Zbtb32 Gmeb1 Naif1 26 8 ko oe ko
Zbtb32 Gmeb1 Tef 26 8 ko oe ko
Zfp324 Pou6f1 Tef 26 8 ko ko ko
Zfp324 Kdm2b Zfp248 26 8 ko ko ko
Zfp324 Pou6f1 Zfp652 26 8 ko ko oe
