TF freq type
Zfp324 1653 ko
Zscan20 324 ko
Cxxc1 212 ko
Pbx2 158 ko
Atf6 149 ko
Arid5b 121 ko
Zfp282 116 ko
Gmeb1 105 oe
Bach1 87 ko
Zfp113 87 ko
Hinfp 85 ko
Rest 83 ko
Zfp652 81 ko
Lcor 76 oe
Zfp276 76 ko
Zfp691 76 oe
Pou6f1 74 ko
Zkscan17 74 ko
Pou2f1 70 ko
Kdm2b 66 oe
E2f5 65 ko
Epas1 65 oe
Mnt 65 ko
Mypop 65 oe
Zbtb20 65 ko
Zbtb26 65 oe
Zbtb32 65 ko
Zfp248 65 ko
Zfp69 65 ko
Zfp90 65 ko
Zik1 65 oe
Tef 63 ko
Zscan29 63 ko
Arid2 62 ko
Bcl11b 62 ko
Foxn2 61 oe
Sp140 61 oe
Hsf4 60 ko
Jrkl 60 oe
Klf9 60 ko
Lin54 60 ko
Mybl2 60 ko
Phf21a 60 ko
Prdm11 60 ko
Tigd2 60 ko
Zbtb37 60 ko
Zbtb45 60 ko
Homez 59 ko
Zfp653 59 ko
Zzz3 59 ko
Arid3b 58 ko
Cdc5l 58 ko
Cxxc5 58 ko
Hmbox1 58 ko
Kdm2a 58 ko
Mynn 58 ko
Naif1 58 ko
Setbp1 58 ko
Zbtb2 58 ko
