,Naive_Kaech_Kaech,Naive_Kaech_Chung,Naive_Mackay_Chung,Naive_MilnerAug_Chung,Naive_Renkema_Chung,Naive_Scott_Scott,MP_Kaech_Chung,MP_Kaech_Kaech,MP_Kaech_Scott,MP_MilnerAug_Kaech,MP_MilnerAug_Scott,MP_MilnerAug_Chung,TE_Kaech_Chung,TE_Kaech_Kaech,TE_Kaech_Scott,TE_MilnerAug_Kaech,TE_MilnerAug_Scott,TE_MilnerAug_Chung,TCM_Mackay_Chung,TCM_MilnerAug_Chung,TCM_Renkema_Chung,TEM_Mackay_Chung,TEM_MilnerAug_Chung,TEM_Renkema_Chung,TRM.IEL_Milner17_Milner17,TRM.IEL_MilnerApr_Chung,TRM.IEL_MilnerApr_Milner17,TRM.IEL_Milner17_Chung,TRM.liver_Mackay_Chung,TexProg1_Beltra_Beltra,TexProg2_Beltra_Beltra,TexProg_Beltra_Chung,TexProg_Hudson_Chung,TexProg_Hudson_Beltra,TexInt_Beltra_Beltra,TexInt_Beltra_Chung,TexInt_Hudson_Chung,TexInt_Hudson_Beltra,TexTerm_Beltra_Beltra,TexTerm_Beltra_Chung,TexTerm_Hudson_Chung,TexTerm_Hudson_Beltra
Gm12165,0,0,0.36,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.63,0,0,0,1.54,1.54,0,4.96,0,0,0,1.74,1.74,0,0,4.08,4.08,0,0,1.34,1.34
Robo1,0,0,0,0,0,0,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm20483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0.93,0,0.93,0,0,0,0,0,0,0,0,0,0
Fads1,9.93,9.93,4.87,3.72,2.11,6.86,5.51,5.51,5.51,3.69,3.69,3.69,6.03,6.03,6.03,4.7,4.7,4.7,7.2,0.44,4.66,8.43,0.74,0,4.87,4.29,4.29,4.87,14.15,4.8,10.61,4.8,7.49,7.49,10.82,10.82,13.04,13.04,11.09,11.09,10.76,10.76
Gm5903,0.05,0.05,0,0,0,0,0.13,0.13,0.13,1.35,1.35,1.35,0.13,0.13,0.13,0,0,0,0.05,0,0,0.06,0,0,0.97,1.11,1.11,0.97,0.07,0,0.49,0,0.19,0.19,0,0,0.17,0.17,0.68,0.68,0.21,0.21
Gm17089,0,0,0.03,1.18,5.76,0.1,0,0,0,0.98,0.98,0.98,0,0,0,0.72,0.72,0.72,0.22,0.52,18.99,0.06,0,3.93,0,0.33,0.33,0,0.07,0.88,0,0.88,1.29,1.29,0.44,0.44,0.47,0.47,0.43,0.43,0.26,0.26
Fpr1,0,0,0.18,0,0,0,0.17,0.17,0.17,0,0,0,0,0,0,0,0,0,1.27,0,0,1.01,0,4.17,0,0,0,0,0.14,1.88,0,1.88,0.09,0.09,0.48,0.48,0.08,0.08,0,0,0.18,0.18
Clcn3,22.15,22.15,15.69,20.31,0,18.27,32.66,32.66,32.66,15.01,15.01,15.01,25.29,25.29,25.29,13.91,13.91,13.91,28.42,5.92,5.51,30.46,4.29,1.71,14.96,6.07,6.07,14.96,33.32,14.94,17.35,14.94,23.93,23.93,19.99,19.99,19.78,19.78,17.31,17.31,19.87,19.87
Mutyh,0.06,0.06,4.16,12.69,0,11.25,9.42,9.42,9.42,7.32,7.32,7.32,10.4,10.4,10.4,19.54,19.54,19.54,15.05,10.85,0,18.01,5.79,0,9.88,7,7,9.88,18.28,9.3,16.07,9.3,18.57,18.57,15.53,15.53,22.45,22.45,8.45,8.45,15.69,15.69
Gli3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commd9,10.85,10.85,12.26,13.92,0,18.09,13.45,13.45,13.45,18.32,18.32,18.32,13.2,13.2,13.2,19.07,19.07,19.07,17.43,19.25,0,17.89,19.61,0,25.39,23.57,23.57,25.39,16.95,27.27,17.31,27.27,11.33,11.33,18.63,18.63,11.05,11.05,18.48,18.48,10.06,10.06
Pfdn1,26.3,26.3,29.29,45.52,0,32.16,31.75,31.75,31.75,72.47,72.47,72.47,34.67,34.67,34.67,82.5,82.5,82.5,32.2,24.68,0,35.39,23.08,0,79.9,28.77,28.77,79.9,34.5,32.29,43.53,32.29,43.92,43.92,35.93,35.93,48.94,48.94,22.51,22.51,33.21,33.21
Gm10941,0,0,0,0,0,0.54,0,0,0,0,0,0,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,3.52,0,0.17,0.17,0,0,0.16,0.16,0,0,0.53,0.53
Gm26661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-93A21.1,0,0,0,0.12,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.08,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.02,0.02,0,0,0.05,0.05
RP23-200M5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4759,34.23,34.23,2.45,38.15,4.28,6.74,98.86,98.86,98.86,28.98,28.98,28.98,126.19,126.19,126.19,41.46,41.46,41.46,66.72,11.38,11.84,104.6,12.3,8.07,26.75,7.22,7.22,26.75,111.96,10.2,16.07,10.2,48.37,48.37,25.04,25.04,41.68,41.68,22.16,22.16,42.51,42.51
Hacd1,0,0,1,7.57,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0,0,0.38,0.38,0.84,0.84,0,0
Pank1,1.99,1.99,1.2,0.71,0,0.39,3.78,3.78,3.78,0,0,0,2.42,2.42,2.42,0,0,0,4.32,0,0,3.14,0.63,1.44,0,0.38,0.38,0,5.73,4.92,4.47,4.92,8.37,8.37,0.78,0.78,1.38,1.38,4.01,4.01,2.23,2.23
Slc23a3,0,0,0,0,0,0,0.45,0.45,0.45,0,0,0,0.11,0.11,0.11,0,0,0,0.41,0,0,0.55,0.43,0,1.25,0.68,0.68,1.25,0.09,0,0.37,0,0,0,0,0,0.14,0.14,0,0,0,0
Clpp,17.58,17.58,20.94,53.76,0,72.49,19.14,19.14,19.14,29.19,29.19,29.19,15.71,15.71,15.71,28.82,28.82,28.82,21.5,34.57,0,22.89,47.35,0,18.23,48.53,48.53,18.23,19.42,52.43,58.36,52.43,68.51,68.51,50.05,50.05,44.53,44.53,52.88,52.88,42.31,42.31
Gm29336,0,0,3.42,2.97,0,3.38,2.22,2.22,2.22,0,0,0,0.49,0.49,0.49,3.86,3.86,3.86,2.15,1.16,0,2.76,3.81,0,0,0,0,0,0.73,2.13,0,2.13,1.33,1.33,7.4,7.4,0.63,0.63,0,0,0,0
Ccnd1,0.24,0.24,0.51,1.01,21.36,0.64,0.43,0.43,0.43,1.15,1.15,1.15,0.13,0.13,0.13,0.76,0.76,0.76,1.69,0.29,23.6,1.45,0.38,23.94,0.13,0.38,0.38,0.13,0.91,0.4,0.56,0.4,0.13,0.13,0.7,0.7,0.03,0.03,0.13,0.13,0.15,0.15
Gm8737,0,0,0,0,0,0,0,0,0,2.45,2.45,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Angpt1,0.92,0.92,0.02,0,0,0,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0.12,0.32,0.12,0,0,0,0,0,0,0.12,0.12,0,0
Rspo3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atg16l2,30.54,30.54,9.09,53.78,33.66,24.05,93.81,93.81,93.81,51.87,51.87,51.87,92.83,92.83,92.83,49.65,49.65,49.65,68.49,42.95,59.32,89.94,76.82,54.68,28.83,48.41,48.41,28.83,76.3,42.91,57.09,42.91,96.24,96.24,37.87,37.87,77.07,77.07,90.17,90.17,83.2,83.2
RP24-326F21.2,0,0,0,0,0,0,0.07,0.07,0.07,0,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.51,0,0.51,0,0,0,0,0,0,0,0,0,0
Itpk1,22.88,22.88,13.82,14.59,0,23.99,54.72,54.72,54.72,28.82,28.82,28.82,44.02,44.02,44.02,21.69,21.69,21.69,35.33,19.49,0,36.03,18.66,1.73,23.65,23.04,23.04,23.65,54.37,25.88,55.77,25.88,54.48,54.48,46.3,46.3,82.03,82.03,114.21,114.21,89.08,89.08
RP23-400L4.7,0,0,0,0,0,0,0,0,0,0.22,0.22,0.22,0,0,0,0.11,0.11,0.11,0,0,0,0.03,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-435I4.11,0,0,0,0,0,0,0.58,0.58,0.58,0.19,0.19,0.19,0.68,0.68,0.68,0.19,0.19,0.19,1.39,0,0,1.5,0.09,0,0.16,0,0,0.16,2.08,0.17,0.23,0.17,5.23,5.23,0.17,0.17,2.32,2.32,0.5,0.5,3.74,3.74
Med29,20.24,20.24,16.22,24.02,0,32.39,15.55,15.55,15.55,18.24,18.24,18.24,12.81,12.81,12.81,17.31,17.31,17.31,17,15.12,6.99,14.09,22.15,0,4.44,22.28,22.28,4.44,13.62,20.16,29.92,20.16,36.69,36.69,21.86,21.86,25.51,25.51,21.04,21.04,25.74,25.74
