TF freq type
Bhlha15 21736 oe
Cdc5l 21736 ko
Cxxc1 21736 ko
Fosl1 21736 oe
Foxd2 21736 ko
Gmeb1 21736 oe
Hsf2 21736 oe
Mef2c 21736 ko
Mynn 21736 ko
Nfe2 21736 ko
Plag1 21736 oe
Pou2f1 21736 oe
Sp6 21736 ko
Sp8 21736 ko
Tal1 21736 oe
Zfp113 21736 ko
Zfp324 21736 ko
Zscan20 21736 ko
Zfp184 21716 oe
Zfp282 21216 ko
Trp73 21097 ko
Mypop 21078 oe
Tfap4 20054 oe
Zbtb32 19554 ko
Nr1h3 18247 ko
Vax2 17203 ko
Esr1 16798 oe
Lin54 16425 ko
Nhlh1 16340 ko
Rarb 15847 oe
Nr5a1 15385 oe
Hes7 14352 oe
Etv4 13202 ko
Isl2 12836 oe
Nr2f2 12462 oe
Tef 12440 ko
Bach1 11082 ko
Hic2 10797 oe
Zfp454 10783 oe
Zfp300 10597 ko
Sohlh2 10412 oe
Duxbl1 10080 oe
Cebpd 10028 oe
Zscan29 9887 ko
Hinfp 9614 ko
Mitf 9594 oe
Etv1 9496 ko
Tead2 9484 oe
Zfp558 9068 ko
Foxi3 9007 oe
Bcl11b 8887 ko
Creb3l1 8837 ko
Zfp653 8710 ko
Ehf 8692 ko
Hsf4 8528 ko
Glis3 8474 oe
Zbtb45 8411 ko
Arid5b 8195 ko
Foxn2 8063 oe
Mafb 8057 ko
Epas1 7914 oe
Pax5 7906 ko
Zfp248 7808 ko
Gata1 7803 ko
Pbx1 7754 ko
Hoxa1 7715 oe
Dmrt2 7701 ko
Pou6f1 7512 ko
Zbtb12 7371 ko
Phf21a 7281 ko
Mybl1 7228 ko
Pbx2 7203 ko
Zik1 7179 ko
Thrb 7164 ko
Pou5f1 7137 ko
Pitx2 7114 oe
Zfp768 7060 ko
Lcor 7044 ko
Npas2 7034 oe
E2f5 7022 ko
Tfec 7011 ko
Zfp90 6970 ko
Hand2 6956 ko
Lin28b 6935 ko
Zfp174 6932 ko
Zkscan17 6898 ko
Zbtb26 6845 oe
Ebf1 6824 ko
Tbr1 6815 oe
Msx1 6765 oe
Hnf4a 6748 ko
Dlx1 6726 ko
Zbtb20 6684 oe
Hlx 6597 oe
Tcf7l2 6535 ko
Alx4 6520 ko
Zscan4f 6450 oe
Prrx2 6413 ko
Dlx4 6386 oe
Msc 6386 ko
Zzz3 6380 ko
Homez 6348 ko
Hesx1 6312 ko
Hes5 6290 oe
Mnt 6276 ko
Pax9 6273 ko
Sp140 6231 ko
Prox2 6220 ko
Tigd2 6186 ko
Zfp296 6181 ko
Nkx6-2 6152 oe
Vdr 6149 ko
Cphx3 6146 ko
Ar 6119 ko
Zfp652 6112 oe
Zfp691 6112 ko
Cxxc5 6081 oe
Zbtb2 6073 ko
Rorb 6068 ko
Glis2 6016 oe
Prdm11 6001 ko
Kdm2b 5991 ko
Hlf 5984 ko
Grhl2 5959 oe
Nr3c2 5954 ko
Six5 5927 ko
Irf6 5912 ko
Sox9 5906 ko
Klf9 5899 ko
Pax3 5885 ko
Nkx2-3 5848 oe
Foxf2 5843 ko
Sox6 5835 ko
Foxf1 5827 ko
Gli2 5809 ko
Kdm2a 5801 ko
Lhx2 5788 ko
Pax8 5786 ko
Dbx2 5769 ko
Hoxa9 5740 ko
Onecut1 5731 oe
Nr6a1 5724 ko
Glis1 5705 ko
Mlxipl 5680 ko
Mafa 5676 ko
Foxh1 5650 ko
Hoxb4 5645 ko
Hhex 5642 ko
Atf6 5640 ko
Gli3 5605 ko
Ppara 5600 ko
Nfix 5598 ko
Irx2 5574 ko
Hnf1b 5560 ko
Prdm14 5551 ko
Gata2 5550 ko
Arid2 5542 ko
Zfp69 5539 ko
Setbp1 5516 ko
Tcf21 5514 ko
Lhx4 5504 ko
Cebpe 5485 ko
Foxc2 5474 ko
Ovol1 5470 ko
Hnf4g 5454 ko
Zfp647 5433 ko
Ovol2 5432 ko
Pax6 5418 ko
Dpf3 5389 ko
Naif1 5370 ko
Meis1 5363 ko
Tet1 5333 oe
Cebpa 5311 ko
Dmrta2 5309 ko
Mybl2 5303 ko
Sox4 5300 ko
Sox13 5286 ko
Arid3b 5272 ko
Myrf 5267 ko
Sox21 5246 ko
Pou3f2 5233 oe
Zfp105 5232 ko
Hey1 5222 ko
Zfp276 5217 ko
Zfp128 5215 ko
Mzf1 5191 ko
Sox12 5191 ko
Sox8 5181 ko
Otx2 5180 ko
Sox15 5180 ko
Dmrta1 5176 oe
Fbxl19 5170 ko
Hsf5 5129 ko
Gcm2 5121 ko
Mecom 5121 oe
Meox2 5107 oe
Onecut2 5092 oe
Batf3 5078 ko
Jrkl 5074 ko
Six3 5069 ko
Rest 5062 ko
Pou1f1 5047 ko
Pou4f1 5044 ko
Grhl1 5040 oe
Lbx2 5036 ko
Zfp423 5030 ko
Hnf1a 5023 oe
Zbtb37 5018 ko
Hmbox1 5002 ko
Hes1 4991 ko
