TF freq type
Cxxc1 21736 ko
Etv1 21736 oe
Foxd2 21736 ko
Hes1 21736 oe
Hsf2 21736 oe
Mitf 21736 oe
Pbx2 21736 ko
Sp6 21736 ko
Sp8 21736 ko
Zfp324 21736 ko
Zscan20 21736 ko
Gmeb1 21721 oe
Atf6 21554 ko
Zfp105 21395 oe
Zfp113 21125 ko
Zfp282 20661 ko
Trp73 20127 ko
Mybl1 19614 oe
Bhlha15 19033 oe
Zfp691 17832 oe
Tef 17485 ko
Plag1 17084 oe
Nfe2 16719 ko
Vax2 16627 ko
Tfec 16559 oe
Mef2c 15690 ko
Bach1 15457 ko
Arid5b 15062 ko
Cdc5l 15039 ko
Ebf1 15021 oe
Zfp652 14935 ko
Pou2f1 14850 ko
Pou6f1 14820 ko
Hinfp 14432 ko
Zfp296 14336 oe
Zkscan17 14261 ko
Nhlh1 13645 ko
Lin54 13020 ko
Pou1f1 12996 oe
Zik1 12817 oe
Zbtb45 12538 ko
Zfp300 12423 ko
Zfp647 12209 oe
Ar 11794 oe
Etv4 11777 ko
E2f5 11739 ko
Epas1 11656 oe
Mypop 11443 oe
Homez 11327 ko
Kdm2b 11200 oe
Zfp90 10953 ko
Tead2 10761 oe
Glis2 10719 oe
Lcor 10460 oe
Gli3 10401 oe
Zfp276 10275 ko
Rest 10115 ko
Sox8 9687 oe
Tfap4 9488 oe
Dlx1 9207 oe
Zbtb20 9085 ko
Otx2 8976 oe
Foxf1 8960 oe
Phf21a 8896 ko
Tal1 8876 ko
Bcl11b 8863 ko
Zscan29 8673 ko
Zfp768 8629 ko
Dpf3 8595 oe
Pbx1 8534 ko
Ehf 8485 ko
Mynn 8450 ko
Dmrt2 8410 ko
Nr2f2 8229 ko
Gli2 8202 oe
Kdm2a 7957 ko
Zfp653 7954 ko
Thrb 7907 ko
Ovol1 7874 oe
Zbtb26 7820 oe
Zfp174 7798 ko
Zfp248 7765 ko
Gata1 7723 ko
Zbtb12 7703 ko
Rarb 7679 ko
Pax8 7649 oe
Zfp69 7543 ko
Hnf4g 7484 oe
Grhl1 7449 ko
Mafb 7407 ko
Zzz3 7390 ko
Hes7 7389 ko
Nr6a1 7170 oe
Zbtb32 7150 ko
Prdm11 7099 ko
Pax5 7037 ko
Zbtb37 7013 ko
Esr1 7010 ko
Hand2 6991 ko
Pou5f1 6891 ko
Jrkl 6870 oe
Hlx 6830 oe
Arid2 6798 ko
Sox9 6782 ko
Sox21 6773 oe
Sox6 6562 ko
Duxbl1 6547 ko
Fosl1 6532 ko
Sohlh2 6511 ko
Mnt 6452 ko
Msc 6322 ko
Nr5a1 6317 ko
Zfp454 6157 ko
Tcf7l2 6129 ko
Klf9 6121 ko
Hic2 6109 ko
Pax3 6014 ko
Alx4 6011 ko
Tigd2 6011 ko
Zfp184 6001 ko
Prrx2 6000 ko
Nfix 5991 ko
Sp140 5916 oe
Glis3 5886 oe
Vdr 5876 ko
Fbxl19 5816 oe
Lhx2 5801 ko
Irf6 5772 ko
Hnf1a 5769 ko
Gcm2 5760 ko
Cphx3 5720 ko
Npas2 5684 ko
Six5 5658 ko
Lin28b 5656 ko
Zbtb2 5642 ko
Foxn2 5620 oe
Rorb 5620 ko
Pou4f1 5577 oe
Dmrta1 5516 ko
Mafa 5448 ko
Isl2 5437 ko
Glis1 5426 ko
Sox15 5412 ko
Setbp1 5402 ko
Hey1 5377 ko
Hoxb4 5352 ko
Prox2 5350 ko
Hnf4a 5345 ko
Hnf1b 5343 ko
Six3 5329 ko
Mlxipl 5319 ko
Gata2 5315 ko
Hhex 5285 oe
Hmbox1 5257 ko
Foxf2 5205 ko
Foxi3 5205 ko
Nr3c2 5203 ko
Hoxa1 5192 ko
Myrf 5157 ko
Foxc2 5156 ko
Ppara 5156 ko
Pax6 5080 ko
Pou3f2 5059 ko
Dmrta2 5031 ko
Hlf 5005 ko
Ovol2 4999 ko
Mzf1 4995 ko
Prdm14 4981 ko
Hesx1 4980 ko
Foxh1 4958 ko
Dbx2 4930 ko
Hsf5 4917 ko
Cebpe 4908 ko
Irx2 4908 ko
Cebpa 4907 ko
Naif1 4898 ko
Tcf21 4832 ko
Zscan4f 4825 ko
Sox4 4778 ko
Batf3 4708 ko
Sox13 4701 ko
Lhx4 4699 ko
Meis1 4699 ko
Cebpd 4691 ko
Mybl2 4672 ko
Tbr1 4633 ko
Creb3l1 4632 ko
Pax9 4626 ko
Nkx2-3 4618 ko
Onecut2 4613 oe
Hes5 4606 ko
Dlx4 4603 ko
Msx1 4581 ko
Nr1h3 4580 ko
Pitx2 4577 ko
Tet1 4557 oe
Grhl2 4555 ko
Hsf4 4553 ko
Nkx6-2 4520 ko
Onecut1 4491 ko
Zfp128 4491 ko
Meox2 4473 ko
Cxxc5 4471 ko
Mecom 4471 oe
Hoxa9 4438 ko
Zfp423 4424 oe
Lbx2 4419 ko
Arid3b 4416 ko
Sox12 4414 ko
Zfp558 4414 ko
