TF1 TF2 z-score.sum freq TF1_type TF2_type
Nr4a2 Lef1 72 17 ko oe
Nr4a2 Plag1 31 14 ko oe
Heyl Arnt2 82 12 ko ko
Nr4a2 Ahr 45 12 ko ko
Heyl Lef1 45 12 ko oe
Nr4a2 Setbp1 41 12 ko ko
Nr4a2 Pax9 39 12 ko ko
Nr4a2 Bhlhe41 37 12 ko ko
Nr4a2 Tcf7 36 12 ko oe
Nr4a2 Rara 30 12 ko oe
Cebpb Sp9 72 11 ko oe
Cebpb Lef1 48 11 ko oe
Heyl Setbp1 35 10 ko ko
Nr4a2 Hic1 31 10 ko ko
Nr4a2 Vax2 29 10 ko ko
Nr4a2 Mlxipl 23 10 ko oe
Nr4a2 Epas1 21 10 ko oe
Nr4a2 Sp9 63 9 ko oe
Heyl Ahr 43 9 ko ko
Heyl Bhlhe41 30 9 ko ko
Sp9 Lef1 25 9 oe oe
Nr4a2 Heyl 64 8 ko ko
Nr4a2 Arnt2 56 8 ko ko
Heyl Pax9 33 8 ko ko
Nr4a2 Bcl6b 25 8 ko oe
Heyl Hic1 21 8 ko ko
Nr4a2 Sox5 21 8 ko oe
Nr4a2 Cebpd 18 8 ko oe
Cebpb Hsf2 46 7 ko oe
Nr4a2 Nr1i3 43 7 ko oe
Heyl Tcf7 32 7 ko oe
Cebpb Vax2 27 7 ko ko
Arnt2 Ahr 25 7 ko ko
Nr4a2 Hsf2 24 7 ko oe
Nr4a2 Jdp2 21 7 ko ko
Arnt2 Setbp1 20 7 ko ko
Nr4a2 Zbtb20 20 7 ko ko
Zbtb7b Rara 19 7 oe oe
Cebpb Jdp2 18 7 ko ko
Nr4a2 Hes1 17 7 ko oe
Nr4a2 Pbx3 17 7 ko ko
Nr4a2 Jund 16 7 ko ko
Nr4a2 Klf2 15 7 ko oe
Heyl Nr4a2 59 6 ko ko
Nr4a2 Cebpb 54 6 ko ko
Cebpb Nr4a2 48 6 ko ko
Zbtb7b Epas1 33 6 oe oe
Zbtb7b Foxo4 28 6 oe oe
Zbtb7b Fbxl19 27 6 oe oe
Heyl Fbxl19 26 6 ko oe
