TF freq type
Bhlha15 21736 oe
Cdc5l 21736 ko
Foxd2 21736 ko
Gmeb1 21736 oe
Hsf2 21736 oe
Mynn 21736 ko
Nr1h3 21736 ko
Sp6 21736 oe
Sp8 21736 ko
Tal1 21736 oe
Zfp113 21736 ko
Zfp282 21736 ko
Zfp324 21736 ko
Zscan20 21736 ko
Lin54 21604 ko
Pou6f1 21532 ko
Mafb 21444 ko
Zfp276 21402 ko
Zik1 20752 ko
Duxbl1 20465 oe
Cxxc5 19725 ko
Creb3l1 19393 ko
Plag1 17576 oe
Zfp768 17517 ko
Zfp300 17423 ko
Zfp184 16868 oe
Tfap4 16671 oe
Cebpd 16094 oe
Trp73 15937 ko
Nfe2 15814 ko
Pou2f1 15615 ko
Mef2c 15550 ko
Zscan29 14986 ko
Nhlh1 14446 ko
Zbtb32 13363 ko
Cxxc1 13331 ko
Zbtb2 13276 ko
Zfp558 13178 ko
Tef 13146 ko
Pou5f1 13126 ko
Esr1 12932 oe
Pax9 12847 ko
Nr2f2 12828 oe
Nr5a1 12752 oe
Zfp174 12491 ko
Zbtb45 12228 ko
Zfp69 12063 ko
Foxi3 11919 oe
Sohlh2 11272 oe
Zfp653 10983 ko
Zfp90 10969 ko
Vax2 10968 ko
Zfp454 10878 oe
Kdm2b 10772 ko
Grhl1 10653 ko
Glis3 10441 oe
Hlf 10377 ko
Etv1 10063 ko
Bach1 10059 ko
Cphx3 10057 ko
Hes7 9999 ko
Setbp1 9549 ko
Zfp248 9500 ko
Sox4 9161 ko
Arid5b 9070 ko
Zfp652 9068 oe
Zbtb12 9040 ko
Hoxa1 8926 oe
Isl2 8923 oe
Rarb 8869 oe
Lin28b 8867 ko
Zbtb26 8739 ko
Pbx1 8725 ko
Ebf1 8723 ko
Thrb 8688 ko
Hmbox1 8596 ko
Hlx 8411 oe
Mzf1 8374 ko
Zbtb20 8320 oe
Hnf4a 8285 ko
Tfec 8061 ko
Phf21a 7953 ko
Arid3b 7776 ko
Hesx1 7737 oe
Zfp691 7730 ko
Tet1 7689 oe
Msx1 7654 oe
Zfp105 7556 ko
Rest 7518 ko
Ehf 7490 ko
Hes5 7485 oe
Zzz3 7449 ko
Nfix 7355 ko
Naif1 7344 ko
Bcl11b 7307 ko
Mnt 7292 ko
Lhx2 7249 ko
Tcf7l2 7240 ko
Ar 7214 ko
Dmrt2 7174 ko
Mecom 7099 oe
Gli2 7021 ko
Hes1 6919 ko
Hsf4 6826 ko
Klf9 6817 ko
Hoxb4 6813 ko
Nkx6-2 6719 oe
Meis1 6714 ko
Gli3 6710 ko
Sox6 6709 ko
Onecut1 6691 oe
Pax5 6646 ko
Epas1 6593 ko
Zkscan17 6590 ko
Pbx2 6542 ko
Hic2 6495 ko
Homez 6478 ko
Hinfp 6378 ko
Mafa 6361 ko
Hsf5 6347 ko
Sp140 6319 ko
Nkx2-3 6285 oe
Pax8 6278 ko
Npas2 6250 oe
Zscan4f 6237 oe
Six5 6206 ko
Glis1 6197 ko
Dmrta1 6191 oe
Atf6 6188 ko
Mitf 6170 ko
Pitx2 6160 oe
Mypop 6155 ko
Pax6 6144 ko
Mlxipl 6112 ko
Hnf1a 6098 oe
Batf3 6083 ko
Zfp647 6030 ko
Meox2 6016 oe
Zbtb37 5974 ko
Etv4 5920 ko
Msc 5909 ko
Zfp296 5909 ko
Fosl1 5888 oe
Ovol1 5888 ko
Tigd2 5861 ko
Alx4 5859 ko
Irf6 5859 ko
Cebpa 5839 ko
Hoxa9 5819 ko
Hhex 5809 ko
Pax3 5796 ko
Foxn2 5789 oe
Hnf1b 5786 ko
Vdr 5732 ko
Cebpe 5647 ko
Prrx2 5604 ko
Grhl2 5585 ko
Pou3f2 5566 oe
Nr3c2 5559 ko
Gata2 5547 ko
Fbxl19 5524 ko
Tead2 5493 ko
Lcor 5486 ko
Dlx1 5470 ko
Kdm2a 5462 ko
Foxc2 5457 ko
Hand2 5441 ko
Onecut2 5421 oe
Dlx4 5415 oe
Prdm11 5413 ko
Hey1 5388 ko
Foxf2 5379 ko
Tbr1 5364 oe
Prox2 5346 ko
Foxh1 5340 ko
Six3 5312 ko
Gata1 5279 ko
Sox13 5272 ko
Zfp423 5261 ko
Mybl1 5245 ko
Jrkl 5237 ko
Nr6a1 5220 ko
Tcf21 5220 ko
Mybl2 5190 ko
Irx2 5138 ko
Rorb 5108 ko
Pou1f1 5080 ko
Sox12 5080 ko
Sox15 5070 ko
Dpf3 5068 ko
Ovol2 5049 ko
Foxf1 5045 ko
Sox8 5044 ko
Glis2 5024 ko
Hnf4g 5003 ko
Zfp128 4997 ko
Myrf 4979 ko
Ppara 4970 ko
Sox21 4957 ko
Gcm2 4955 ko
Lhx4 4934 ko
Prdm14 4926 ko
E2f5 4902 ko
Dmrta2 4879 ko
Arid2 4878 ko
Sox9 4852 ko
Lbx2 4840 ko
Pou4f1 4828 ko
Dbx2 4801 ko
Otx2 4801 ko
