TF freq type
Bach1 21736 ko
Bhlha15 21736 oe
Cxxc1 21736 ko
Cxxc5 21736 oe
Foxd2 21736 ko
Gmeb1 21736 oe
Hsf2 21736 oe
Mynn 21736 ko
Nfe2 21736 ko
Nr1h3 21736 ko
Pou2f1 21736 oe
Trp73 21736 ko
Zbtb32 21736 ko
Zfp113 21736 ko
Zfp276 21736 ko
Zfp324 21736 ko
Zscan20 21736 ko
Cdc5l 21519 ko
Bcl11b 21278 ko
Plag1 20207 oe
Tfap4 20018 oe
Tal1 20012 oe
Zfp282 19890 ko
Zfp184 19201 oe
Duxbl1 18495 oe
Sp8 18467 ko
Esr1 17998 oe
Cebpd 17193 oe
Mef2c 16220 ko
Arid5b 16177 ko
Etv4 15821 ko
Zbtb2 15559 ko
Fosl1 14822 oe
Ehf 13487 ko
Hinfp 13382 ko
Vax2 12972 ko
Nr5a1 12857 oe
Homez 12478 ko
Kdm2b 12448 ko
Zfp558 12351 ko
Foxi3 12191 oe
Rarb 11961 oe
Zbtb37 11797 ko
Gata1 11667 ko
Lin54 11648 ko
Zscan29 11468 ko
Rest 11254 ko
Hes7 11207 oe
Pou6f1 11005 ko
Nhlh1 10750 ko
Zfp248 10606 ko
Nr2f2 10482 oe
Glis3 10259 oe
Zik1 10237 ko
Tead2 10053 oe
Mitf 10012 oe
Zfp652 9904 oe
Foxn2 9881 oe
Arid2 9874 ko
Etv1 9796 ko
Zbtb26 9747 oe
Zfp454 9194 oe
Pbx1 9164 ko
Six5 9105 ko
Cphx3 9035 ko
Zfp90 9000 ko
Creb3l1 8967 ko
Mybl2 8835 ko
Tigd2 8832 ko
E2f5 8726 ko
Isl2 8563 oe
Zfp768 8359 ko
Zfp653 8344 ko
Hlx 8310 oe
Sohlh2 8292 oe
Pou5f1 8278 ko
Sp6 8263 ko
Hoxa1 7996 oe
Hes1 7818 ko
Msx1 7773 oe
Batf3 7703 ko
Tef 7668 ko
Gli3 7594 ko
Zfp647 7420 ko
Pax6 7321 ko
Meis1 7235 ko
Lin28b 7217 ko
Epas1 7196 oe
Klf9 7188 ko
Hes5 7175 oe
Onecut1 7165 oe
Mlxipl 7080 ko
Tfec 7074 ko
Mafb 7003 ko
Ar 6998 ko
Pou3f2 6997 oe
Atf6 6982 ko
Hmbox1 6982 ko
Zzz3 6966 ko
Mybl1 6945 ko
Hnf4a 6912 ko
Nkx6-2 6880 oe
Cebpa 6833 ko
Grhl2 6814 oe
Zfp174 6811 ko
Mypop 6792 oe
Mecom 6777 oe
Meox2 6692 oe
Mzf1 6675 ko
Pitx2 6657 oe
Nkx2-3 6651 oe
Pax5 6627 ko
Dmrta1 6587 oe
Prox2 6520 ko
Sox6 6494 ko
Zfp300 6481 ko
Hoxa9 6396 ko
Ebf1 6388 ko
Alx4 6376 ko
Zbtb45 6376 ko
Npas2 6367 oe
Pou4f1 6367 ko
Hsf4 6276 ko
Sox4 6274 ko
Cebpe 6266 ko
Zfp69 6230 ko
Pax9 6196 ko
Tbr1 6178 oe
Arid3b 6173 ko
Hsf5 6173 ko
Hlf 6149 ko
Gata2 6108 ko
Tcf7l2 6098 ko
Ovol1 6083 ko
Tet1 6081 oe
Gli2 6052 ko
Ovol2 6048 ko
Hey1 5983 ko
Zkscan17 5972 ko
Hnf1a 5967 oe
Prrx2 5963 ko
Zscan4f 5942 oe
Hhex 5940 ko
Grhl1 5917 oe
Pax8 5904 ko
Fbxl19 5889 ko
Zfp423 5888 ko
Prdm14 5864 ko
Sp140 5861 ko
Glis1 5858 ko
Hesx1 5853 ko
Sox8 5851 ko
Dlx1 5845 ko
Mafa 5841 ko
Naif1 5833 ko
Onecut2 5829 oe
Lhx2 5798 ko
Jrkl 5792 ko
Pou1f1 5781 ko
Dmrt2 5703 ko
Setbp1 5695 ko
Dmrta2 5679 ko
Nr3c2 5669 ko
Dpf3 5664 ko
Sox21 5658 ko
Irx2 5654 ko
Dlx4 5648 oe
Sox12 5646 ko
Zbtb20 5620 oe
Msc 5592 ko
Pbx2 5557 ko
Six3 5554 ko
Foxf1 5533 ko
Foxf2 5525 ko
Phf21a 5477 ko
Glis2 5476 oe
Pax3 5463 ko
Tcf21 5455 ko
Hoxb4 5443 ko
Hand2 5423 ko
Sox15 5404 ko
Hic2 5400 oe
Irf6 5397 ko
Zfp105 5395 ko
Nr6a1 5363 ko
Gcm2 5279 ko
Foxh1 5272 ko
Sox9 5272 ko
Mnt 5268 ko
Foxc2 5248 ko
Otx2 5220 ko
Sox13 5217 ko
Zbtb12 5208 ko
Nfix 5207 ko
Vdr 5202 ko
Myrf 5185 ko
Zfp128 5160 ko
Prdm11 5155 ko
Thrb 5138 ko
Hnf4g 5122 ko
Rorb 5119 ko
Lcor 5116 ko
Zfp691 5079 ko
Lbx2 5071 ko
Kdm2a 5064 ko
Ppara 5049 ko
Dbx2 5044 ko
Zfp296 5035 ko
Hnf1b 5029 ko
Lhx4 5024 ko
