TF freq type
Hsf2 4601 oe
Zfp69 2076 ko
Cdc5l 2001 oe
Pax5 1451 oe
Pbx2 1008 oe
Zfp324 915 ko
Nr2f2 899 oe
Plag1 866 oe
Bach1 776 oe
Rest 749 oe
Bhlha15 667 oe
Hsf4 626 oe
Ar 576 oe
Tfap4 569 oe
Vdr 543 ko
Atf6 421 oe
Mynn 419 ko
Mybl1 408 oe
Hes1 401 oe
Hmbox1 373 oe
Foxd2 357 ko
Hic2 342 oe
E2f5 341 oe
Zfp90 309 ko
Sp6 308 oe
Bcl11b 275 ko
Zfp768 275 ko
Zik1 272 oe
Zscan20 262 oe
Zfp282 258 ko
Zfp174 254 ko
Zfp691 254 oe
Zbtb20 248 ko
Glis3 245 oe
Jrkl 244 oe
Zfp276 241 ko
Zbtb12 231 oe
Zbtb2 231 ko
Foxn2 221 oe
Mafb 221 ko
Zfp300 221 ko
Hnf4a 215 oe
Nr1h3 213 ko
Zbtb37 212 oe
Epas1 209 oe
Hoxb4 204 oe
Pax9 204 ko
Homez 201 oe
Pou5f1 200 oe
Zbtb26 200 oe
Zfp184 188 oe
Tef 183 oe
Ehf 181 ko
Zfp113 175 oe
Zzz3 172 oe
Cxxc1 169 ko
Esr1 169 oe
Mef2c 169 oe
Tead2 169 oe
Cphx3 167 oe
Vax2 166 ko
Creb3l1 163 ko
Tal1 163 oe
Zbtb45 161 ko
Grhl1 160 ko
Mitf 160 oe
Six5 158 oe
Ebf1 156 oe
Lcor 156 oe
Sox4 156 oe
Glis2 154 oe
Mnt 154 oe
Pbx1 151 oe
Meis1 149 ko
Nhlh1 143 ko
Arid3b 132 oe
Fosl1 129 oe
Sp8 129 ko
Zfp105 129 ko
Trp73 128 oe
Fbxl19 127 oe
Rarb 127 oe
Tigd2 121 oe
Dmrt2 118 ko
Gmeb1 118 oe
Lhx2 117 ko
Arid5b 115 ko
Hnf1a 107 ko
Glis1 106 ko
Klf9 105 ko
Nr3c2 105 oe
Nr6a1 105 oe
Pou4f1 105 oe
Prdm11 105 oe
Sox9 105 ko
Zbtb32 105 ko
Nfe2 104 ko
Hlf 103 oe
Setbp1 103 oe
Lin54 99 ko
