TF freq type
Zfp324 4851 ko
Hsf2 1368 oe
Cxxc1 1243 ko
Zscan20 971 ko
Rest 806 ko
Zfp276 768 ko
Mitf 728 oe
Etv1 658 oe
Kdm2b 604 oe
Bach1 549 ko
Foxd2 549 ko
Arid5b 511 ko
Hinfp 422 ko
Trp73 323 ko
Arid2 314 ko
Hes1 291 oe
Zbtb32 291 ko
Zfp652 281 ko
Bcl11b 251 ko
E2f5 234 ko
Tfec 219 oe
Zfp282 213 ko
Nfe2 200 ko
Pou6f1 198 ko
Etv4 188 ko
Pou1f1 188 oe
Mybl1 186 oe
Zfp296 186 oe
Ebf1 180 oe
Zfp105 180 oe
Ehf 175 ko
Sp140 173 oe
Bhlha15 170 oe
Sp6 169 ko
Gmeb1 168 oe
Sp8 163 ko
Vax2 161 ko
Zfp647 161 oe
Pbx1 157 ko
Zbtb26 157 oe
Zfp90 157 ko
Gata1 156 ko
Zfp691 153 oe
Zfp113 148 ko
Hsf4 146 ko
Plag1 146 oe
Tead2 146 oe
Atf6 144 ko
Mef2c 144 ko
Gli3 143 oe
Zfp768 141 ko
Mnt 140 ko
Ar 139 oe
Sox8 138 oe
Nhlh1 136 ko
Zfp558 135 ko
Esr1 133 ko
Ovol1 133 oe
Gli2 130 oe
Hlx 130 oe
Zbtb2 130 ko
Zfp653 128 ko
Duxbl1 127 ko
Hic2 127 ko
Mynn 127 ko
Tef 127 ko
Tfap4 127 oe
Zbtb37 127 ko
Cphx3 124 ko
Dpf3 124 oe
Mafb 124 ko
Pax6 124 ko
Batf3 123 ko
Epas1 123 oe
Mybl2 123 ko
Pou2f1 123 ko
Zbtb20 123 ko
Zbtb45 123 ko
Zik1 123 oe
Six5 122 ko
Meis1 120 ko
Arid3b 119 ko
Cdc5l 119 ko
Foxn2 119 oe
Glis2 119 oe
Hhex 119 oe
Hnf1a 119 ko
Hnf4g 119 oe
Klf9 119 ko
Lin54 119 ko
Otx2 119 oe
Tet1 119 oe
Zfp248 119 ko
Foxf1 117 oe
Hlf 117 ko
Mzf1 117 ko
Pax8 117 oe
Pbx2 116 ko
Pou4f1 116 oe
Zfp300 116 ko
