TF freq type
Bhlha15 21736 oe
Foxd2 21736 ko
Gmeb1 21736 oe
Hsf2 21736 oe
Nr1h3 21736 ko
Pou6f1 21736 ko
Tal1 21736 oe
Zbtb32 21736 ko
Zfp113 21736 ko
Zfp276 21736 ko
Zfp282 21736 ko
Zfp324 21736 ko
Zik1 21736 ko
Zscan20 21736 ko
Sp6 21642 oe
Cxxc5 21056 ko
Duxbl1 20743 oe
Pou2f1 20551 ko
Arid5b 20351 ko
Mynn 18805 ko
Plag1 18715 oe
Mafb 17634 ko
Cebpd 16638 oe
Zfp768 16609 ko
Bcl11b 16002 ko
Sp8 15816 ko
Nfe2 15200 ko
Trp73 14929 ko
Mybl2 14704 ko
Foxi3 14612 oe
Ehf 14491 ko
Creb3l1 14114 ko
Zscan29 14027 ko
Pax9 14019 ko
Cdc5l 13887 ko
Tfap4 13751 oe
Vax2 13472 ko
Nr5a1 13334 oe
Grhl1 13260 ko
Mnt 13074 ko
Homez 12826 ko
Zfp558 12735 ko
Kdm2b 12601 ko
Esr1 12422 oe
Bach1 12388 ko
Zbtb2 12307 ko
Hes1 12246 ko
Nhlh1 12100 ko
Zfp248 11971 ko
Lin54 11776 ko
Klf9 11629 ko
Hinfp 11591 ko
Etv1 11376 ko
Zbtb20 11269 oe
Cxxc1 11024 ko
Nr2f2 10977 oe
Zfp691 10817 ko
Glis3 10802 oe
Mef2c 10557 ko
Zfp647 10446 ko
Cphx3 10274 ko
Etv4 10252 ko
Zfp184 10223 oe
Hsf4 10183 ko
Zfp296 10129 ko
Zfp454 10098 oe
Zfp90 10071 ko
Pbx1 9429 ko
Arid3b 9291 ko
Isl2 9103 oe
Zfp653 8857 ko
Setbp1 8851 ko
Zfp652 8805 oe
Hoxb4 8636 ko
Glis1 8625 ko
Sohlh2 8533 oe
Foxn2 8517 oe
Zzz3 8368 ko
Hoxa1 8353 oe
Gli3 8219 ko
Hlx 8174 oe
Zfp300 8170 ko
Tigd2 8012 ko
Lhx2 7995 ko
Meis1 7987 ko
Rarb 7956 oe
Tef 7936 ko
Msx1 7922 oe
Hesx1 7705 oe
Tet1 7549 oe
Batf3 7497 ko
Hes7 7384 ko
Sox4 7283 ko
Hnf4a 7100 ko
Mzf1 6973 ko
Onecut1 6942 oe
Hes5 6888 oe
Arid2 6864 ko
Naif1 6864 ko
Lin28b 6807 ko
Tfec 6789 ko
Pax6 6758 ko
Phf21a 6679 ko
Mafa 6678 ko
Thrb 6631 ko
Dmrta1 6623 oe
Hmbox1 6575 ko
Mecom 6558 oe
Nkx2-3 6465 oe
Hey1 6463 ko
Nkx6-2 6453 oe
Zkscan17 6445 ko
Meox2 6269 oe
Hsf5 6249 ko
Nr3c2 6230 ko
Pou3f2 6222 oe
E2f5 6150 ko
Atf6 6139 ko
Rest 6032 ko
Hoxa9 6019 ko
Hic2 6013 ko
Pitx2 6011 oe
Npas2 5981 oe
Pou5f1 5969 ko
Alx4 5946 ko
Tbr1 5828 oe
Tcf7l2 5802 ko
Zfp105 5768 ko
Prrx2 5766 ko
Mlxipl 5765 ko
Fosl1 5762 oe
Sox6 5759 ko
Cebpe 5725 ko
Gli2 5711 ko
Kdm2a 5711 ko
Prox2 5700 ko
Myrf 5696 ko
Tcf21 5673 ko
Pax5 5660 ko
Zbtb12 5639 ko
Pax3 5636 ko
Fbxl19 5592 ko
Pou4f1 5591 ko
Pax8 5492 ko
Six5 5492 ko
Dlx1 5480 ko
Rorb 5478 ko
Cebpa 5460 ko
Sox13 5418 ko
Onecut2 5391 oe
Foxh1 5390 ko
Zfp69 5386 ko
Pou1f1 5385 ko
Hlf 5339 ko
Sox8 5330 ko
Irf6 5324 ko
Grhl2 5319 ko
Zscan4f 5313 oe
Gcm2 5306 ko
Zfp174 5299 ko
Gata2 5274 ko
Dpf3 5263 ko
Hhex 5257 ko
Pbx2 5243 ko
Dmrta2 5241 ko
Irx2 5237 ko
Ovol1 5237 ko
Zfp128 5219 ko
Hnf1b 5217 ko
Dmrt2 5210 ko
Zfp423 5210 ko
Sp140 5203 ko
Six3 5179 ko
Sox21 5176 ko
Zbtb45 5176 ko
Dlx4 5174 oe
Mitf 5159 ko
Foxf2 5082 ko
Hand2 5043 ko
Hnf4g 5022 ko
Gata1 5016 ko
Mypop 4991 ko
Msc 4974 ko
Nfix 4959 ko
Sox15 4947 ko
Ar 4935 ko
Ebf1 4914 ko
Sox12 4904 ko
Prdm11 4894 ko
Vdr 4879 ko
Zbtb37 4853 ko
Hnf1a 4831 oe
Prdm14 4819 ko
Lhx4 4811 ko
Otx2 4794 ko
Ovol2 4792 ko
Mybl1 4788 ko
Epas1 4773 ko
Sox9 4765 ko
Lcor 4740 ko
Glis2 4738 ko
Foxf1 4729 ko
Dbx2 4706 ko
Jrkl 4702 ko
Foxc2 4637 ko
Ppara 4621 ko
Nr6a1 4620 ko
Lbx2 4595 ko
Zbtb26 4594 ko
Tead2 4577 ko
