gJdp2-2
gIkzf3-2
gHic1-4
gZbtb49-4
gNr4a2-2
gNfil3-2
gZfp324-4
gIrf8-4
gPrdm4-2
gZscan20-4
gFoxd2-2
gEtv5-4
gGfi1-2
gArid3a-2
gHinfp-4
gPrdm1-2
gStat3-4
gNfatc1-4
