gFosb-2
gPrdm1-4
gHic1-4
gGfi1-2
gNfil3-2
gNr4a2-2
gIkzf3-2
gStat3-4
gTfdp1-2
gIrf8-4
gZfp324-4
gZscan20-4
gNfatc1-4
gZfp410-4
gJdp2-2
gArid3a-2
gEtv5-4
