"","TExTerm","TExEff","TE","Ca","TExProg","Naive"
"gNfatc1",-0.0354840474240948,0.0640443271194384,0.166763557239423,0.0498740183833769,0.0840849195641112,0.0220910717318725
"gStat3",-0.217845929667741,0.0552555211517554,-0.0365166661322575,-0.199778364498061,0.236922042135939,0.132004117230642
"gPrdm1",-0.207506374445256,0.00823179344701291,-0.0834038446811091,-0.139047979195768,0.345196205329493,0.19893169966898
"gJdp2",-0.163294306889243,0.15501044980523,0.206970755801849,0.23048337761389,-0.100080152888446,-0.092420353529049
"gIkzf3",-0.159572608288221,0.208037322032548,0.245957913413392,0.159986725717733,-0.0196003129528085,0.0238569880218686
"gHic1",-0.27025216778194,0.140439163132829,0.244436265533499,0.058784718118456,0.0991020209350277,0.0269069326956088
"gZbtb49",-0.124822779755991,0.124020400542107,0.25658184803756,0.095195705245903,-0.072209739366774,-0.0582905171782612
"gNr4a2",-0.18608176539133,0.0962107593263424,0.130793018708313,0.152360940025663,-0.0141974592787157,-0.0418143005680987
"gNfil3",-0.126378743741993,0.0806249550948768,0.18802501976692,0.0785209005086347,0.00790397011368951,-0.00696099991923899
"gZfp324",-0.0989725744544117,0.105972683221372,0.232740085094864,0.099208530804539,-0.0225988924522769,-0.0647479054772315
"gIrf8",-0.142053880580477,0.0274998206889796,0.129258453870414,0.011859708263517,0.0802666597578653,0.010078339830864
"gPrdm4",-0.0915506475068143,0.0724519257427847,0.0939665474099096,0.0152089758593583,-0.0248605367556237,-0.00898565975069288
"gZscan20",-0.0805820058670304,0.0720625271734172,0.106591148791792,-0.0372280709798064,0.0422020285691511,0.0278496323934576
"gFoxd2",-0.044233002004442,0.0804477300685399,0.141151217441031,0.0636228585109458,-0.0356637389270381,-0.0193565028233315
"gEtv5",-0.133325106387669,0.0835065469632651,0.177453380853024,0.0149098779574779,0.0215688480265821,0.0287116758024493
"gGfi1",-0.124185365804987,0.0664348476799301,0.0887704303324447,-0.00978664829651243,0.0511695282981217,0.0663426961552899
"gArid3a",-0.0583735111179159,0.0635236257651214,0.121877564048269,0.0275175036473883,0.0640154708801816,0.0454964720636116
"gHinfp",-0.0716293534126189,0.0122364160765105,0.0358053057693453,0.0139861434465095,0.0797839489915644,0.0414936478777377
