"","Ahr","Arid3a","Arnt","Arntl","Atf1","Atf2","Atf7","Batf","Bbx","Bcl6","Bhlhe40","Bhlhe41","Cbfb","Cebpb","Creb1","Crem","Ctcf","Ddit3","Dmrt2","E2f1","E2f3","E2f4","E2f6","Egr1","Egr2","Elf1","Elf2","Elf4","Elk1","Elk3","Elk4","Eomes","Ets1","Ets2","Etv3","Etv5","Etv6","Fli1","Fos","Foxd2","Foxj2","Foxj3","Foxn3","Foxo1","Foxp1","Gabpa","Gata3","Gfi1","Heyl","Hic1","Hinfp","Hmg20b","Homez","Ikzf1","Ikzf3","Irf1","Irf2","Irf3","Irf4","Irf7","Irf8","Irf9","Isl2","Jdp2","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf6","Klf7","Klf8","Klf9","Mafk","Max","Maz","Mbd2","Mecp2","Meis3","Meox2","Mlx","Mxd1","Nfatc1","Nfe2l1","Nfe2l2","Nfil3","Nfkb1","Nfkb2","Nfya","Nfyb","Nfyc","Nr1d2","Nr3c1","Nr4a2","Nrf1","Patz1","Pax9","Pbx3","Pknox1","Prdm1","Prdm16","Prdm4","Rbak","Rela","Rfx1","Rfx7","Rora","Runx1","Runx2","Runx3","Rxrb","Setbp1","Smad3","Smad4","Snai3","Sp1","Sp110","Sp2","Sp3","Sp4","Spi1","Srebf1","Srebf2","Stat1","Stat2","Stat3","Stat4","Stat5b","Stat6","Taf1","Tbx21","Tcf12","Tcf3","Tef","Tfdp1","Tfe3","Tfeb","Thap11","Thrb","Tigd2","Trp53","Usf1","Vax2","Xbp1","Zbtb14","Zbtb17","Zbtb20","Zbtb3","Zbtb49","Zfp143","Zfp212","Zfp213","Zfp260","Zfp263","Zfp281","Zfp287","Zfp324","Zfp335","Zfp398","Zfp410","Zfp422","Zfp523","Zfp566","Zfp64","Zfp740","Zfp768","Zfx","Zscan20"
"Ahr",0.924810502408666,0,-0.0439103646141767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00650907080913034,0,0,0,0,0,0,-0.00137654757802322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141787956472639,0,0,0,0,0,0,0,0,-0.0190252729520408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341068928133657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00445919480815222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arid3a",0,1.03115373654575,0,0,0,0,0,-0.0353840809822405,-0.0862570218757855,0,0,0,0,0,0,0,-0.0508802273617289,-0.0145516350211784,-0.0471837120814689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00128513697684252,0,0,0,0,0,0,0,-0.0359174516370747,-0.0403295520463794,0,0,0,-0.0390091310458434,-0.034792882180741,0,0,0,-0.0306693021676616,0,0,0,-0.0192639303503358,-0.00599038826873319,0,-0.0151916504637641,-0.0143204277428996,0,-0.0119806036917389,-0.129289688080851,-0.00431559460918265,0,0,0,0,0,0,0,0,0,0,0,-0.0233016153025583,0,0,0,0,0,-0.0313336817495612,0,0,0,-0.0226967342061859,0,-0.0100993854515168,0,0,0,0,0,-0.00270410622989904,-0.0100753264331787,-0.0181056217692897,0,0,0,0,0,0,0,0,0,0,0,-0.00380148952899358,-0.0265495721382369,-0.0267927252475275,0,0,0,0,0,-0.00501590216147555,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138569728571404,-0.00231740719103265,0,-0.00819292220751984,0,0,0,0,0,0,0,0,0,-0.0162778516716818,0,-0.0194910671876757,0,0,0,0,-0.000815343440414454,0,0,0,0,0,0,0,-0.0744526279260938,0,0,0,0,-0.0141888158136495,0,0,0,0,-0.000912507602414585,0,0
"Arnt",-0.0439104020167856,0,2.42900044172951,-0.736158769630917,0,0,0,0,0,0,-0.473319723470386,0,0,0,0,0,-0.00413503626972255,0,0,0,0,0,0,-0.00685337406262608,0,-0.0126104654044611,0,0,0,0,0,0,0,0,0,0,0,-0.00395570973241152,0,0,0,0,-0.0161914171065843,0,0,-0.00405852133905809,-0.00968322313592696,0,-0.157624415862889,0,0,0,0,-0.00222592002693863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000920925976079613,-0.000711757304471429,0,0,0,0,0,0,-0.410834940713697,0,0,-0.0198390014119974,0,0,-0.450050308234514,-0.148637408242436,0,0,0,0,0,0,0,-0.00425679282978137,0,0,0,0,-0.0254566476585622,0,0,0,0,0,-0.000504003350544806,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103807458399411,0,0,-0.0166904793848897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220380969465706,-0.115615693954165,0,0,-0.00862345257879553,0,0,0,0,-0.0173432483058337,0,0,0,-0.0184836220565641,0,0,0,-0.0115760088213628,0,0,0,0,0,-0.00804819168962184,0,0,0,0
"Arntl",0,0,-0.736148824648489,2.68931704268527,0,0,0,0,0,0,-0.0713625325716218,-0.120140510577929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172622176150289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0808158579601897,0,0,0,0,0,-0.526632343613568,-0.0874857550023586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225067424423322,-0.324781795764154,0,0,0,0,-0.43749538903867,0,-0.0983103250160581,-0.00841174987873394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000311573710386266,0,0,0,0,0,0,0,0
"Atf1",0,0,0,0,1.84475926354593,0,-0.0607116428336737,0,0,0,0,0,0,0,-0.66618952413457,-0.452433918841217,0,0,0,0,0,0,0,-0.0221089034608241,0,-0.00331644804398836,0,0,-0.00608555246038695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209739988908885,0,0,0,0,0,0,0,0,0,0,0,0,-0.266010280371501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250498438965335,0,0,0,0,0,0,0,0,-0.00680995776856403,0,-0.00119085487829785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184780492389109,0,0,0,0,0,0,0,-0.00463757351623665,0,0,0,-0.0169631522795835,0,0,0,-0.00443911294529694,0,0,0,0,0,-0.136169852524301,0,0,0,0,0,-0.00758357443842768,0,-0.0246370682156053,0,-0.00462692897788593,0,0,0,0,0,0,0,-0.0122883035769739,0,0,-0.00437973193501045,0,0,0
"Atf2",0,0,0,0,0,2.72560500840287,-1.48462693791936,0,-0.00131265315505279,0,0,0,0,0,-0.169247715667085,-0.455009631800303,0,-0.0447718558230125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345943586268948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149322306595601,0,0,0,0,0,0,-0.00285370294495351,0,0,0,0,0,0,0,-0.00911867772559604,0,-0.00484846985041953,0,0,0,0,0,0,0,-0.0625339852982002,0,0,0,0,0,-0.0202643058474819,0,0,0,0,0,0,0,0,-0.0144648663009812,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533030178867331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf7",0,0,0,0,-0.0607144773007457,-1.48464647667247,2.98217405109016,0,0,0,0,0,0,0,-0.305918281330925,-0.578757678371411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42859785624709,0,0,0.0221342504438509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00153446936658722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185810928753652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288822886239882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batf",0,-0.0353874390117749,0,0,0,0,0,1.90936429397047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00124277482581117,0,0,0,0,0,0,-0.607701303662752,0,0,-0.0194738171517435,0,-0.003992159601288,0,0,-0.0159638746483273,0,0,0,0,-0.00491866036339703,0,0,0,-0.0053251205211849,-0.00818943706461497,0,-0.0196419260189451,0,0,0,0,-0.0358472088518461,-0.110025238553098,-0.331176738509346,-0.300040510784692,0,0,0,0,0,0,0,0,-0.0879851068755516,0,0,0,0,-0.00597187521377285,0,0,0,-0.013752511718224,-0.109197974992964,-0.140039027738274,0,0,0,0,0,0,-0.0131036024757112,-0.00252334721796211,-0.0133126515046715,0,0,0,0,0,-0.00022554035311604,0,0,0,0,0,0,0,-0.0329526703334639,-0.00745659804246436,0,0,0,0,-0.00971855810690464,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0068050957465341,-0.0224529100170114,0,-0.0158694600693026,0,0,0,0,0,0,0,0,0,-0.00764841949942472,0,0,0,0,0,0,0,0,0,-0.00848997909938202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00111796221259544,0,0
"Bbx",0,-0.0862591687624398,0,0,0,-0.00132348170314306,0,0,1.04575089055928,-0.0157079725881173,0,0,-0.0201211789746976,0,0,0,-0.0452772048072769,-0.0187773040852156,-0.021793360364906,0,0,0,0,0,0,0,0,0,0,0,0,-0.00286529234653727,0,0,0,0,0,0,0,0,0,0,-0.0287407119711678,-0.0159863537822014,0,0,-0.0449267638908187,0,0,-0.00651152700371018,0,-0.0244806097363082,0,-0.0406982661372988,0,-0.00183384292565557,-0.0151993868015855,0,-0.0228037246816021,-0.0338647366067499,0,0,-0.0573828491064704,-0.0121124642280826,0,-0.00463860326562191,0,0,0,0,0,0,0,0,0,-0.02158494308287,0,0,0,-0.00568410199815002,-0.025355075171181,-0.0160931702073025,0,0,-0.019342631315416,-0.0403007665900291,-0.0204718611647187,0,0,0,0,0,0,0,-0.0103950478647962,-0.0244752704750986,0,0,0,-0.0194858569363893,0,-0.0146915627730687,-0.0123257772910184,0,0,0,0,-0.0155149155347437,-0.0290159962953667,-0.0187556176205013,-0.0023313091013361,0,-0.00685963973166691,0,-0.0148495185819545,-0.0143313350043862,0,0,-0.00644513260688314,0,0,0,-0.0310849204883338,0,0,-0.00844844350044859,0,0,-0.000277846382919865,-0.0172790399114867,-0.0327866101225978,0,-0.0185015263246533,0,0,0,0,0,0,0,0,0,-0.028706792513944,0,0,-0.0242363245392089,0,0,-0.00960695117010622,-0.00771417401682005,0,0,-0.0095062436072517,0,0,0,0,-0.0322854614106334,-0.012246011757801,-0.0112438617151951,0,0,0,0,0,0,0,-0.0118789630786926,0,-0.00264011408885814
"Bcl6",0,0,0,0,0,0,0,0,-0.0157162915577515,1.65435211513725,0,0,0,-0.00152748409463288,0,0,-0.0131471535387602,-0.0242338780118474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0695190400168308,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135087935622661,0,0,-0.00475700813909475,0,0,0,-0.00847985261635691,0,0,0,-0.253981699844489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00829212681457799,0,-0.138527766885235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185926312251617,0,-0.00960987930431908,0,0,0,0,0,0,-0.0030977536103604,-0.00264361545157339,-0.0529431979702045,-0.509340914141663,0,0,-0.0110246883817049,0,0,0,0,0,-0.0359355710163551,0,0,0,-0.00172383921485084,0,0,0,-0.0313670924893521,0,0,0,0,-0.0410847856786796,-0.0683018677365739,-0.0375565125968642,-0.0105697510940391,0,-0.0388086025687585,0,0,0,0,0,0,0,0,0,-0.00436466763418778,0,0,0,0,0,0,-0.0135384018645701,0,0,-0.176457600664164,0,-0.0338006257788703,0,0,-0.0809791050178572,-0.0122010839440901,0,-0.137219097042155,-0.00316901977731342,0,0,0,0,0,0,0,0
"Bhlhe40",0,0,-0.473297949511961,-0.0713502097154933,0,0,0,0,0,0,1.9286995916737,-0.609763572765316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165712845673036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915590071719658,0,0,0,0,0,-0.246054274079921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131748831998797,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0581061899187357,-0.100559138087586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhlhe41",0,0,0,-0.120145151561192,0,0,0,0,0,0,-0.609770305463995,1.57107278470813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188301863792903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129519743588213,-0.0319647817030726,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233004260608524,-0.29310605228693,0,0,0,0,0,0,0,-0.00506488072331788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cbfb",0,0,0,0,0,0,0,0,-0.0201215700320497,0,0,0,1.71261630699233,0,0,0,-0.00052092137753014,-0.00484661936496641,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335274512073662,0,0,0,0,0,0,-0.00921165536413061,0,0,0,0,0,0,0,-0.00731560111795616,0,0,-0.00506568345921477,0,0,0,0,0,0,-0.0132917903756599,0,0,0,0,0,0,0,0,-0.00731884138815737,0,0,0,0,0,0,0,0,0,-0.00196325707577404,0,0,0,0,0,0,0,0,-0.00308006242694391,-0.0121444238948026,-0.00452556227834178,0,0,0,0,0,0,0,-0.0361994157653936,-0.0327759540160339,0,0,0,0,0,0,0,0,0,0,0,0,-0.00260135363164735,-0.485187793579489,-0.472605536776768,-0.28532747623705,0,0,-0.0029865965867777,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00818888156961443,0,-0.0318578528045121,0,-0.0196661324915032,0,-0.0139265368686154,0,0,0,0,0,0,0,-0.0243583698588484,0,0,0,0,0,0,-0.00123156980652374,0,0,-0.00164379465730002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124939656621926,0,0
"Cebpb",0,0,0,0,0,0,0,0,0,-0.00152676592980121,0,0,0,0.976901968290468,0,0,-0.02370328744713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000654456095746155,-0.013444487938324,0,0,0,0,0,0,0,0,0,-0.000601353540665141,0,0,0,-0.00816813857899867,0,0,-0.0550221523771042,0,0,0,0,0,0,0,0,-0.00880299283666132,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207348703326764,0,0,0,0,-0.00299449138964301,0,0,0,0,-0.00694433595777687,0,0,-0.00773861730931239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231220122368496,0,0,-0.0116780671713309,-0.021047022893214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000398303401691504,0,0,0,0,0,0,0,0,0,0,0,0,0
"Creb1",0,0,0,0,-0.666198295442889,-0.169246564287778,-0.305911302312267,0,0,0,0,0,0,0,2.16270882689071,-0.437726235121702,0,0,0,0,-0.0306318708980956,0,0,-1.39899937112648e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138068306556724,0.00169746434055715,0,0,0,0,0,0,0,0,0,0,0,-0.0119913370560227,0,0,0,0,0,0,0,0,0,0,0,0,-0.358862781818864,0,0,0.0123549501729012,0,0,-0.0054189988592136,0,0,0,-0.0226615781103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018814551111421,0,0,0,0,0,0,0,0,-0.00826877028571769,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100489735371383,0,0,0,0,0,0,0,0,0,0,0,-0.0232724773445274,0,0,0,0,0,-0.00414475872128553,0,0,0,0,0,0,0,0,-0.0110858882136621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00845505294614929,0,-0.0168650420017931,0,0,-0.00355726868347304,0
"Crem",0,0,0,0,-0.452434569249058,-0.455005043066777,-0.578753863117448,0,0,0,0,0,0,0,-0.437719905339039,2.31026828326918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00019945571808249,0,0,0,0,0,0,0,0,0,0,0,0,-0.212260707455207,0,0,0,0,0,0,0,0,0,0,0,0,-0.014948474356837,0,0,-0.0192010602014081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00125173700674519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168420577651944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00864497139474451,0,0,0,0,0
