"","AHR","ARID3A","ARNT","ARNTL","ATF1","ATF2","ATF7","BATF","BBX","BCL6","BHLHE40","BHLHE41","CBFB","CEBPB","CREB1","CREM","CTCF","DDIT3","DMRT2","E2F1","E2F3","E2F4","E2F6","EGR1","EGR2","ELF1","ELF2","ELF4","ELK1","ELK3","ELK4","EOMES","ETS1","ETS2","ETV3","ETV5","ETV6","FLI1","FOS","FOXD2","FOXJ2","FOXJ3","FOXN3","FOXO1","FOXP1","GABPA","GATA3","GFI1","HEYL","HIC1","HINFP","HMG20B","HOMEZ","IKZF1","IKZF3","IRF1","IRF2","IRF3","IRF4","IRF7","IRF8","IRF9","ISL2","JDP2","JUN","JUNB","JUND","KLF10","KLF13","KLF2","KLF3","KLF6","KLF7","KLF8","KLF9","MAFK","MAX","MAZ","MBD2","MECP2","MEIS3","MEOX2","MLX","MXD1","NFATC1","NFE2L1","NFE2L2","NFIL3","NFKB1","NFKB2","NFYA","NFYB","NFYC","NR1D2","NR3C1","NR4A2","NRF1","PATZ1","PAX9","PBX3","PKNOX1","PRDM1","PRDM16","PRDM4","RBAK","RELA","RFX1","RFX7","RORA","RUNX1","RUNX2","RUNX3","RXRB","SETBP1","SMAD3","SMAD4","SNAI3","SP1","SP110","SP2","SP3","SP4","SPI1","SREBF1","SREBF2","STAT1","STAT2","STAT3","STAT4","STAT5B","STAT6","TAF1","TBX21","TCF12","TCF3","TEF","TFDP1","TFE3","TFEB","THAP11","THRB","TIGD2","TRP53","USF1","VAX2","XBP1","ZBTB14","ZBTB17","ZBTB20","ZBTB3","ZBTB49","ZFP143","ZFP212","ZFP213","ZFP260","ZFP263","ZFP281","ZFP287","ZFP324","ZFP335","ZFP398","ZFP410","ZFP422","ZFP523","ZFP566","ZFP64","ZFP740","ZFP768","ZFX","ZSCAN20"
"AHR",1.01446989895185,0.00333519762174601,-0.134181934393373,0.0349415402728816,-0.0144058089786377,0,0,0,0,0,0.0126390595520229,0,0,0,0,0,-0.00224945043809,0,0,0,-0.00262639059057132,0,0,-0.0140692113657223,0,-0.00179206320408332,0,-0.0111018648809351,0,0,-0.00508756242376682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00235937220044977,0,-0.0139835872250725,-0.00738882394709779,0,0,0,0,0,0,0,0.00334054712631171,0,0,0,0,0,0,0,0,0,0,0,-0.00518993033302368,0,0,0,0,0,-0.0451822615028842,0,0,0.00976205315501395,0,0,0,0,0,0,-0.0106134951198557,0,-0.0109650553522716,0,0,-0.00458713403309064,-0.0048199587243721,-0.00596213007268907,0,0,-0.000561903953743184,-0.00679075379124968,0,0,0,0,0,0,-0.0304770992422425,0,0,0,0,0,-0.0219241787909521,0,-0.020514346083448,0,0,-0.0111942370048389,0,0,-0.0286067279001053,0,0,0,0,0,0,0,0,0,0,0,0.00723107121906876,0,0,0,0,0,-0.00557358977884397,0,0,0,0.0215950953001852,0,0,-0.0198786883552961,0,0,0,-0.0095598414936998,-0.00580116989611942,0,-0.0122991732166209,-0.0134986941489948,0,0,0,0,0,0,0.000154010857299043,0,0,0,-0.00919914129493963,0,0,0,0
"ARID3A",0.00333544914370003,1.21324789436912,0,0,0,-0.018464470156871,0,-0.0369947612401041,-0.0996112963606913,0,0,0,0,0,0,0,-0.0650144157237718,-0.0275694854825917,-0.0775076760944358,0,0,0,0,0,0,0.00917316181863572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0089802149532569,-0.0259259486961391,-0.0434524868018086,0,0,0,-0.0460965448350307,-0.0568360097952627,0,-0.00211211510363309,0,-0.0514777618198552,0,0,0,-0.008623866168453,0,0,-0.0104067854600939,-0.0186100721707036,0,-0.0322677629760953,-0.184299845161506,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279289991840766,0,0,0,0,0,-0.0507739998384589,0,0,0,-0.0338139907723856,0,-0.0160235901704348,0,0,0,0,0,-0.00239739655453588,-0.0123287127667241,-0.0297529229236377,0,0,-0.000525197861871208,-0.00330635338577121,0,0,0,-0.00907211682985899,0,0,0,-0.0223893952843221,-0.038013043491862,-0.0224441210151157,0,0,0,0,0,-0.00953336787619945,0,0.00022087054743391,-0.00192795174941141,0,0,0,0,0,0,0,0,0,0,-0.0269246287070328,-0.0122805719648107,-0.00457043365670286,-0.00766663700490446,0,0,-0.00646542245788063,0,0,0,0,0,0,-0.0228518938033609,0,-0.0411644957474501,0,0,0.0160643094862501,-0.00639028579898876,-0.00752068738025726,0,0,0,0,0,0,0,-0.0963238274889096,0,-0.0059382729545529,0,0,-0.0289412988325061,0,0,0.0105514753005752,0,-0.00910309216123704,0.00204845948716368,-0.000883238433656542
"ARNT",-0.134205813176779,0,4.2353040150264,-1.40963414732627,0,0,0,0,0,0,-1.11127537827722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00152580532410058,0,0,0,0,0,0,0,0,0,-0.00336985623543796,0,0,0,0,-0.0077427766598756,0,-0.018730352035914,0,0,0,-0.0278902727834703,0,-0.196079309606163,0,0,0,0,-0.00377165929231455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0037564901429728,0,0,0,0,0,0,0,-0.922728365139338,0,0,-0.0162692540111123,0,0,-0.652042288181382,-0.254229797574441,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134085221283978,0,0,0,0,-0.0107791611245739,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134333795542497,0,0,-0.02432519959739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00166748013146656,0,-0.0100828268643474,-0.0551921898994379,0,0,0,0,0,0,0,-0.00406677047659178,0,0,0,-0.0150330678388215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARNTL",0.034930058983584,0,-1.40949980709596,4.78120534593625,0,0,0,0,0,0.0111448454219553,0,-0.056350609425194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153490869038646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.571200223532017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00214646430851144,0,-0.134540791198566,0.00251078165363141,0,0,0,0,-0.94041449507582,-0.1755565950815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033960899438869,0,0,0,0,0,0,-0.208192854882588,-0.716580280299514,0,0,0,0,-0.952396855318223,0,-0.161254930277378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527940682240406
"ATF1",-0.0144056096488062,0,0,0,2.64546133726316,0,0,0.0456556678990332,0,0,0,0,0,0,-1.11912263335669,-0.688607225565825,0,0,0,0,0,0,0,-0.0128003341074181,0,0,0,-0.00761071346173662,-0.000624857040548487,0,0,0,0,0,0,0,0,0,0.122555174123424,0,0,0,0,-0.00360294086623768,0,0,0,0,0,0,-0.0404137472909525,0,0,0,0,0,0,0,0,0,0,0,0,-0.38465462771752,-0.0721554646140769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005288728174144,0.0136352053816658,0,0,0.0085219442641628,0,0,0,0,0,-0.0356185379788028,0,0,0,0,0,0,0,0,-0.022211108738262,0,-0.00918522794099634,0,0,0,0,0,-0.0121166573427758,0,0,0,0.0103843488205831,0,0,0,0,0,0,0,0,0,0,-0.0344089587406731,0,0.00772405477311855,0,0,0,0,0,0,0,0,0,-0.0415665856683399,-0.00347410452631595,0,0,-0.010275032482576,0,0,0,0,0,-0.206446028519836,0,0,0,0,0,-0.0111264725881033,0,-0.0386718230592025,0,-0.0140994576573552,0,0,0,0,0,0,0,-0.0119774212984173,0,0,-0.0150410044952813,0,0,0
"ATF2",0,-0.018488244406359,0,0,0,5.53573106793254,-4.01723748441174,0,-0.019396974296543,0,0,0,0,0,-0.0651874341001828,-0.627276075304059,0,-0.0982570458379266,0,0.00386372466604315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159360374596231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49717429514485,0.0982364514321215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000596052144574393,-0.0127188633392973,0,0,0,0,0,0,-0.0226198927684077,0,0,0,-0.00503264158792936,0,0,0,-0.00558284205056162,0,-0.00586411118175226,0,0,0,-0.00919224402226436,0,0,-0.0019331363341012,-0.132124209532141,0,-0.00621279241050556,0,0,0,-0.0231099293526071,0,0,0,0,0,0,0,0,-0.0439629486881916,0,0,0,0,0,0,-0.00604398172319945,0,0,0,0,0,-0.092962946798826,0,0,0,0,0.03037002714608,0,0,-0.0175743033964276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATF7",0,0,0,0,0,-4.01718790724632,6.44785582060879,0,0,0,0,0,0,0,-0.454529817600779,-1.07048018984603,0,0,0,0.0158101621469348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158483197915817,0,-0.00795681509649113,0,0,0,0,0,0,0,0,0,0,0,0,-0.982097806520068,0.130393004334226,0,0.224510147674899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721192990062117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00838543988666613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305435831743279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0587165956574193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATF",0,-0.0369843642027953,0,0,0.0456745402278878,0,0,2.72023182914275,0,0,0,0,0,0.00078435035977654,0.0688174267022906,0,0,0,0,0,0.00446410146385879,0.0595167124379646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067192395164009,-0.0200997453510895,0,-1.10576356917263,0,0,-0.0151368903684687,0,-0.00794432887338698,0,0,-0.0178860461025892,0,0,0,0,-0.0188215273063857,0,0,0,0,-0.00581382826277572,0,-0.0245802000284107,0,0,0,-0.000881099415328344,-0.141604308676364,0,-0.522274179769731,-0.374208969229795,0,0,0,0,0,0,0,0,-0.106415464748846,0,0,0,0,-0.0115576607882049,0,0,0,-0.0147881228398239,-0.14906006597082,-0.193199535553163,0,0,0,0,0,0,-0.00238494080189571,0,-0.017533773366862,0.0306146147028855,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429367461787942,-0.000947312329617337,0,0,0,0,-0.0150531578458528,0,0,0,0,0,0.00444124176173181,0,0,-0.0154835865527726,0,0,0,0,-0.0174707443615934,-0.0311142852037185,0,-0.0194582377378176,0,0,0,0,0,0,0,0,0,-0.015729248277601,0,0,0,0,0,-0.0047678562065947,0,0,0,-0.0176872430447061,0,0,0,0,0,0,0,0,-0.00534927820837818,0,0,0,0,0,-0.00428079884583503,0,-0.000141154586420239
"BBX",0,-0.0996119756292546,0,0,0,-0.0193642153750014,0,0,1.23035017451918,-0.00499855882418878,0,0,-0.0241689365743087,-0.00134625661816696,0,0,-0.0515630893575366,-0.028711354532836,-0.0430251698214569,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108326495224202,0,0,0,0,0,0,0,0,0,0,-0.0257385928682119,-0.0180594069890198,0,0,-0.0530959957900328,0,0,-0.00520675492691376,0,-0.0440007434471315,0,-0.055329722809579,0,0,-0.0102832470827617,0,-0.0283395531541593,-0.0438309524373559,0,0,-0.0895375204295038,0,0,0,0,0,-0.0143037995228774,0,0,0,0,0,-0.000213158403364605,-0.0252618455332678,0,0,0,-0.018791407997871,-0.0260458030592314,-0.0316967099038996,0,0,-0.0250164108289375,-0.0553214917404144,-0.0216295173592938,0,0,0,-0.00482925708998341,0,0,0,-0.0081308063197997,-0.0314060987782385,0,0,0,-0.041631232430313,0,-0.0158730552696922,-0.016877013923626,0,0,0,0,-0.0248871616096273,-0.0358453569709107,-0.0200831746839357,0,0,-0.00323998456513597,0,-0.0118209565201181,-0.0135305546245665,0,0.00842875568305894,-0.0122511193289924,0,0,0,-0.0274894774684913,0,0,0,0,0,0,-0.0283271511210211,-0.0451966774560146,0,-0.0148629141910468,0,0,0,0,0,0,-0.00407713451022052,0,0,-0.0326253826309236,0,0,-0.039301196970109,0,0,-0.0262992028827888,-0.00848732360403248,0,0,-0.0131708152974498,0,-0.0016462354804469,0,0,-0.0482499102409647,-0.0252767359463601,-0.0149801784283346,0,0,0,0,0,0,0,-0.0125418801200174,0,-0.0127631101572795
"BCL6",0,0,0,0.0112565127870918,0,0,0,0,-0.0049941389964692,2.24077596061632,0,0,0,0,0,0,-0.00562711928373064,-0.0278817576382074,0,0,0,0,0,0,0,0,0,0,0.00165998299097778,0.0120667188658363,0,0,0,-0.0720003533910096,0.00863202508778276,0,0,0,0,0,0,0,0,0,0,0,-0.0130518293939948,0,0,-0.002656028786698,0,0,0,0,0,0,0,-0.355499525691398,0,0,0,0.00943428175046841,0,0,0,0,0,0,-0.0127329037541412,0,0.0290302493806163,0,0,0,0,-0.0061306130913401,0,-0.302827022874669,0,0,0,0,0,0,0,0,0,0,0,0.0158488074321517,0,0,0,-0.0174555912324464,0,-0.00812697465056191,0,0,0,0,0,0,0,-0.0023724531841639,-0.0649969284788375,-0.799074879648972,0,0,-0.0014310002983301,0,0,0,0,0,-0.0389169308321384,0,0,0,0,0.108422127636215,0,0,-0.044026584546361,0,0,0,0,-0.0404670053207741,-0.0891179572032903,-0.0819207513101451,-0.0047217465582493,0,-0.0435592194049206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0023271082872536,0,0,-0.234254052663949,0,-0.029498224064652,0,0,-0.149923934542931,-0.0116216734920388,0,-0.167221760570127,0,0,0,0,0,-0.00309713264016957,0,0,0
