"","AHR","ARID3A","ARNT","ARNTL","ATF1","ATF2","ATF7","BATF","BBX","BCL6","BHLHE40","BHLHE41","CBFB","CEBPB","CREB1","CREM","CTCF","DDIT3","DMRT2","E2F1","E2F3","E2F4","E2F6","EGR1","EGR2","ELF1","ELF2","ELF4","ELK1","ELK3","ELK4","EOMES","ETS1","ETS2","ETV3","ETV5","ETV6","FLI1","FOS","FOXD2","FOXJ2","FOXJ3","FOXN3","FOXO1","FOXP1","GABPA","GATA3","GFI1","HEYL","HIC1","HINFP","HMG20B","HOMEZ","IKZF1","IKZF3","IRF1","IRF2","IRF3","IRF4","IRF7","IRF8","IRF9","ISL2","JDP2","JUN","JUNB","JUND","KLF10","KLF13","KLF2","KLF3","KLF6","KLF7","KLF8","KLF9","MAFK","MAX","MAZ","MBD2","MECP2","MEIS3","MEOX2","MLX","MXD1","NFATC1","NFE2L1","NFE2L2","NFIL3","NFKB1","NFKB2","NFYA","NFYB","NFYC","NR1D2","NR3C1","NR4A2","NRF1","PATZ1","PAX9","PBX3","PKNOX1","PRDM1","PRDM16","PRDM4","RBAK","RELA","RFX1","RFX7","RORA","RUNX1","RUNX2","RUNX3","RXRB","SETBP1","SMAD3","SMAD4","SNAI3","SP1","SP110","SP2","SP3","SP4","SPI1","SREBF1","SREBF2","STAT1","STAT2","STAT3","STAT4","STAT5B","STAT6","TAF1","TBX21","TCF12","TCF3","TEF","TFDP1","TFE3","TFEB","THAP11","THRB","TIGD2","TRP53","USF1","VAX2","XBP1","ZBTB14","ZBTB17","ZBTB20","ZBTB3","ZBTB49","ZFP143","ZFP212","ZFP213","ZFP260","ZFP263","ZFP281","ZFP287","ZFP324","ZFP335","ZFP398","ZFP410","ZFP422","ZFP523","ZFP566","ZFP64","ZFP740","ZFP768","ZFX","ZSCAN20"
"DMRT2",0,-0.0381480335320968,0,0,0,0,0,0,-0.0145876354887483,0,0,0,0,0,0,0,0,0,0.909369548103077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007549372103184,0,0,0,0,0,0,0,0,0,-0.013936409015473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046808227520033,0,0,0,0,0,0,0,0,-0.00542041566709732,0,0,0,0,0,0,0,0,0,0,0,0
"E2F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53904463676791,-0.114551175944865,-1.02190275224742,-0.216381304368206,0,-0.0192333939501928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0587124416036174,-0.163798844073115,-0.0698670934464691,-0.204513911097606,-0.0502372408166126,0,0,0,0,-0.00825179537287429,0,0,0,0,-0.00456763241634147,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295329506360564,-0.204729117702771,0,0,0,0,0,0,0,0,-0.00281249767946545,0,0,0,0,0,0,0,0,0,0,0,0,-0.108454910098954,-0.0916966085055647,-0.110875737224312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079486801211188,0,0,0,0,0,0,-0.00178665916748743,0,0,-0.00683342698736121,0,0,0,0,0,0,-0.0181592770915334,0,-0.00922240124773318,0,0,0,0,0,0,0,-0.00257658032002618,0,0,0,0,-0.0223119862661554,0
"E2F3",0,0,0,0,-0.000878287661740784,0,0,0,0,0,0,0,0,0,-0.027416528301346,0,0,0,0,-0.114543153634072,1.61597513211179,-0.0557526352240814,-0.617984877357481,0,0,-0.00944091250351138,0,0,0,0,-0.00814892644005545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0057676257812632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00923060560631838,0,-0.0405357020468203,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283264151938104,-0.00183150588593646,0,0,0,-0.0065610928678094,0,0,0,0,0,-0.00298700195056065,0,-0.0271575928949453,0,-0.0134867948917682,0,0,0,0,0,0,0,0,0,0,-0.0294705820915982,-0.00711518688104055,-0.0505895487302465,0,0,0,0,0,0,0,0,0,0,0,-0.0102330495061994,0,0,0,0,-0.35408700583563,0,0,0,0,0,0,0,0,-0.00337404552609936,-0.0620286321719824,0,0,0,0,0,0,-0.000365246627581379,0,-0.0272835023142821,0,0,0,0,0,0,0,0,-0.045071470323711,-0.0336250222223066,0,0,-0.00423676188813447,0
"E2F4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02186279950887,-0.0557391964018434,2.57080513834033,0,-0.0608074430831866,-0.0296694468740534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00116854450676499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525169650621799,-0.127116832782543,-0.0243750889095611,-0.151715192909602,-0.0724094778823163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292690624421369,-0.012072261756331,-0.00895038724807185,0,0,0,-0.0438682908986726,-0.0302256225066556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130262320920122,-0.0644846941474182,-0.557057380586315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463998895099202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00990570043798601,0,-0.00359957266029906,0,0,0,0,0,0,0,0,0,-0.00324473967733174,0,0,0,0,-0.0274546891580022,0
"E2F6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216400294920334,-0.61799335995985,0,1.71665029560647,0,-0.0210918481158581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.090218792785873,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305020007919035,0,0,0,-0.0264766590891463,0,0,0,0,0,-0.106755389579909,-1.47866066266201e-05,0,0,0,0,0,0,0,0,0,0,-0.000710890496474799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309825949112045,0,0,0,0,0,0,0,0,0,0,0,0,-0.0831732262100094,0,0,-0.0141819826005842,0,0,0,0,0,0,0,0,0,0,-0.00886696068473821,0,0,0,0,-0.2080849958508,0,0,0,0,0,0,0,0,-0.00169888307269021,0,-0.123475751841955,0,0,0,0,0,-0.0204779622629436,0,-0.0073850489906911,0,0,0,0,-0.0284733918940402,0,0,-0.01993273062758,-0.0621859063377897,-0.00849222377550565,0,-0.00553483456977543,0,0
"EGR1",-0.00219828660641782,0,-0.0096300265751265,0,-0.0229461126075217,0,0,0,0,0,0,0,0,0,0,-0.000872502012855666,0,0,0,0,0,-0.0608206422817462,0,2.1950905986973,-1.09216046791128,-0.0151923986961679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0973539344116964,0,0,-0.0510642370319459,-0.022501339893567,0,0,0,0,-0.00873907462970443,0,0,-0.00621396096570912,0,0,0,-0.0112283091388646,0,0,0,0,-0.00178190711138776,0,0,-0.00840434455133766,-0.00796624070295203,0,0,0,-0.0371696787800596,-0.0190424830301064,0,0,0,0,0,0,0,0,-0.0323211342694414,0,0,0,0,0,0,0,0,0,0,-0.100403860038926,0,-0.07437968949462,-0.0430073971615399,-0.214916023383969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00536699169108058,0,0,0,0,0,-0.0282038463480436,-0.0766202752578194,0,0,0,0,0,0,0,0,-0.0661350816432723,0,0,-0.0102986553994016,0,0,0,0,0,-0.0313228593197049,0,0,-0.0099510706089579,0
"EGR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139265796525287,0,0,-0.0192466279524697,0,-0.0296628372244683,-0.0210699576541749,-1.09214652753905,2.10592039105053,-0.00839593642705249,-0.00418777174020946,0,0,0,-0.0037573519970516,0,0,0,0,0,0,-0.00687154321664772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742157179185393,0,-0.0388026053142553,-0.00315816722423455,-0.0526578720362165,-0.00287872370760474,-0.0177639040691678,0,0,0,0,0,0,0,0,0,-0.00714131122280085,0,0,0,0,0,-0.00085996396027702,0,0,0,0,0,0,0,-0.0752986356921275,0,0,-0.0178618289244104,0,0,-0.00512310850505505,0,0,-0.0285868226159218,0,0,0,0,0,0,0,-0.00889838044572889,0,0,-0.0332308747851377,0,0,-0.0115142214882347,-0.140076948599614,0,0,0,0,0,0,0,0,0,0,0,-0.00368440100166146,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049905675087965,0,0,0,0,0,0,0,-0.00528537403914862,-0.198030455231025,0,0,0,0,0,0,-0.00171757177696147,0,0,0,-0.0129082414058974,-0.0134934971735703,0
"ELF1",0,0,-0.0121029657960437,0,-0.00374629225031321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00943923673789626,0,0,-0.0152092549932873,-0.00840231857025199,2.03318225281028,-0.262382589944136,-0.229665882255122,-0.230118079353853,0,-0.254281158468798,0,-0.174386523910809,0,0,0,-0.0393221602080104,-0.185139504097139,0,0,0,0,0,0,0,-0.397708194804499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264413127556535,0,0,-0.0336275214704254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00100756283707351,0,0,0,-0.00455454740710577,0,0,0,0,0,-0.0141722038186649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214889699084589,-0.00739507845935309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107120674797397,-0.00490308024677543,0,0,0,0,0,0,-0.0136557060809726,0,-0.0142553447596235,0,0,0,0,0,0,0,0,-0.00340171700364669,-0.0055997660205426,0,0,0,0
"ELF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136947260419733,0,0,0,0,0,0,-0.00419482362370049,-0.262393560666086,1.96302055222247,-0.488114753701252,-0.134331846592937,0,-0.130269290675107,0,-0.0683307029059527,-0.0663288482914365,0,0,-0.468242533786371,-0.0357501589034736,0,0,0,0,-0.00216123577459514,0,0,-0.0526824161125476,0,0,0,-0.0118033681455827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010666494491388,0,0,0,0,-0.0174689372781149,0,0,0,0,0,0,-0.00307969608316421,0,0,0,0,0,0,0,0,0,0,0,0,-0.00834013137394297,0,0,0,0,0,0,-0.0246980365680643,0,0,0,0,0,-0.0113942527348682,0,-0.003816108313422,0,0,0,-0.00177067976009049,0,0,-0.0119109557209739,0,0,-0.000150145179517443,0,0,0,-0.0716141293641424,-0.0286474871698597,0,0,0,-0.0764440355639175,-0.00547718468104329,0,0,0,0,-0.00955492291336127,-0.0230913892184232,0,0,0,0,0,0,0,-0.0107640772563467,0,0,-0.0146196865567907,0,0,0,-0.0156556031735623,0,0,0,0,0,-0.00646764659293552,0,0,-0.0186566204106586,0,0,0,0,0,0,0,0,0,0,0
"ELF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229667964891141,-0.488108383923862,1.93961744632837,-0.248822778993612,-0.235118014234503,0,0,0,0,-0.287633068018206,-0.182497631032287,-0.0159086718530168,0,0,0,0,0,0,0,0,-0.0708678029144165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000160421002102207,0,0,0,0,0,0
