"name","cluster","group"
"Patz1",1,"Housekeeping"
"Zfx",1,"Housekeeping"
"E2f4",1,"Housekeeping"
"Sp2",1,"Housekeeping"
"Klf3",1,"Housekeeping"
"Sp3",1,"Housekeeping"
"Nfyb",1,"Housekeeping"
"Klf13",1,"Housekeeping"
"Zbtb17",1,"Housekeeping"
"Mbd2",1,"Housekeeping"
"Rfx1",1,"Housekeeping"
"Sp4",1,"Housekeeping"
"Nrf1",1,"Housekeeping"
"Klf10",1,"Housekeeping"
"Maz",1,"Housekeeping"
"Stat6",2,"Housekeeping"
"Etv6",2,"Housekeeping"
"Irf3",2,"Housekeeping"
"Stat4",2,"Housekeeping"
"Gata3",2,"Housekeeping"
"Trp53",2,"Housekeeping"
"Irf1",2,"Housekeeping"
"Foxj3",2,"Housekeeping"
"Stat2",2,"Housekeeping"
"Zfp287",2,"Housekeeping"
"Runx3",2,"Housekeeping"
"Irf2",2,"Housekeeping"
"Foxn3",2,"Housekeeping"
"Runx1",2,"Housekeeping"
"Stat1",2,"Housekeeping"
"Runx2",2,"Housekeeping"
"Elf1",3,"Housekeeping"
"Ets1",3,"Housekeeping"
"Gabpa",3,"Housekeeping"
"Fli1",3,"Housekeeping"
"Elf4",3,"Housekeeping"
"Elk4",3,"Housekeeping"
"Elk3",3,"Housekeeping"
"Sp110",4,"Housekeeping"
"Elf2",4,"Housekeeping"
"Rela",4,"Housekeeping"
"Pknox1",4,"Housekeeping"
"Tcf3",4,"Housekeeping"
"Ikzf3",4,"Housekeeping"
"Ikzf1",4,"Housekeeping"
"Tcf12",4,"Housekeeping"
"Zfp281",4,"Housekeeping"
"Zfp260",4,"Housekeeping"
"Ctcf",4,"Housekeeping"
"Zfp740",4,"Housekeeping"
"Bcl6",4,"Housekeeping"
"Creb1",5,"Housekeeping"
"Stat3",5,"Housekeeping"
"Nfyc",5,"Housekeeping"
"Sp1",1,"TRM important"
"Klf7",1,"TRM important"
"Mlx",1,"TRM important"
"Zfp566",1,"TRM important"
"Myc",1,"TRM important"
"Usf1",1,"TRM important"
"Klf2",1,"TRM important"
"Arnt",1,"TRM important"
"Mecp2",1,"TRM important"
"Zfp64",1,"TRM important"
"Taf1",1,"TRM important"
"Zfp143",1,"TRM important"
"Usf2",1,"TRM important"
"Wt1",1,"TRM important"
"Tfdp1",1,"TRM important"
"Klf8",1,"TRM important"
"Tfe3",1,"TRM important"
"Klf5",1,"TRM important"
"Arntl",1,"TRM important"
"Tbx21",2,"TRM important"
"Batf",2,"TRM important"
"Tgif1",2,"TRM important"
"Tlx2",2,"TRM important"
"Irf7",2,"TRM important"
"Cdx1",2,"TRM important"
"Srebf1",2,"TRM important"
"Tcf7",2,"TRM important"
"Meis3",2,"TRM important"
"Irf8",2,"TRM important"
"Phox2b",2,"TRM important"
"Nfe2l2",2,"TRM important"
"Zfp212",2,"TRM important"
"Nfkb2",2,"TRM important"
"Mafk",2,"TRM important"
"Bbx",2,"TRM important"
"Zfp422",2,"TRM important"
"Rora",2,"TRM important"
"Cbfb",2,"TRM important"
"Relb",2,"TRM important"
"Foxo1",2,"TRM important"
"Nfatc1",2,"TRM important"
"Foxp1",2,"TRM important"
"Elk1",3,"TRM important"
"Srebf2",4,"TRM important"
"Atf2",4,"TRM important"
"Nfya",4,"TRM important"
"Nfkb1",4,"TRM important"
"Zfp398",4,"TRM important"
"Zfp335",4,"TRM important"
"Smad3",4,"TRM important"
"Zfp263",4,"TRM important"
"Thap11",5,"TRM important"
"Atf7",5,"TRM important"
"Atf1",5,"TRM important"
"Jund",5,"TRM important"
"Bhlhe40",1,"TRM_Tex"
"Snai3",1,"TRM_Tex"
"Xbp1",1,"TRM_Tex"
"Egr1",1,"TRM_Tex"
"Max",1,"TRM_Tex"
"Egr2",1,"TRM_Tex"
"E2f1",1,"TRM_Tex"
"Ahr",1,"TRM_Tex"
"Mxd1",1,"TRM_Tex"
"Tigd2",1,"TRM_Tex"
"E2f3",1,"TRM_Tex"
"Nr4a2",2,"TRM_Tex"
"Nfil3",2,"TRM_Tex"
"Gfi1",2,"TRM_Tex"
"Zbtb3",2,"TRM_Tex"
"Ddit3",2,"TRM_Tex"
"Irf4",2,"TRM_Tex"
"Hmg20b",2,"TRM_Tex"
"Isl2",2,"TRM_Tex"
"Etv3",3,"TRM_Tex"
"Thrb",4,"TRM_Tex"
"Hic1",4,"TRM_Tex"
"Prdm1",4,"TRM_Tex"
"Crem",5,"TRM_Tex"
"Tef",5,"TRM_Tex"
"Setbp1",5,"TRM_Tex"
"Homez",5,"TRM_Tex"
"Jun",5,"TRM_Tex"
"Meox2",5,"TRM_Tex"
"Fos",5,"TRM_Tex"
"Snai1",1,"TRM_specific"
"Klf6",1,"TRM_specific"
"Klf4",1,"TRM_specific"
"Zfp692",1,"TRM_specific"
"Hlx",2,"TRM_specific"
"Junb",2,"TRM_specific"
"Nr4a1",2,"TRM_specific"
"Nr4a3",2,"TRM_specific"
"Rel",2,"TRM_specific"
"Nr1i3",2,"TRM_specific"
"Foxo3",2,"TRM_specific"
"Pbx4",2,"TRM_specific"
"Hsf2",2,"TRM_specific"
"Gmeb1",3,"TRM_specific"
"Glis3",4,"TRM_specific"
"Zfp341",4,"TRM_specific"
"Atf3",5,"TRM_specific"
"Fosl2",5,"TRM_specific"
"Fosb",5,"TRM_specific"
"Atf4",5,"TRM_specific"
