"","Ahr","Arnt","Arntl","Atf1","Atf2","Atf3","Atf4","Atf7","Batf","Bbx","Bcl6","Bhlhe40","Cbfb","Cdx1","Creb1","Crem","Ctcf","Ddit3","E2f1","E2f3","E2f4","Egr1","Egr2","Elf1","Elf2","Elf4","Elk1","Elk3","Elk4","Ets1","Etv3","Etv6","Fli1","Fos","Fosb","Fosl2","Foxj3","Foxn3","Foxo1","Foxo3","Foxp1","Gabpa","Gata3","Gfi1","Glis3","Gmeb1","Hic1","Hlx","Hmg20b","Homez","Hsf2","Ikzf1","Ikzf3","Irf1","Irf2","Irf3","Irf4","Irf7","Irf8","Isl2","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf4","Klf5","Klf6","Klf7","Klf8","Mafk","Max","Maz","Mbd2","Mecp2","Meis3","Meox2","Mlx","Mxd1","Myc","Nfatc1","Nfe2l2","Nfil3","Nfkb1","Nfkb2","Nfya","Nfyb","Nfyc","Nr1i3","Nr4a1","Nr4a2","Nr4a3","Nrf1","Patz1","Pbx4","Phox2b","Pknox1","Prdm1","Rel","Rela","Relb","Rfx1","Rora","Runx1","Runx2","Runx3","Setbp1","Smad3","Snai1","Snai3","Sp1","Sp110","Sp2","Sp3","Sp4","Srebf1","Srebf2","Stat1","Stat2","Stat3","Stat4","Stat6","Taf1","Tbx21","Tcf12","Tcf3","Tcf7","Tef","Tfdp1","Tfe3","Tgif1","Thap11","Thrb","Tigd2","Tlx2","Trp53","Usf1","Usf2","Wt1","Xbp1","Zbtb17","Zbtb3","Zfp143","Zfp212","Zfp260","Zfp263","Zfp281","Zfp287","Zfp335","Zfp341","Zfp398","Zfp422","Zfp566","Zfp64","Zfp692","Zfp740","Zfx"
"Ahr",0.879065023874584,-0.00421794829493462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00308632313639607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128771488316583,-0.00623772522214153,-0.0055128329403472,-0.00561387860909014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3828978764078e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0070067410584833,0,-0.0187380251179646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnt",-0.00421690579698276,1.6535964681813,-0.495363215958559,0,0,0,0,0,0,0,0,-0.236300499223228,0,0,0,0,0,0,0,0,0,0,0,-0.00191810196074856,-0.0137605997724812,0,0,0,-0.00269555578496505,-0.000691003215558957,0,0,-0.00217323001831941,0,0,0,0,-0.00335329238120517,0,0,0,-0.018716658685194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000939276594549774,0,0,0,0,-0.0101622852450222,0,-0.299442475407167,0,-0.00364227047632937,-0.0104126401303361,0,0,-0.164418477883533,-0.092319086398902,-0.0503831457404368,0,0,0,0,0,0,0,0,0,0,0,0,-0.00492975127706128,0,0,0,-0.00736679426304005,0,0,0,0,-0.00387335340289334,0,0,0,0,0,0,0,0,0,0,0,-0.0152132878519042,-0.0187810494182932,0,0,0,0,0,0,0,-0.00380065245623306,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0608681077600135,-0.171040160004503,0,0,0,0,0,0,0,0,0,0,-0.00117046697476715,0,0,0,0,0,0,0,0
"Arntl",0,-0.495353249616948,1.95537774914325,0,0,0,0,0,0,0,0,-0.159957507429752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00141552057325304,0,0,-0.0956327737805126,0,0,0,0,0,-0.38766061160572,-0.0859436870499939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213456739554187,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211797877022637,0,0,0,0,0,0,-0.262628549544625,-0.25721968482593,0,-0.0847856930686054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf1",0,0,0,1.41468317820195,-0.0426614680221044,-0.0834616406943087,0,-0.137652262745201,0,0,0,0,0,0,-0.507446800267334,-0.250342774988121,0,0,-0.0011096222380108,0,-0.00436866371014518,-0.00806132647391015,0,-0.0204030983061433,0,0,0,0,0,0,0,0,-0.0114309737286877,0,0,0,0,-0.000798239221152045,0,0,0,0,0,0,0,-0.119215125224879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128220077923512,0,0,0,0,-0.00758160082201634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00848989972888157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000996614054490966,-0.00380320778878556,0,-0.00901053322766825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000668361739276992,0,0,0,0,0,0,-0.0875582731642844,-0.00331021655671472,0,0,0,0,0,0,0,0,-0.00282511370513254,0,0,0,-0.00387483471031206,0,0,0
"Atf2",0,0,0,-0.0426629339116633,1.83629765870622,-0.0329512097611901,0,-1.0075007574983,0,0,-0.00129089305208333,0,0,0,-0.194939671326777,-0.243335520171624,0,-0.0314102507965973,0,0,0,0,0,0,0,0,0,0,0,-0.000239548651692124,0,0,0,0,0,0,-0.00334738115456991,-0.00944691909606209,0,0,0,0,0,0,0,0,-0.00332167864946168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00902285127997653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141277694152061,0,0,0,0,-0.0100362975533735,-0.0107744253315265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00735944818755516,0,0,0,-0.000468848801011225,0,-0.00355200696349108,-0.0087711606712953,0,0,0,0,0,-0.0216108906481187,0,0,-0.0144807984867162,0,0,0,0,0,0,0,0,0,0,-0.0134430434097145,0,0,-0.00657771214357182,-0.00099814087724025,0,0,0,0,0,0
"Atf3",0,0,0,-0.0834622554487373,-0.0329507824061155,1.52524929623148,0,-0.0491096765230265,-0.00303448272902588,-0.00729360623509275,0,0,0,0,-0.0792927810932921,-0.102443479382602,0,0,0,0,0,0,-0.00075837419568805,0,0,0,0,0,0,0,0,0,-0.00474360663376406,-0.00798628690016064,-0.0419756003884264,-0.640717259943679,0,0,0,0,0,0,-0.0040231586868873,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000223134549199201,-0.00497568855897284,0,0,-0.189509617650481,-0.0892674190918888,0,0,0,0,0,-0.0222874115717316,-0.0257472284806007,-0.0119222848546856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187371540821921,0,-0.00614390222207737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00552983377958347,0,0,0,0,0,0,0,0,0,0,-0.00965557361099551,0,0,0,0,0,0,0,0,0,0,0,-0.0104319583163981,0,0,0,0,0,0,0,-0.104403254043227,0,-0.00178527435405417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf4",0,0,0,0,0,0,1.22344626117769,0,0,0,-0.00938820571678875,0,0,0,0,0,0,-0.564725313508681,0,0,0,0,0,0,-0.00542692537286886,0,0,0,0,-0.00461622345937817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0750566077850733,0,0,0,0,0,0,0,0,-0.0137528098545143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227967797222806,0,0,0,0,0,0,0,-0.000341387544545666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027218232346612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf7",0,0,0,-0.137652129313666,-1.00750434145239,-0.0490898809510614,0,2.03244426642292,0,0,0,0,0,0,-0.302758384244206,-0.384859139865627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000261134786676123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029685148677848,0,0,0,0,0,0,0,-0.0159127745557001,0,0,0,0,-0.00629556941517672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batf",0,0,0,0,0,-0.0030039988155997,0,0,1.60365743156273,-0.0127175811934427,0,0,-0.00582077880074108,-0.016821169489812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50463002319472e-05,0,-0.262665142622965,-0.334698301689815,-0.172206177069588,-0.0198011086053735,0,-0.0214886038126644,0,0,0,-0.0042448758021354,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02616009905878,0,-0.00562011119028458,0,-0.0606805531944663,-0.162461832482313,-0.233283024123524,0,0,0,0,0,0,0,0,0,-0.072764515793939,0,0,0,0,0,0,0,0,0,-0.0213603237453691,-0.0926313422160931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221911403498762,-0.0161585631169265,-0.00267124868264029,0,0,0,0,0,0,0,0,0,0,0,-0.0034299866004748,0,0,0,-0.00543588256104046,0,-0.0342877699881758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031345436642008,0,0,0,0,0,0,0,0,0
"Bbx",0,0,0,0,0,-0.00729180533196579,0,0,-0.0127237607332927,0.930589045483623,-0.0289198744858193,0,-0.00121811310858532,-0.00473207424045035,0,0,-0.00572550897497686,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109855275765533,0,-0.0160864889042724,0,0,0,-0.00994347707009122,-0.00536258106726722,-0.011137622475546,-0.026369119412177,0,0,0,-0.0396838749083344,0,0,0,-0.0222391846586484,0,0,0,0,-0.00698075189315859,0,-0.0174283794069717,-0.0166683292634379,-0.00308020271552868,-0.0282535796598071,-0.0120317767738402,0,-0.00575507048351503,0,-0.00800719215508154,-0.0121087568262198,0,0,0,0,0,0,0,0,0,-0.0167421745212387,0,0,0,0,-0.016928533089095,0,0,0,0,-0.00846659001553626,-0.00522265753481045,0,-0.00472036865217876,0,0,0,0,-0.0139278257943488,0,0,0,0,0,-0.0169737618200421,0,-0.00831969207482053,-0.00354333689837663,-0.00703657015247976,-0.0109189247896023,-0.00384359060853603,0,-0.0196037960639541,-0.0202042548848176,-0.00967078824513884,-0.0126934398779192,0,-0.0133721038039072,0,0,0,0,0,0,0,-0.00371073150408299,0,-0.0127642141902975,0,0,-0.0074876445524308,-0.00699534737802131,0,-0.0285630206535893,-0.000749395958522521,0,-0.0316544149887235,0,0,0,0,-0.00224426285525746,0,0,0,-0.00731739909386819,0,0,0,0,0,0,0,-0.0133513165273714,0,0,-0.00350638845819183,-0.0121325869645502,-0.00852986167976896,0,0,-0.000288429403914488,0,0,0,0,0
