"","row","col","corr"
"2","Ahr","Arnt",0.0292972508691746
"6","Arnt","Arntl",0.2880293147214
"20","Atf1","Atf7",0.0258842533210582
"21","Atf2","Atf7",0.520738135309766
"23","Arid3a","Batf",0.0252174873706214
"30","Arid3a","Bbx",0.0830651068530248
"34","Atf2","Bbx",0.000777507175772909
"45","Bbx","Bcl6",0.0119424116662934
"48","Arnt","Bhlhe40",0.218679720911071
"49","Arntl","Bhlhe40",0.03133408072375
"59","Arntl","Bhlhe41",0.0584480893132105
"66","Bhlhe40","Bhlhe41",0.350292653393623
"75","Bbx","Cbfb",0.0150352019227154
"88","Bcl6","Cebpb",0.00120153722112187
"96","Atf1","Creb1",0.333525406984961
"97","Atf2","Creb1",0.0697095581584201
"98","Atf7","Creb1",0.12045918232102
"110","Atf1","Crem",0.219156370076557
"111","Atf2","Crem",0.181325098813167
"112","Atf7","Crem",0.2204951617951
"120","Creb1","Crem",0.195826897086916
"122","Arid3a","Ctcf",0.0481111513164724
"123","Arnt","Ctcf",0.00254755719323716
"129","Bbx","Ctcf",0.0425132104577315
"130","Bcl6","Ctcf",0.00981468071095785
"133","Cbfb","Ctcf",0.000382208691990523
"134","Cebpb","Ctcf",0.0230272198476559
"138","Arid3a","Ddit3",0.0144373381688658
"142","Atf2","Ddit3",0.0273218865063649
"145","Bbx","Ddit3",0.0184993369846739
"146","Bcl6","Ddit3",0.0189821756422323
"149","Cbfb","Ddit3",0.00373117760002308
"155","Arid3a","Dmrt2",0.0482661616175786
"162","Bbx","Dmrt2",0.0221371876390074
"205","Creb1","E2f3",0.0158781562917666
"210","E2f1","E2f3",0.0562392816324348
"230","E2f1","E2f4",0.425600154667516
"231","E2f3","E2f4",0.0230906376432168
"251","E2f1","E2f6",0.104009595067281
"252","E2f3","E2f6",0.384559133906445
"254","Ahr","Egr1",0.00436552629553044
"256","Arnt","Egr1",0.00283618547615633
"258","Atf1","Egr1",0.0104988406088552
"268","Creb1","Egr1",6.13567689925514e-06
"275","E2f4","Egr1",0.0229659809774626
"293","Ctcf","Egr2",0.00877300655196433
"296","E2f1","Egr2",0.00649816023259546
"298","E2f4","Egr2",0.0113957828992424
"299","E2f6","Egr2",0.00984739160187281
"300","Egr1","Egr2",0.53316154730758
"303","Arnt","Elf1",0.00547224127286347
"305","Atf1","Elf1",0.00165139614789697
"321","E2f3","Elf1",0.00497381638263839
"324","Egr1","Elf1",0.00627537891660872
"325","Egr2","Elf1",0.00451394048415999
"343","Ddit3","Elf2",0.011284496864726
"350","Egr2","Elf2",0.00086273738533972
"351","Elf1","Elf2",0.135354634254259
"377","Elf1","Elf4",0.115204378002707
"378","Elf2","Elf4",0.26036037784368
"383","Atf1","Elk1",0.00244831487372626
"404","Elf1","Elk1",0.090359326059849
"405","Elf2","Elk1",0.0540951245189842
"406","Elf4","Elk1",0.105172983917439
"434","Elf4","Elk3",0.097250437854753
"435","Elk1","Elk3",0.211630292586175
"436","Ahr","Elk4",0.000832867904092458
"456","E2f3","Elk4",0.0030299466858911
"460","Egr2","Elk4",0.00104130346008178
"461","Elf1","Elk4",0.108228860596559
"462","Elf2","Elk4",0.0543865723842537
"464","Elk1","Elk4",0.0955828501201401
"465","Elk3","Elk4",0.0752163647815704
"473","Batf","Eomes",0.000800258231391166
"474","Bbx","Eomes",0.00249308404368316
"478","Cbfb","Eomes",0.0227956826665956
"522","Elf1","Ets1",0.075215226253812
"523","Elf2","Ets1",0.0256750949731459
"525","Elk1","Ets1",0.0162996442035563
"527","Elk4","Ets1",0.178215028915758
"530","Arid3a","Ets2",0.00112540839259476
"538","Bcl6","Ets2",0.0480631500177123
"546","Ddit3","Ets2",0.00155006181687118
"555","Elf2","Ets2",0.0416620106513704
"561","Ets1","Ets2",0.0483918445982256
"589","Elf4","Etv3",0.157480423603983
"590","Elk1","Etv3",0.00153736861535646
"591","Elk3","Etv3",0.103798023365699
"592","Elk4","Etv3",0.0265189693948849
"594","Ets1","Etv3",0.0436528113144934
"623","Elf4","Etv5",0.0818757474385527
"624","Elk1","Etv5",0.122717346800486
"625","Elk3","Etv5",0.411204795812529
"626","Elk4","Etv5",0.0543661226809452
"630","Etv3","Etv5",0.190029859787194
"647","Ctcf","Etv6",0.00367788819341531
"648","Ddit3","Etv6",0.00305240089260926
"656","Elf1","Etv6",0.0143320600427049
"657","Elf2","Etv6",0.249175585510301
"658","Elf4","Etv6",0.00320318384892601
"659","Elk1","Etv6",0.0352869649310781
"662","Eomes","Etv6",0.00963641169361426
"663","Ets1","Etv6",0.225014981111136
"665","Etv3","Etv6",0.0337132648405211
"669","Arnt","Fli1",0.00140275009203437
"681","Creb1","Fli1",0.00518877284742436
"691","Egr2","Fli1",0.00249451904718363
"692","Elf1","Fli1",0.0717817890664166
"693","Elf2","Fli1",0.0107463979835076
"695","Elk1","Fli1",0.103953504715074
"696","Elk3","Fli1",0.0415707601891291
"697","Elk4","Fli1",0.224968269347555
"699","Ets1","Fli1",0.243854107971248
"701","Etv3","Fli1",0.0843854020426041
"702","Etv5","Fli1",0.00316601896961301
"703","Etv6","Fli1",0.024961413582227
"711","Batf","Fos",0.282892539645512
