"","Ahr","Arid3a","Arnt","Arntl","Atf1","Atf2","Atf7","Batf","Bbx","Bcl6","Bhlhe40","Bhlhe41","Cbfb","Cebpb","Creb1","Crem","Ctcf","Ddit3","Dmrt2","E2f1","E2f3","E2f4","E2f6","Egr1","Egr2","Elf1","Elf2","Elf4","Elk1","Elk3","Elk4","Eomes","Ets1","Ets2","Etv3","Etv5","Etv6","Fli1","Fos","Foxd2","Foxj2","Foxj3","Foxn3","Foxo1","Foxp1","Gabpa","Gata3","Gfi1","Heyl","Hic1","Hinfp","Hmg20b","Homez","Ikzf1","Ikzf3","Irf1","Irf2","Irf3","Irf4","Irf7","Irf8","Irf9","Isl2","Jdp2","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf6","Klf7","Klf8","Klf9","Mafk","Max","Maz","Mbd2","Mecp2","Meis3","Meox2","Mlx","Mxd1","Nfatc1","Nfe2l1","Nfe2l2","Nfil3","Nfkb1","Nfkb2","Nfya","Nfyb","Nfyc","Nr1d2","Nr3c1","Nr4a2","Nrf1","Patz1","Pax9","Pbx3","Pknox1","Prdm1","Prdm16","Prdm4","Rbak","Rela","Rfx1","Rfx7","Rora","Runx1","Runx2","Runx3","Rxrb","Setbp1","Smad3","Smad4","Snai3","Sp1","Sp110","Sp2","Sp3","Sp4","Spi1","Srebf1","Srebf2","Stat1","Stat2","Stat3","Stat4","Stat5b","Stat6","Taf1","Tbx21","Tcf12","Tcf3","Tef","Tfdp1","Tfe3","Tfeb","Thap11","Thrb","Tigd2","Trp53","Usf1","Vax2","Xbp1","Zbtb14","Zbtb17","Zbtb20","Zbtb3","Zbtb49","Zfp143","Zfp212","Zfp213","Zfp260","Zfp263","Zfp281","Zfp287","Zfp324","Zfp335","Zfp398","Zfp410","Zfp422","Zfp523","Zfp566","Zfp64","Zfp740","Zfp768","Zfx","Zscan20"
"Tcf12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654212972582146,0.00138172811742595,0,0,0,0,0,0,0.00197830321125125,0,0.00526143231404827,0,0,0,0,0.00353045685209486,0.0115836716737607,0,0,0,3.64799802865708e-05,0,0,0,0,0,0,0.0269787605729729,0,0,0.00587907384695194,0,0,0.0214106626276767,0,0,0,0.00169501667980236,0.0141538864902757,0,0,0,0,0,0,0,0,0,0.00345945930110575,0.0120757918347779,0,0.0079785611255575,0,0,9.03110760165199e-05,0.00115090149654811,0,0,0,0.0111405234660614,0.00414515395188942,0,0,0,0.0198556415156344,0,0,0.024023951689042,0.0151170600309547,0,0.0100163586891032,0.00792519988891428,2.20185205954954e-06,0.0134698415332134,0,0,0,0.00460783495911525,0.00921983401661212,0,0,0.00585127153226472,0,0,0.0300155225415433,0,0.0190708709628839,0,0.00124884726235864,0.00250077312219206,0.00868209345250155,0,0.00388703334356434,0,0,0.00127002686105326,0.0193213352979525,0,0.0572510812136518,0.0183780324895892,0.0477150236560945,0,0.00731529889985867,0,0,0,0,0,0.0138712916249361,0,0,0,0,0,0,0,0.0441585948450322,1,0.446223585334121,0,0,0,0,0,0.00568087354501635,0,0.0257901479758782,0,0,0,0,0,0,0.0130489472867985,0,0.00383402396506044,0,0,0.00421626592330456,0.00628033416849864,0.0273482474947045,0,0,0.0199627604248613,0.0124828345328987,0,0,0.00453248266680649,0,0,0,0.0108029302931175,0,0.0164635590088682
"Tcf3",0,0,0,0,0,0,0,0,0,0,0,0,0.0086876756234327,0.0096407742609129,0,0,0.0295957062919077,0.00067157278425174,0,0,0,0,0,0,0,0,0.0137653428101945,0,0,0,0,0.0159959654963885,0,0.00777222736576906,0,0,0.00698772934269464,0,0,0,0,0,0.00277314087103864,0,0,0,0.00602209748309332,0,0,0,0,0,0,0,0,0,0.00126682703602002,0,0,0,0,0,0,0.00857597102397735,0.00596542091426204,0,0,0.0100078270459457,0,0,0,0,0,0.00103938770222499,0,0,0,0,0,0,0.0259506443359471,0,0,0,0,0,0.0158820887353706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157535995986542,0,0.0116963440692083,0,0.00400864682038074,0.00632115241536166,0,0,0,0.000293288284997039,0.00201072599475388,0.0118726213148331,0.0173579840535276,0,0.0212287348019784,0.0162593478475652,0.289960416410038,0,0,0,0,0,0.0108032179161336,0,0,0,0,0.0130209034026648,0,0,0.0141760459436589,0,0.0209987165281795,0.446216485978329,1,0,0,0,0,0,0.00736413542329485,0,0,0,0,0,0,0,0,0.0198002915082726,0,0,0,0,0.0058435183205651,0,0,0,0,0.0210859629627547,0,0,0,0,0,0,0,0.00784174124894523,0,0
"Tef",0,0,0,0,0.0115375306296384,0,0.0154522809156937,0,0,0,0,0,0,0.0196712524101661,0,0.0102357580679378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111001537103051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436134193618424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfdp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045421820737444,0.263305298753089,0.0246776087919873,0.146392426502923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429560431352597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfe3",0,0,0,0.0870135184506302,0,0,0,0,0,0,0.0265279536933668,0.011785465670874,0,0,0.0017644847741272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113430453485283,0,0,0.0240801044544664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792598595975445,0,0.0120251122497269,0,0,0,0.0297030015344415,0,0,0,0,0,0,0,0,0,0,0.112339546384058,0,0,0,0,0,0,0,0.00891429524585655,0,0,0,0,0,1,0.364512648330739,0,0,0,0.000737837757322837,0.352580472401977,0,0.0588348121885416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfeb",0,0,0,0.128076771475805,0,0,0,0,0,0,0.0468272257447063,0.151229539147938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155313171684016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532955820492403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364507967996025,1,0,0,0,0,0.092411305477762,0,0.0671739624454195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thap11",0,0,0,0,0.00229050913557219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000587521774541448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321059673051007,0,0,0.00540854375309308,0,0,0,0,0,0,0,0.0150254524043779,0,0,0,0,0,0,0,0,0,0.00194212460111532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139148614058658,0.000565940076905496,0,0,0,0,0,0,0,0,0,0,0.00946735585551737,0,0,0,0.00177944191375215,0,0.00417808529082739,0,0,0,0.00314330727365002,0,0,0,0,0,0,0,0,0.0351772765329727,0.00218294314925527,0.00947768933612757,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.665266211122704,0,0,0,0,0.00157233070367624,0,0,0,0,0.0117351934334055,0,0.158144032663829,0,0,0,0,0.00722435449683041,0
"Thrb",0,0,0,0,0,0.0335152264371579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588676975537385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534194278860752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621782383968634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161361333923361,0,0,0,0,0,0,0,0,0.0114514473734853,0,0.00277728522437486,0,0,0,0,0,0,0,0.0538281149444437,0,0,0,0,0,0,0,0,0,0,0,0.0174129315346375,0,0,0,0,0,0,0,0,0.00568123668936301,0.00736512277516958,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tigd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663332578604721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00180596019162807,0,0,0,0,0,0,0,0,0.00552377449679101,0,0,0,0,0,0,0,0,0,0,0,0.00183750937356221,0
"Trp53",0,0.0161606673141996,0.0142620745010022,0,0,0,0,0.00558505624054471,0.0282976941190363,0.00342330154259427,0,0,0.01876415608487,0,0,0,0.0161135977802012,0,0,0,0,0,0,0,0,0,0.00775402181434515,0,0,0,0,0,0.0125570820442956,0.00279198994838809,0,0,0.0062679715250622,0,0,0,0,0.0201799798989227,0.0324455716730932,0,0,0,0.0158378646363869,0,0.00336107289548551,0.016022902523761,0,0,0,0,0.00610094164476892,0,0,0,0.00754373243151837,0,0,0,0,0.0226092988121883,0,0.0159623354060483,0.00252930582901913,0,0,0,0,0.0020613200711794,0,0.00121818654358146,0,0,0,0,0.00207827372707125,0.0105639817283586,0.0185460618282212,0,0,0,0,0,0.0141705169778346,0,0,0,0,0,0,0.00471445806426899,0.00726074205779222,0,0,0,0,0,0.00174169912819853,0,0.000119143019907525,0,0,0,0,0,0.0300875254126402,0.00888380926984009,0.0073872526517863,0,0,0,0.0308559145832415,0.0140825502465517,0,0,0,0,0,0,0.0185842781401187,0.00168511024719399,0,0,0,0.00765472214242903,0.000868287948367886,0,0,0,0.00194491810564382,0.0257896901197426,0,0,0,0.000749240726664631,0,0,0,0,1,0,0,0.00621196769951865,0,0,0,0.0193162675238043,0,0.00579935072593032,0.00746987378357584,0,0.00282281292441661,0,0,0,0,0.00810631895140842,0,0,0,0,0,0,0,0,0.000333506905486946,0
