"","row","col","corr"
"1","Ahr","Arnt",0.00349845251312279
"3","Arnt","Arntl",0.27548226920268
"10","Atf1","Atf2",0.0264688248968344
"14","Atf1","Atf3",0.0568181261259835
"15","Atf2","Atf3",0.0196892605873484
"25","Atf1","Atf7",0.0811791383727617
"26","Atf2","Atf7",0.521512255152124
"27","Atf3","Atf7",0.027892493096782
"34","Atf3","Batf",0.00194025339839546
"42","Atf3","Bbx",0.00612199440673499
"45","Batf","Bbx",0.0104104559404796
"50","Atf2","Bcl6",0.000796943061039646
"52","Atf4","Bcl6",0.00710066001617854
"55","Bbx","Bcl6",0.0250799118852164
"57","Arnt","Bhlhe40",0.1612916963794
"58","Arntl","Bhlhe40",0.100404096411854
"75","Batf","Cbfb",0.0040243937324026
"76","Bbx","Cbfb",0.00110556381984685
"87","Batf","Cdx1",0.014162706350655
"88","Bbx","Cdx1",0.00523020180213441
"95","Atf1","Creb1",0.336827004690272
"96","Atf2","Creb1",0.113572887843544
"97","Atf3","Creb1",0.0506884736030527
"99","Atf7","Creb1",0.167661302532772
"109","Atf1","Crem",0.170198512129844
"110","Atf2","Crem",0.145205899032733
"111","Atf3","Crem",0.0670755427759196
"113","Atf7","Crem",0.218294490223648
"120","Creb1","Crem",0.188648752965034
"130","Bbx","Ctcf",0.00598266876507799
"131","Bcl6","Ctcf",0.00383307935595387
"133","Cbfb","Ctcf",0.0159519081429941
"141","Atf2","Ddit3",0.021472951190939
"143","Atf4","Ddit3",0.472973359199747
"157","Atf1","E2f1",0.000638562882400677
"168","Creb1","E2f1",0.00347373442753744
"186","Creb1","E2f3",0.00129561173491366
"190","E2f1","E2f3",0.0713926537056482
"194","Atf1","E2f4",0.00256373856219828
"205","Creb1","E2f4",0.0019703095925742
"209","E2f1","E2f4",0.312153145045753
"210","E2f3","E2f4",0.0383584084359013
"214","Atf1","Egr1",0.00483916254289939
"226","Crem","Egr1",0.0154288513926622
"229","E2f1","Egr1",0.0308041876614613
"237","Atf3","Egr2",0.000445146316396377
"247","Crem","Egr2",0.0112077240574376
"250","E2f1","Egr2",0.018925778360995
"253","Egr1","Egr2",0.468035263706072
"254","Ahr","Elf1",0.00255545094274566
"255","Arnt","Elf1",0.00115796004722152
"257","Atf1","Elf1",0.0133169013149535
"273","E2f3","Elf1",0.0206598619804816
