"","row","col","corr"
"1","Ahr","Arnt",0.0473875435507635
"3","Arnt","Arntl",0.986641870985245
"14","Atf1","Atf3",0.124513681062024
"15","Atf2","Atf3",0.0225000879175184
"19","Atf1","Atf4",0.00242401856825879
"25","Atf1","Atf7",0.156829812718802
"26","Atf2","Atf7",2.40236546992576
"27","Atf3","Atf7",0.0521113085821344
"32","Atf1","Batf",0.00500371093288019
"41","Atf2","Bbx",0.005753370564721
"42","Atf3","Bbx",0.00225657719803893
"45","Batf","Bbx",0.0147594288043055
"52","Atf4","Bcl6",0.00742391963862321
"55","Bbx","Bcl6",0.0267853534728957
"57","Arnt","Bhlhe40",0.41677206160195
"58","Arntl","Bhlhe40",0.207540114627438
"75","Batf","Cbfb",0.0091700567389137
"76","Bbx","Cbfb",0.00799322628950513
"87","Batf","Cdx1",0.0357083098461149
"88","Bbx","Cdx1",0.0310120651694561
"95","Atf1","Creb1",0.900363028616708
"96","Atf2","Creb1",0.222579992902519
"97","Atf3","Creb1",0.142010743644096
"99","Atf7","Creb1",0.526655724342648
"109","Atf1","Crem",0.377297304795456
"110","Atf2","Crem",0.286450315445923
"111","Atf3","Crem",0.152661515911085
"113","Atf7","Crem",0.69407220802203
"120","Creb1","Crem",0.457304754525045
"130","Bbx","Ctcf",0.0101027762747884
"133","Cbfb","Ctcf",0.0383751215128279
"141","Atf2","Ddit3",0.0643632267886599
"143","Atf4","Ddit3",0.919335793208159
"145","Batf","Ddit3",0.00154381291112749
"146","Bbx","Ddit3",0.0120112242715218
"186","Creb1","E2f3",0.00931557460963157
"190","E2f1","E2f3",0.191839459737281
"194","Atf1","E2f4",0.00138094132985715
"199","Batf","E2f4",0.0180650348213325
"209","E2f1","E2f4",1.57787730571887
"210","E2f3","E2f4",0.0592158679620908
"226","Crem","Egr1",0.0395978321295806
"229","E2f1","Egr1",0.102369862769594
"232","Ahr","Egr2",0.0124354796122138
"238","Atf4","Egr2",0.00239342104359436
"247","Crem","Egr2",0.0224125723548462
"250","E2f1","Egr2",0.0157263412407162
"253","Egr1","Egr2",2.13867375512696
"254","Ahr","Elf1",0.0382697072160353
"257","Atf1","Elf1",0.0327987601725672
"273","E2f3","Elf1",0.0456883454273179
"278","Arnt","Elf2",0.0169437483993073
"283","Atf4","Elf2",0.0164017851192029
"287","Bcl6","Elf2",0.00738296252420859
"293","Ctcf","Elf2",0.0528203581285162
"300","Elf1","Elf2",0.357882640735665
"324","Elf1","Elf4",0.204037119337052
"325","Elf2","Elf4",0.555839244802366
"349","Elf1","Elk1",0.190701834217354
"350","Elf2","Elk1",0.193209475173932
"351","Elf4","Elk1",0.331189031310123
"377","Elf4","Elk3",0.335904285211702
"378","Elk1","Elk3",1.18376517767786
"398","E2f3","Elk4",0.00187680227927488
"402","Elf1","Elk4",0.289814519251854
"403","Elf2","Elk4",0.172410108366084
"405","Elk1","Elk4",0.370083267037982
"406","Elk3","Elk4",0.281053760374988
"413","Atf4","Ets1",0.00153752424782153
"416","Bbx","Ets1",0.00146496775614506
"417","Bcl6","Ets1",0.000524756950734431
"423","Ctcf","Ets1",0.0190496272758505
"424","Ddit3","Ets1",0.00130603116634825
"430","Elf1","Ets1",0.174490045407674
"431","Elf2","Ets1",0.0871675770493175
"435","Elk4","Ets1",0.703296624853266
"461","Elf4","Etv3",0.384271095410847
"462","Elk1","Etv3",0.0666264212672461
"463","Elk3","Etv3",0.519054357123768
"464","Elk4","Etv3",0.0753907363262554
"465","Ets1","Etv3",0.0450470195019507
"475","Bbx","Etv6",0.0145257821813705
"476","Bcl6","Etv6",0.0036068361407575
"478","Cbfb","Etv6",0.0370902052019329
"479","Cdx1","Etv6",0.00154973398821495
"482","Ctcf","Etv6",0.0162297426259111
"489","Elf1","Etv6",0.00737234491957132
"490","Elf2","Etv6",0.606938481301528
"491","Elf4","Etv6",0.00804985521530804
"492","Elk1","Etv6",0.0781900377557631
"495","Ets1","Etv6",0.764491433784396
"496","Etv3","Etv6",0.0769622664216442
"497","Ahr","Fli1",0.00507030584801612
"500","Atf1","Fli1",0.00427224260990675
"511","Creb1","Fli1",0.0109042740037248
"518","Egr1","Fli1",0.0118990459733848
"519","Egr2","Fli1",0.021219297230647
"520","Elf1","Fli1",0.270221145700939
"523","Elk1","Fli1",0.317503707350269
"524","Elk3","Fli1",0.099635067429505
"525","Elk4","Fli1",0.953128858669806
"526","Ets1","Fli1",0.745111906577655
"527","Etv3","Fli1",0.347087273072696
"532","Atf1","Fos",0.011294298724099
"537","Batf","Fos",0.40494044089163
"543","Creb1","Fos",0.022551183473867
"549","E2f4","Fos",0.0171889433336188
"565","Atf1","Fosb",0.0175189575819727
"570","Batf","Fosb",0.617589746800373
"575","Cdx1","Fosb",0.00301686952357514
"576","Creb1","Fosb",0.0473454732755003
"595","Fos","Fosb",2.04807084533289
"601","Atf3","Fosl2",1.26797873854523
"604","Batf","Fosl2",0.226925209503403
"605","Bbx","Fosl2",0.000262619889998415
"629","Fos","Fosl2",0.747222532555703
"630","Fosb","Fosl2",0.648561421164418
"635","Atf2","Foxj3",0.00691154235249792
"639","Batf","Foxj3",0.0168931294410488
"644","Cdx1","Foxj3",0.0376025411595034
"648","Ddit3","Foxj3",0.0102980540112581
"662","Etv6","Foxj3",0.00509754246849059
"667","Ahr","Foxn3",0.002989128510683
"668","Arnt","Foxn3",0.00486552722846408
"670","Atf1","Foxn3",0.00684735153950023
"671","Atf2","Foxn3",0.00792230227548887
"676","Bbx","Foxn3",9.12962173962409e-05
"680","Cdx1","Foxn3",0.0207249650119129
"684","Ddit3","Foxn3",0.00197214625767503
"689","Egr2","Foxn3",0.0402228595030016
"696","Ets1","Foxn3",0.00314225414614489
"698","Etv6","Foxn3",0.00755745956495007
"703","Foxj3","Foxn3",0.260449446128319
"712","Batf","Foxo1",0.02859287781159
"713","Bbx","Foxo1",0.044426246623381
"714","Bcl6","Foxo1",0.00479082244882104
"733","Ets1","Foxo1",0.0120493876692685
"735","Etv6","Foxo1",0.045800460966357
"740","Foxj3","Foxo1",0.109335204573825
"741","Foxn3","Foxo1",0.167450296759167
"778","Foxj3","Foxo3",0.270464540738316
"779","Foxn3","Foxo3",0.34652479044746
"780","Foxo1","Foxo3",0.843136740544977
"817","Foxj3","Foxp1",0.0622859848248866
"818","Foxn3","Foxp1",0.353674533865277
"819","Foxo1","Foxp1",0.314848406650398
"820","Foxo3","Foxp1",1.30654713012098
"822","Arnt","Gabpa",0.0236388671012719
"844","Elf1","Gabpa",0.623388392326029
"845","Elf2","Gabpa",0.017947458725917
"846","Elf4","Gabpa",0.0953621904237449
"847","Elk1","Gabpa",1.32256166401206
"848","Elk3","Gabpa",0.406608962562999
"849","Elk4","Gabpa",0.555348365971687
"850","Ets1","Gabpa",0.34627282810903
"851","Etv3","Gabpa",0.211714260704505
"852","Etv6","Gabpa",0.0778064498081441
"853","Fli1","Gabpa",0.886367743092415
"871","Bbx","Gata3",0.0522078836804832
"872","Bcl6","Gata3",0.0404013537081005
"875","Cdx1","Gata3",0.0303158911361899
"878","Ctcf","Gata3",0.00461293441441001
"879","Ddit3","Gata3",0.0561748356548835
"893","Etv6","Gata3",0.039072019762686
"898","Foxj3","Gata3",0.0128620882582735
"899","Foxn3","Gata3",0.0523285193348113
"900","Foxo1","Gata3",0.0184340590895903
"905","Arnt","Gfi1",0.00546184726578218
"907","Atf1","Gfi1",0.0163806143216574
"913","Bbx","Gfi1",0.0170945050408451
"914","Bcl6","Gfi1",0.00390190477959598
"917","Cdx1","Gfi1",0.0112283027373261
"920","Ctcf","Gfi1",0.00348537751892012
"928","Elf2","Gfi1",0.00075986702813664
"933","Ets1","Gfi1",0.000812030944454748
"940","Foxj3","Gfi1",0.0244843234310539
"946","Gata3","Gfi1",0.0207639785907544
"948","Arnt","Glis3",0.00819328242101029
"950","Atf1","Glis3",0.0239602376438975
"951","Atf2","Glis3",0.00545465798023233
"953","Atf4","Glis3",0.00994286044470305
"954","Atf7","Glis3",0.00376018116751425
"955","Batf","Glis3",0.0113974505645017
"956","Bbx","Glis3",0.00903339689941171
"957","Bcl6","Glis3",0.010175005740588
"963","Ctcf","Glis3",0.00943345688013642
"966","E2f3","Glis3",0.0143041665557549
"971","Elf2","Glis3",0.0278081575209373
"984","Foxn3","Glis3",0.00692976551726749
"985","Foxo1","Glis3",0.00641448315622216
"990","Gfi1","Glis3",0.00299099890124853
"994","Atf1","Gmeb1",0.198507517147758
"997","Atf4","Gmeb1",0.0364162698545513
"1004","Cdx1","Gmeb1",0.00673961943909528
"1009","E2f1","Gmeb1",0.0164645256493345
"1019","Elk4","Gmeb1",0.00383796706736811
"1023","Fli1","Gmeb1",0.0330371366780882
"1032","Gabpa","Gmeb1",0.00749917671970884
"1040","Atf2","Hic1",0.012422955370698
"1045","Bbx","Hic1",0.0336417647616958
"1046","Bcl6","Hic1",0.00442895371607709
"1048","Cbfb","Hic1",0.00184137675561759
"1049","Cdx1","Hic1",0.00564658895959886
"1052","Ctcf","Hic1",0.140221672199654
"1055","E2f3","Hic1",0.0124093998921896
"1060","Elf2","Hic1",0.0209522125235912
"1065","Ets1","Hic1",0.0107048395467619
"1072","Foxj3","Hic1",0.020677553077915
"1073","Foxn3","Hic1",0.00584560685296584
"1078","Gata3","Hic1",0.0360940189062411
"1079","Gfi1","Hic1",0.0143601664263166
"1080","Glis3","Hic1",0.0143462967076454
"1090","Batf","Hlx",6.84850218192245e-05
"1092","Bcl6","Hlx",0.00300519361678304
"1095","Cdx1","Hlx",0.0160162323901791
"1118","Foxj3","Hlx",0.00567765749529653
"1119","Foxn3","Hlx",0.0110812562616118
"1128","Hic1","Hlx",0.00790826924029812
"1137","Batf","Hmg20b",0.0217458915399153
"1138","Bbx","Hmg20b",0.000593454421333866
"1142","Cdx1","Hmg20b",0.0181668757015819
"1160","Etv6","Hmg20b",0.0032312469383663
"1165","Foxj3","Hmg20b",0.016649602759499
"1166","Foxn3","Hmg20b",0.0113684380218461
"1171","Gata3","Hmg20b",0.0182345562155464
"1176","Hlx","Hmg20b",0.0035249588136525
"1192","Crem","Homez",0.000127963634685185
"1214","Foxn3","Homez",0.00344676449440936
"1217","Foxp1","Homez",0.0246210360843665
"1219","Gata3","Homez",0.00290114585075025
"1231","Atf3","Hsf2",0.022096015647284
"1235","Bbx","Hsf2",0.0290252800579934
"1236","Bcl6","Hsf2",0.00361523962734036
"1238","Cbfb","Hsf2",0.0172552777699106
"1255","Ets1","Hsf2",0.0132849305355942
"1257","Etv6","Hsf2",0.0236376601171576
"1263","Foxn3","Hsf2",0.0200409241050464
"1264","Foxo1","Hsf2",0.00211733852570469
"1272","Hic1","Hsf2",0.0054170301736294
"1275","Homez","Hsf2",0.00930550819380249
"1285","Bbx","Ikzf1",0.0299650784516163
"1286","Bcl6","Ikzf1",0.00243384630281162
"1292","Ctcf","Ikzf1",0.00122107751573381
"1300","Elf2","Ikzf1",0.0098763084535235
"1305","Ets1","Ikzf1",0.00417486034091549
"1307","Etv6","Ikzf1",0.00944150383807189
"1312","Foxj3","Ikzf1",0.0185889999817356
"1313","Foxn3","Ikzf1",0.0183116163611204
"1321","Gmeb1","Ikzf1",0.0140668470236015
"1322","Hic1","Ikzf1",0.0102780640523614
"1326","Hsf2","Ikzf1",0.0209089919851105
"1327","Ahr","Ikzf3",0.0205261155085027
