"name","cluster","group"
"Creb1",1,"Housekeeping"
"Pknox1",1,"Housekeeping"
"Stat3",1,"Housekeeping"
"Fli1",1,"Housekeeping"
"Trp53",1,"Housekeeping"
"Klf13",1,"Housekeeping"
"Nfyc",1,"Housekeeping"
"Sp110",3,"Housekeeping"
"Rela",3,"Housekeeping"
"Patz1",3,"Housekeeping"
"Zfx",3,"Housekeeping"
"E2f4",3,"Housekeeping"
"Tcf3",3,"Housekeeping"
"Sp2",3,"Housekeeping"
"Klf3",3,"Housekeeping"
"Sp3",3,"Housekeeping"
"Nfyb",3,"Housekeeping"
"Zbtb17",3,"Housekeeping"
"Ikzf3",3,"Housekeeping"
"Ikzf1",3,"Housekeeping"
"Tcf12",3,"Housekeeping"
"Zfp281",3,"Housekeeping"
"Mbd2",3,"Housekeeping"
"Rfx1",3,"Housekeeping"
"Zfp260",3,"Housekeeping"
"Ctcf",3,"Housekeeping"
"Sp4",3,"Housekeeping"
"Zfp740",3,"Housekeeping"
"Nrf1",3,"Housekeeping"
"Klf10",3,"Housekeeping"
"Maz",3,"Housekeeping"
"Stat6",4,"Housekeeping"
"Etv6",4,"Housekeeping"
"Irf3",4,"Housekeeping"
"Stat4",4,"Housekeeping"
"Gata3",4,"Housekeeping"
"Irf1",4,"Housekeeping"
"Foxj3",4,"Housekeeping"
"Stat2",4,"Housekeeping"
"Zfp287",4,"Housekeeping"
"Runx3",4,"Housekeeping"
"Irf2",4,"Housekeeping"
"Foxn3",4,"Housekeeping"
"Bcl6",4,"Housekeeping"
"Runx1",4,"Housekeeping"
"Stat1",4,"Housekeeping"
"Runx2",4,"Housekeeping"
"Elf1",5,"Housekeeping"
"Elf2",5,"Housekeeping"
"Ets1",5,"Housekeeping"
"Gabpa",5,"Housekeeping"
"Elf4",5,"Housekeeping"
"Elk4",5,"Housekeeping"
"Elk3",5,"Housekeeping"
"Klf7",1,"TRM important"
"Tgif1",1,"TRM important"
"Myc",1,"TRM important"
"Thap11",1,"TRM important"
"Atf2",1,"TRM important"
"Atf7",1,"TRM important"
"Atf1",1,"TRM important"
"Nfkb2",1,"TRM important"
"Wt1",1,"TRM important"
"Relb",1,"TRM important"
"Klf5",1,"TRM important"
"Tlx2",2,"TRM important"
"Phox2b",2,"TRM important"
"Sp1",3,"TRM important"
"Zfp566",3,"TRM important"
"Klf2",3,"TRM important"
"Srebf2",3,"TRM important"
"Nfya",3,"TRM important"
"Mecp2",3,"TRM important"
"Zfp64",3,"TRM important"
"Taf1",3,"TRM important"
"Nfkb1",3,"TRM important"
"Zfp398",3,"TRM important"
"Zfp335",3,"TRM important"
"Zfp143",3,"TRM important"
"Smad3",3,"TRM important"
"Tfdp1",3,"TRM important"
"Klf8",3,"TRM important"
"Zfp263",3,"TRM important"
"Tbx21",4,"TRM important"
"Batf",4,"TRM important"
"Irf7",4,"TRM important"
"Cdx1",4,"TRM important"
"Tcf7",4,"TRM important"
"Meis3",4,"TRM important"
"Irf8",4,"TRM important"
"Nfe2l2",4,"TRM important"
"Zfp212",4,"TRM important"
"Mafk",4,"TRM important"
"Bbx",4,"TRM important"
"Zfp422",4,"TRM important"
"Rora",4,"TRM important"
"Cbfb",4,"TRM important"
"Foxo1",4,"TRM important"
"Nfatc1",4,"TRM important"
"Jund",4,"TRM important"
"Foxp1",4,"TRM important"
"Mlx",5,"TRM important"
"Usf1",5,"TRM important"
"Srebf1",5,"TRM important"
"Arnt",5,"TRM important"
"Elk1",5,"TRM important"
"Usf2",5,"TRM important"
"Tfe3",5,"TRM important"
"Arntl",5,"TRM important"
"Snai3",1,"TRM_Tex"
"Xbp1",1,"TRM_Tex"
"Egr1",1,"TRM_Tex"
"Crem",1,"TRM_Tex"
"Tef",1,"TRM_Tex"
"Egr2",1,"TRM_Tex"
"Thrb",1,"TRM_Tex"
"Ahr",1,"TRM_Tex"
"Mxd1",1,"TRM_Tex"
"Hic1",1,"TRM_Tex"
"Meox2",2,"TRM_Tex"
"Isl2",2,"TRM_Tex"
"Gfi1",3,"TRM_Tex"
"Zbtb3",3,"TRM_Tex"
"E2f1",3,"TRM_Tex"
"E2f3",3,"TRM_Tex"
"Nr4a2",4,"TRM_Tex"
"Nfil3",4,"TRM_Tex"
"Ddit3",4,"TRM_Tex"
"Jun",4,"TRM_Tex"
"Irf4",4,"TRM_Tex"
"Fos",4,"TRM_Tex"
"Prdm1",4,"TRM_Tex"
"Bhlhe40",5,"TRM_Tex"
"Max",5,"TRM_Tex"
"Etv3",5,"TRM_Tex"
"Setbp1",6,"TRM_Tex"
"Homez",7,"TRM_Tex"
"Tigd2",8,"TRM_Tex"
"Hmg20b",9,"TRM_Tex"
"Snai1",1,"TRM_specific"
"Gmeb1",1,"TRM_specific"
"Klf6",1,"TRM_specific"
"Klf4",1,"TRM_specific"
"Atf3",1,"TRM_specific"
"Pbx4",1,"TRM_specific"
"Hlx",2,"TRM_specific"
"Glis3",3,"TRM_specific"
"Zfp692",3,"TRM_specific"
"Zfp341",3,"TRM_specific"
"Junb",4,"TRM_specific"
"Nr4a1",4,"TRM_specific"
"Fosl2",4,"TRM_specific"
"Nr4a3",4,"TRM_specific"
"Rel",4,"TRM_specific"
"Nr1i3",4,"TRM_specific"
"Fosb",4,"TRM_specific"
"Foxo3",4,"TRM_specific"
"Hsf2",4,"TRM_specific"
"Atf4",4,"TRM_specific"
