"name","cluster","group"
"Rela",1,"Housekeeping"
"Tcf3",1,"Housekeeping"
"Trp53",1,"Housekeeping"
"Ikzf1",1,"Housekeeping"
"Tcf12",1,"Housekeeping"
"Ctcf",1,"Housekeeping"
"Stat6",2,"Housekeeping"
"Irf3",2,"Housekeeping"
"Stat4",2,"Housekeeping"
"Gata3",2,"Housekeeping"
"Irf1",2,"Housekeeping"
"Foxj3",2,"Housekeeping"
"Stat2",2,"Housekeeping"
"Zfp287",2,"Housekeeping"
"Runx3",2,"Housekeeping"
"Irf2",2,"Housekeeping"
"Foxn3",2,"Housekeeping"
"Bcl6",2,"Housekeeping"
"Runx1",2,"Housekeeping"
"Stat1",2,"Housekeeping"
"Runx2",2,"Housekeeping"
"Creb1",3,"Housekeeping"
"Sp110",4,"Housekeeping"
"Patz1",4,"Housekeeping"
"Zfx",4,"Housekeeping"
"Pknox1",4,"Housekeeping"
"E2f4",4,"Housekeeping"
"Sp2",4,"Housekeeping"
"Klf3",4,"Housekeeping"
"Sp3",4,"Housekeeping"
"Nfyb",4,"Housekeeping"
"Klf13",4,"Housekeeping"
"Zbtb17",4,"Housekeeping"
"Ikzf3",4,"Housekeeping"
"Nfyc",4,"Housekeeping"
"Zfp281",4,"Housekeeping"
"Mbd2",4,"Housekeeping"
"Rfx1",4,"Housekeeping"
"Zfp260",4,"Housekeeping"
"Sp4",4,"Housekeeping"
"Zfp740",4,"Housekeeping"
"Nrf1",4,"Housekeeping"
"Klf10",4,"Housekeeping"
"Maz",4,"Housekeeping"
"Elf1",5,"Housekeeping"
"Elf2",5,"Housekeeping"
"Etv6",5,"Housekeeping"
"Ets1",5,"Housekeeping"
"Stat3",5,"Housekeeping"
"Gabpa",5,"Housekeeping"
"Fli1",5,"Housekeeping"
"Elf4",5,"Housekeeping"
"Elk4",5,"Housekeeping"
"Elk3",5,"Housekeeping"
"Tgif1",1,"TRM important"
"Phox2b",1,"TRM important"
"Nfkb2",1,"TRM important"
"Nfkb1",1,"TRM important"
"Rora",1,"TRM important"
"Smad3",1,"TRM important"
"Relb",1,"TRM important"
"Tbx21",2,"TRM important"
"Batf",2,"TRM important"
"Tlx2",2,"TRM important"
"Irf7",2,"TRM important"
"Cdx1",2,"TRM important"
"Tcf7",2,"TRM important"
"Meis3",2,"TRM important"
"Irf8",2,"TRM important"
"Nfe2l2",2,"TRM important"
"Zfp212",2,"TRM important"
"Mafk",2,"TRM important"
"Bbx",2,"TRM important"
"Zfp422",2,"TRM important"
"Cbfb",2,"TRM important"
"Foxo1",2,"TRM important"
"Nfatc1",2,"TRM important"
"Jund",2,"TRM important"
"Foxp1",2,"TRM important"
"Mlx",3,"TRM important"
"Usf1",3,"TRM important"
"Srebf1",3,"TRM important"
"Atf2",3,"TRM important"
"Atf7",3,"TRM important"
"Arnt",3,"TRM important"
"Atf1",3,"TRM important"
"Usf2",3,"TRM important"
"Tfe3",3,"TRM important"
"Arntl",3,"TRM important"
"Sp1",4,"TRM important"
"Klf7",4,"TRM important"
"Zfp566",4,"TRM important"
"Myc",4,"TRM important"
"Klf2",4,"TRM important"
"Srebf2",4,"TRM important"
"Nfya",4,"TRM important"
"Mecp2",4,"TRM important"
"Zfp64",4,"TRM important"
"Taf1",4,"TRM important"
"Zfp398",4,"TRM important"
"Zfp335",4,"TRM important"
"Zfp143",4,"TRM important"
"Wt1",4,"TRM important"
"Tfdp1",4,"TRM important"
"Klf8",4,"TRM important"
"Zfp263",4,"TRM important"
"Klf5",4,"TRM important"
"Thap11",5,"TRM important"
"Elk1",5,"TRM important"
"Snai3",1,"TRM_Tex"
"Zbtb3",1,"TRM_Tex"
"Tigd2",1,"TRM_Tex"
"Hic1",1,"TRM_Tex"
"Nr4a2",2,"TRM_Tex"
"Nfil3",2,"TRM_Tex"
"Gfi1",2,"TRM_Tex"
"Homez",2,"TRM_Tex"
"Ddit3",2,"TRM_Tex"
"Jun",2,"TRM_Tex"
"Irf4",2,"TRM_Tex"
"Hmg20b",2,"TRM_Tex"
"Meox2",2,"TRM_Tex"
"Fos",2,"TRM_Tex"
"Isl2",2,"TRM_Tex"
"Prdm1",2,"TRM_Tex"
"Bhlhe40",3,"TRM_Tex"
"Xbp1",3,"TRM_Tex"
"Crem",3,"TRM_Tex"
"Tef",3,"TRM_Tex"
"Max",3,"TRM_Tex"
"Setbp1",3,"TRM_Tex"
"Thrb",3,"TRM_Tex"
"Mxd1",3,"TRM_Tex"
"Egr1",4,"TRM_Tex"
"Egr2",4,"TRM_Tex"
"E2f1",4,"TRM_Tex"
"Ahr",4,"TRM_Tex"
"E2f3",4,"TRM_Tex"
"Etv3",5,"TRM_Tex"
"Snai1",1,"TRM_specific"
"Pbx4",1,"TRM_specific"
"Hlx",2,"TRM_specific"
"Junb",2,"TRM_specific"
"Nr4a1",2,"TRM_specific"
"Fosl2",2,"TRM_specific"
"Nr4a3",2,"TRM_specific"
"Rel",2,"TRM_specific"
"Nr1i3",2,"TRM_specific"
"Fosb",2,"TRM_specific"
"Foxo3",2,"TRM_specific"
"Hsf2",2,"TRM_specific"
"Gmeb1",3,"TRM_specific"
"Glis3",3,"TRM_specific"
"Atf3",3,"TRM_specific"
"Atf4",3,"TRM_specific"
"Klf6",4,"TRM_specific"
"Klf4",4,"TRM_specific"
"Zfp692",4,"TRM_specific"
"Zfp341",4,"TRM_specific"
