"","row","col","corr"
"1","Ahr","Arid3a",0.0143988211426899
"2","Ahr","Arnt",0.0456421976895719
"6","Arnt","Arntl",0.934192761851914
"7","Ahr","Atf1",0.123388352891436
"15","Atf1","Atf2",0.031155227508581
"20","Atf1","Atf7",0.554966307896184
"21","Atf2","Atf7",2.20866098213597
"30","Arid3a","Bbx",0.690029424733603
"48","Arnt","Bhlhe40",0.736909160500074
"49","Arntl","Bhlhe40",0.577639905515561
"57","Arid3a","Bhlhe41",0.0724626624068094
"58","Arnt","Bhlhe41",0.58125593401541
"59","Arntl","Bhlhe41",0.542108230826537
"66","Bhlhe40","Bhlhe41",0.914512849625449
"67","Ahr","Cbfb",0.0968388042285554
"71","Atf1","Cbfb",0.0236687055185916
"74","Batf","Cbfb",0.261260607599699
"84","Atf2","Cebpb",0.0583824971859778
"92","Ahr","Creb1",0.0647546721521522
"96","Atf1","Creb1",1.81701815870021
"97","Atf2","Creb1",0.427389443561898
"98","Atf7","Creb1",0.739717839523414
"103","Bhlhe41","Creb1",0.0300737153053179
"106","Ahr","Crem",0.0751075707618154
"110","Atf1","Crem",1.37478906956565
"111","Atf2","Crem",1.03988860451636
"112","Atf7","Crem",1.3607532087977
"117","Bhlhe41","Crem",0.0889284358629406
"120","Creb1","Crem",1.1435583526915
"125","Atf1","Ctcf",0.0667400991213789
"129","Bbx","Ctcf",0.0409936062911304
"134","Cebpb","Ctcf",0.119998886583692
"138","Arid3a","Ddit3",0.170288847110382
"142","Atf2","Ddit3",0.564926110011664
"145","Bbx","Ddit3",0.00296863379105841
"150","Cebpb","Ddit3",0.400276138136891
"154","Ahr","Dmrt2",0.0843372028327692
"155","Arid3a","Dmrt2",0.616976657592429
"161","Batf","Dmrt2",0.0118385512901643
"179","Batf","E2f1",0.0786511871881733
"184","Cbfb","E2f1",0.0155352412697956
"190","Dmrt2","E2f1",0.20008098366883
"191","Ahr","E2f3",0.0116211936278777
"203","Cbfb","E2f3",0.000432199836356705
"209","Dmrt2","E2f3",0.0679116912295318
"210","E2f1","E2f3",0.417959081368769
"218","Batf","E2f4",0.203958910700251
"229","Dmrt2","E2f4",0.16351051558275
"230","E2f1","E2f4",1.06342102266403
"231","E2f3","E2f4",0.315465499690357
"250","Dmrt2","E2f6",0.0963214797348429
"251","E2f1","E2f6",0.397514690081227
"252","E2f3","E2f6",1.36297944617174
"253","E2f4","E2f6",0.237023371322028
"254","Ahr","Egr1",0.188796894533954
"268","Creb1","Egr1",0.0151352103171337
"273","E2f1","Egr1",0.18539000058957
"274","E2f3","Egr1",0.089778758536452
"275","E2f4","Egr1",0.219503000489065
"276","E2f6","Egr1",0.104718714846406
