"","Ahr","Arid3a","Arnt","Arntl","Atf1","Atf2","Atf7","Batf","Bbx","Bcl6","Bhlhe40","Bhlhe41","Cbfb","Cebpb","Creb1","Crem","Ctcf","Ddit3","Dmrt2","E2f1","E2f3","E2f4","E2f6","Egr1","Egr2","Elf1","Elf2","Elf4","Elk1","Elk3","Elk4","Eomes","Ets1","Ets2","Etv3","Etv5","Etv6","Fli1","Fos","Foxd2","Foxj2","Foxj3","Foxn3","Foxo1","Foxp1","Gabpa","Gata3","Gfi1","Heyl","Hic1","Hinfp","Hmg20b","Homez","Ikzf1","Ikzf3","Irf1","Irf2","Irf3","Irf4","Irf7","Irf8","Irf9","Isl2","Jdp2","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf6","Klf7","Klf8","Klf9","Mafk","Max","Maz","Mbd2","Mecp2","Meis3","Meox2","Mlx","Mxd1","Nfatc1","Nfe2l1","Nfe2l2","Nfil3","Nfkb1","Nfkb2","Nfya","Nfyb","Nfyc","Nr1d2","Nr3c1","Nr4a2","Nrf1","Patz1","Pax9","Pbx3","Pknox1","Prdm1","Prdm16","Prdm4","Rbak","Rela","Rfx1","Rfx7","Rora","Runx1","Runx2","Runx3","Rxrb","Setbp1","Smad3","Smad4","Snai3","Sp1","Sp110","Sp2","Sp3","Sp4","Spi1","Srebf1","Srebf2","Stat1","Stat2","Stat3","Stat4","Stat5b","Stat6","Taf1","Tbx21","Tcf12","Tcf3","Tef","Tfdp1","Tfe3","Tfeb","Thap11","Thrb","Tigd2","Trp53","Usf1","Vax2","Xbp1","Zbtb14","Zbtb17","Zbtb20","Zbtb3","Zbtb49","Zfp143","Zfp212","Zfp213","Zfp260","Zfp263","Zfp281","Zfp287","Zfp324","Zfp335","Zfp398","Zfp410","Zfp422","Zfp523","Zfp566","Zfp64","Zfp740","Zfp768","Zfx","Zscan20"
"Ahr",3.1226309740384,0.0143988211426899,-0.0456421976895719,0,-0.123388352891436,0,0,0,0,0,0,0,0.0968388042285554,0,-0.0647546721521522,-0.0751075707618154,0,0,0.0843372028327692,0,-0.0116211936278777,0,0,-0.188796894533954,-0.0413783763068486,0,0,0,-0.0308675309778885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276379890503472,0,0,0,0,-0.127804294527101,-0.138149374027132,0,0,0,0,0,0,0,0.312579025459251,0,0,0,0,0,0,0,0,-0.163915605006436,-0.136942461362142,-0.10447045552936,-0.0633638977246789,0,0,0,0,0,-0.394037310064541,0,0,0,0,0,0,0,0.0338198648834668,0,0,0,0,0,0,0,0,-0.0744478659480224,-0.0499064666804226,0,0,0,0,0,0,0,0,-0.0919875711338153,-0.13181407719833,0,0,0.102135085105267,0,0,-0.144828619811905,0,0,0,-0.119313369903517,0,-0.00735236881146379,0,-0.147092584752331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296595670750565,0,0,-0.0353111207989107,0,0,0,0,0,0,0,-0.0574542234368561,0,0,-0.228946667887498,-0.0390547986416563,0,-0.165085399404165,0,0,0,0,0,0,0,0.084190423335644,0,0,0,-0.101063879071901,0,0,0,0
"Arid3a",0.0142163529244628,4.91569179657491,0,0,0,0,0,0,-0.690029424733603,0,0,0.0724626624068094,0,0,0,0,0,-0.170288847110382,-0.616976657592429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262934253225325,-0.11189135798962,0,0,0,0,0,-0.482156126855436,0,0,0,-0.305937007305025,0,0,0,0,0,0,0,-0.0748686544370732,0,-0.0745496664548519,-0.98755327087181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141765397333542,0,0.251807390242389,0,-0.420110292787391,0,0,0,0,0,0,0,0,0,0,0.0583306984954493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1186921484821,0,0,0,0,0,0,0,0,0,-0.183917606828344,0,0,0.0496452865689331,0,0,0,0,0,-0.046246094686508,0,0,0,0,0,0,0,0,0,0,0,0,-0.504494061071517,0,0,0,0,-0.124114093945885,0,0,0,0,0,0,0
"Arnt",-0.0457245656415461,0,7.06739919713906,-0.934192761851914,0,0,0,0,0,0,-0.736909160500074,-0.58125593401541,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256053997105164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.637064616440188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00281930094152549,0,0,0,0,0,0,0,-0.806586876725193,0,0,-0.0510161319311783,0,0,-0.840178682808292,-0.754404770454017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227240229898724,-0.0205494575938186,0,0,0,0,0,0,0,0,0,0,0,0,-0.346672227396304,-0.252041967093373,0,0,0.137920852318175,0,-0.676665441133982,0,-0.278999804482982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arntl",0,0,-0.934575552673594,7.29536877078009,0,0,0,0,0,0,-0.577639905515561,-0.542108230826537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225128387395108,0,0,0,0,0,-0.115907771495947,0,0,0,0,0,0,0,0,0,0,0,0,-0.358570399633322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.636917680441451,0,0,0,0,0,-1.04527600117529,-0.540061093319388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00640964154084166,0,0,0,0,0,0,0,0,0,-0.0830402894087191,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.561464762655038,-0.738842253832002,0,0,0.0697131706065929,0,-0.895013628683102,0,-0.378843628513455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465285281620214,0,0
"Atf1",-0.123423678408965,0,0,0,5.76696473449907,-0.031155227508581,-0.554966307896184,0,0,0,0,0,0.0236687055185916,0,-1.81701815870021,-1.37478906956565,0.0667400991213789,0,0,0,0,0,0,0,0,0,0,0,0,-0.0414181509693301,0,0,0,0,0,-0.0569312675478568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.412916824139638,0,0,0,0,0,0,0,0.0564426572051702,0,0,0.00938007517745149,0,-0.523088942720797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931748888464022,-0.0812943676304985,-0.110404868621431,0,0,0,0,0,-0.0495910206381175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145800152219123,0,0,-0.27448869495467,-0.0158262629894964,0,-0.0252391356838186,0,0,0,0,0,0,-0.467578379648427,0,0,0,0,0,0,0.0289009708172237,-0.140023306919165,0,-0.0481552616457874,0,0,0,0,0,0,0,-0.0573173259009895,0,0,0,0,0,0.136168213578977
"Atf2",0,0,0,0,-0.0309058123088773,5.59251743161803,-2.20866098213597,0,0,0,0,0,0,-0.0583824971859778,-0.427389443561898,-1.03988860451636,0,-0.564926110011664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462806230449002,0,0,0,0,0,0,0,0,0,0,0,0,0.0283836666269855,0,0,-0.841829387221626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255301928602252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169297779282196,0,0,0,0,0,-0.0425083545513497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00653191195143549,0,0,0,0,-0.5969865643269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atf7",0,0,0,0,-0.55505000537275,-2.20893713562002,6.0893068071085,0,0,0,0,0,0,0,-0.739717839523414,-1.3607532087977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1010052899285,0,0.160357568626991,0,0,-0.671751186631439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030737910039521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126189256950557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.295344269121132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586020647339817,0,0,0,0,-0.363711107531527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batf",0,0,0,0,0,0,0,6.5111160246944,0,0,0,0,-0.261260607599699,0,0,0,0,0,-0.0118385512901643,0.0786511871881733,0,0.203958910700251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37323242374369,0,0,0,0,0,0,0,0,0,0,0,0.0427868559857921,0,0,0,0,0,0,0,0,0,0,-0.109754724377662,0,0,-0.355327589168587,-0.659833571454347,-0.641669601038878,0,0,0,0,0,0,0,0,-0.6054143806371,0,0,0,0,0,0,0,0,-0.179582067111845,-0.732157365673856,-0.684248378791194,0,0,0,0,0.00818208001593123,0,-0.115999424831861,0,-0.069015778586415,0.185335891830997,0,0,0.0606825585353672,0,0,0,0,0,0,0,0,0,-0.293873448714107,-0.141407133608631,-0.124823871778741,0,0,0,0,0,0,0,0,0,0,0,-0.0467988415540613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259218689786234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bbx",0,-0.690032226102247,0,0,0,0,0,0,4.9077378212823,0,0,0,0,0,0,0,-0.0409936062911304,-0.00296863379105841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296666181618336,-0.31582481656508,0,0,0,0,0,-0.360743353672753,0,-0.111048155979026,-0.182155784119636,-0.0165936795026393,-0.00428190817015803,-0.0723342602848659,0,0,-0.471568896074431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130910234711955,0,0,0,-0.234238391097383,0,0,0,0,0,0,0,0,-0.222972405496269,0,0,0,0,0,-0.0789989013810107,-0.114251850852831,0,0,0,0,0,-0.0520458342285885,-0.134660719043521,0,0,0,0,-0.0550637556019257,0,-0.107018016959771,0,0,0,0,0,0,0,0,0,-0.274687646996379,-0.20013977861091,0,0,-0.0381665051361409,-0.051208369654046,0,0,0,0,0,0,0,0,0,0,0,-0.317100823341923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178801030921031,0,0,0,0,-0.613340995877215,0,0,0,0,0,0,0
"Bcl6",0,0,0,0,0,0,0,0,0,5.78466765645514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.575502104175681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012139207459336,0,0,0,0,-0.123454166155873,0,0,0,-0.537820557078292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436886498116553,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0987212249578811,0,0,0,0,0,0,0,0,0,0,0,0,-0.267557543150408,0,0,-0.166922452063551,-1.07264506786607,0,0,0,0,0,0,0,0,-0.00281691188759125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.966137531830269,0,-0.576096364777168,0,0,0,-0.187427567071297,0,-0.738934101219054,0,-0.444368246175041,0,0,0,0,-0.322074120203466,0,0
