"","Ahr","Arnt","Arntl","Atf1","Atf2","Atf3","Atf4","Atf7","Batf","Bbx","Bcl6","Bhlhe40","Cbfb","Cdx1","Creb1","Crem","Ctcf","Ddit3","E2f1","E2f3","E2f4","Egr1","Egr2","Elf1","Elf2","Elf4","Elk1","Elk3","Elk4","Ets1","Etv3","Etv6","Fli1","Fos","Fosb","Fosl2","Foxj3","Foxn3","Foxo1","Foxo3","Foxp1","Gabpa","Gata3","Gfi1","Glis3","Gmeb1","Hic1","Hlx","Hmg20b","Homez","Hsf2","Ikzf1","Ikzf3","Irf1","Irf2","Irf3","Irf4","Irf7","Irf8","Isl2","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf4","Klf5","Klf6","Klf7","Klf8","Mafk","Max","Maz","Mbd2","Mecp2","Meis3","Meox2","Mlx","Mxd1","Myc","Nfatc1","Nfe2l2","Nfil3","Nfkb1","Nfkb2","Nfya","Nfyb","Nfyc","Nr1i3","Nr4a1","Nr4a2","Nr4a3","Nrf1","Patz1","Pbx4","Phox2b","Pknox1","Prdm1","Rel","Rela","Relb","Rfx1","Rora","Runx1","Runx2","Runx3","Setbp1","Smad3","Snai1","Snai3","Sp1","Sp110","Sp2","Sp3","Sp4","Srebf1","Srebf2","Stat1","Stat2","Stat3","Stat4","Stat6","Taf1","Tbx21","Tcf12","Tcf3","Tcf7","Tef","Tfdp1","Tfe3","Tgif1","Thap11","Thrb","Tigd2","Tlx2","Trp53","Usf1","Usf2","Wt1","Xbp1","Zbtb17","Zbtb3","Zfp143","Zfp212","Zfp260","Zfp263","Zfp281","Zfp287","Zfp335","Zfp341","Zfp398","Zfp422","Zfp566","Zfp64","Zfp692","Zfp740","Zfx"
"Ahr",1,0.16622169315189,0.100809727309951,0.102095626957775,0.101589586635502,0.0965276642012696,0.0507904884364953,0.100372683266245,0.0698455732806902,0.0782605597871656,0.121073647700254,0.0487996222575599,0.0475445505782221,0.0347590532003332,0.0882805222569601,0.0941691493787339,0.0849326587019575,0.048551289451438,0.172871660655745,0.149659470876251,0.168957730092571,0.177933118708807,0.178730034277049,0.158941921285542,0.134129082199522,0.12668789161756,0.13769984185366,0.124426756218039,0.140668835641683,0.12393537509777,0.103664429095035,0.102758418280041,0.154606484775019,0.0825104554659172,0.0887652476715815,0.090330023363128,0.0818720120848517,0.107024438778562,0.064217222012301,0.0646208090974453,0.0646684002780893,0.143464801513771,0.0600996380190088,0.0344503798048587,0.0333144540656834,0.074130994447843,0.0884034655100045,0.0303490366947767,0.0218416267473549,0.0239223909775686,0.0647951807897794,0.0580448367770175,0.127523213295868,0.0642207756019803,0.0630463121872856,0.0814635418108561,0.0609686846812259,0.0567846472063204,0.0620020536892501,-0.00217616355615528,0.0925252003855484,0.104303615661641,0.0830441152175205,0.145653938292231,0.0927693341207402,0.149074648468571,0.195473005520909,0.183857946344746,0.186284356538036,0.190842475595148,0.164577577631702,0.15778843096197,0.0860726324842289,0.130571214683511,0.146618537300433,0.135554371522147,0.12626728484263,0.0868127252728479,0.059345881859496,0.093510574714435,0.12705166858329,0.12282282848899,0.0592245097150966,0.0871249451827195,0.042846823790286,0.0685896039622406,0.097230302579552,0.117947168132727,0.132304784160629,0.138510610001887,0.0634908131121527,0.0328158779852696,0.0777013315920064,0.0588927084076827,0.138341737702482,0.170424906150186,0.0740922422247561,0.0150879609681908,0.116350364076723,0.0838684188809758,0.0459276131726188,0.138007038636629,0.0510726199292377,0.139695605891473,0.0614344651739363,0.0512312268340802,0.0676912039225805,0.0600995053103354,0.0535467978420278,0.0693674114523073,0.0964640685187948,0.0495557578957742,0.18173678274136,0.1135331390262,0.186625857443304,0.191427997315226,0.184482986063038,0.116928526526658,0.130776582222386,0.0722488076575259,0.0661140635831245,0.104912406247241,0.0855892607071336,0.0502382513698463,0.125234529853526,0.077948104980348,0.096694161216184,0.0857306348669869,0.0552701491166384,0.0432101228450875,0.0989287973349237,0.116122233211572,0.0885376609016833,0.107946893016356,0.0473607988246326,0.0537143500310196,0.0135088287152328,0.0703081223793502,0.101299546164004,0.123623896353572,0.187663197094339,0.10980161000836,0.196567696917695,0.0568114778156783,0.110133210474336,0.0866769620318232,0.109395509483455,0.0921161771868007,0.163756114275745,0.0641935665293306,0.122124370443935,0.177405081331528,0.111358083947859,0.0522081129514235,0.157571637754105,0.147400517324258,0.121953679843058,0.101563065445342,0.150878456147669
"Arnt",0.16622169315189,1,0.836361917337545,0.190122696126474,0.19050101492727,0.196751669591882,0.120493667533968,0.18975557402388,0.158365497916629,0.162748027618447,0.224138065368196,0.63466992586321,0.155312545407212,0.0754716874447118,0.21289358628884,0.196980013768219,0.199742316306301,0.114920305587336,0.328915456339341,0.282326820336145,0.317119326544868,0.318075009200112,0.31304635559422,0.259689913973725,0.262546836677022,0.224604888563669,0.259223250997783,0.247013836299409,0.272353182940522,0.265876042382595,0.201557773899274,0.240764092191506,0.289033479328933,0.147661079790451,0.146913180766245,0.170263450827511,0.172171960236416,0.207857491036631,0.15877903999921,0.145581576673766,0.123663376192484,0.278311595894084,0.166199899596531,0.112106711483943,0.13275951572626,0.101318440486257,0.206462397138296,0.046116718218318,0.0453755078122965,0.0292732289498394,0.0847930677162726,0.143410623007031,0.194045715929263,0.162877626546007,0.173352541464684,0.179828882246527,0.167231948152412,0.173868558508087,0.156398491391374,0.0488142754830135,0.170605755289981,0.181198730008828,0.161488649807275,0.30590602486736,0.202668348254042,0.305228208935608,0.362725891503524,0.344256895360336,0.33849757907848,0.343599910438777,0.339142278302716,0.332242475558282,0.175025971330291,0.64449016574179,0.272603016143609,0.257474146382538,0.238448853427848,0.194892958947085,0.0460834697964778,0.729904390753774,0.51628795372077,0.476183245326249,0.113547733569691,0.151296943945406,0.0957275376264177,0.15546197478111,0.16867798267283,0.184253371880571,0.20901242131001,0.197185769485515,0.112180804620093,0.103805916377362,0.120288398162002,0.0829979240016426,0.286541955633652,0.320931519563912,0.156102313854261,0.0411158249916198,0.221427738807563,0.185946689747849,0.123547950682208,0.243687825026806,0.148846536385499,0.237625767725898,0.169144295281511,0.155140573835845,0.167175460911987,0.138514495301664,0.0307690261741566,0.190894843782847,0.191866525752843,0.135536346311737,0.336553114177554,0.169461617330365,0.351555164790635,0.358186567490675,0.345124204386437,0.397133358574068,0.282808259073952,0.15812677311368,0.15003764657614,0.173457806299899,0.161890699895629,0.117624170065939,0.249660349313585,0.180635547134274,0.212676914176334,0.192199998441051,0.152423007218837,0.079222128109257,0.210551120217691,0.556297714766572,0.179641689719523,0.177266174400955,0.123132117706765,0.0458259999696324,0.0504170512611753,0.196277175061268,0.643733102623127,0.649741533672256,0.340570411554377,0.297401998544434,0.353230459090298,0.16018560775059,0.192741964206623,0.169685220856203,0.213170955717138,0.191660295008219,0.306748983698475,0.148677965412965,0.212282695687021,0.326120658743389,0.23291330376889,0.142085619180875,0.301545974589261,0.282765630755723,0.234342349984902,0.194695497819575,0.282335689289615
"Arntl",0.100809727309951,0.836361917337545,1,0.183507935064232,0.171918849000679,0.189319387248588,0.1089984701283,0.174201467539266,0.151273160642301,0.158619450253313,0.193087528908162,0.634684881128031,0.137469471435151,0.0722886976259669,0.199278170067126,0.185432966012513,0.159432166036353,0.113587984853456,0.306695383795144,0.255399614879696,0.289960473949802,0.307597404040034,0.302672010912891,0.233466295736144,0.228936051533235,0.205633727202899,0.225106760303333,0.221258224145856,0.244599838024775,0.232241631993162,0.180544870433938,0.2094050956182,0.261561479706348,0.139783660341246,0.138866927701064,0.158430174421549,0.15685504596344,0.186610711594028,0.15568892900915,0.14417666938763,0.115365388754452,0.242675369817424,0.152721509420586,0.0914901565152357,0.118799404454838,0.102655079825694,0.189768247217566,0.0342829515486715,0.0321828805227107,0.022589842370816,0.0890290764459436,0.139332982834136,0.165451351816671,0.147564397740595,0.152081841918443,0.163495520724987,0.157796205640104,0.153783512290818,0.135580242444833,0.0549595410473703,0.159122654415988,0.174145110026069,0.14468639818521,0.27932332330599,0.192314133627326,0.278234115177464,0.335775708256666,0.331787283788799,0.327918782800673,0.328263474363368,0.323687068272666,0.308288770505821,0.152406080988511,0.580771337823229,0.225980300707453,0.23324716158971,0.212745761500887,0.185551902853472,0.0420737386335898,0.822041970993692,0.480830789656743,0.398108415148504,0.102347825586013,0.13625180451311,0.0947243579232905,0.140323007312204,0.1441671154021,0.170586626996218,0.190062755263489,0.184248034933926,0.120032698473018,0.102707277040145,0.109759698827078,0.0767747936117606,0.257046973147212,0.29938979186592,0.151621269158904,0.0390523969997747,0.204198155127559,0.158279571900979,0.105762767470209,0.210254202589983,0.13763549450268,0.215329291425597,0.16930178757608,0.134165700263281,0.143944546448234,0.119207501890055,0.0298101924299658,0.162904225722052,0.160105494626687,0.11886083536519,0.293291334323747,0.144477830012437,0.313922456756258,0.323285234246647,0.309106877348578,0.442435531049585,0.272835202097336,0.133876964570469,0.132838740490491,0.152595954341749,0.140183451323484,0.106448368701323,0.228767706417036,0.165564700443615,0.17767827991497,0.167238555083575,0.131723584888899,0.0710213274747426,0.177475407493371,0.686255543347871,0.166438582666555,0.158574307818267,0.116833422747499,0.0375385505824825,0.0344293003093247,0.182412193066597,0.744904368290898,0.73048367838766,0.311009322847476,0.367147180809073,0.312714784994044,0.139994531047957,0.172627683603893,0.143766347811155,0.186025373221382,0.166770744449243,0.270710435004953,0.137211341459878,0.18441317850702,0.278279301142953,0.1955012420651,0.126010285007866,0.268564030804488,0.26010957043214,0.216514300449685,0.171672877881856,0.259176693607571
"Atf1",0.102095626957775,0.190122696126474,0.183507935064232,1,0.551162694624241,0.41093549453284,0.170132000022532,0.600814250053036,0.135552268776647,0.146740553910808,0.200849286202381,0.126904389809604,0.121428556385078,0.0793838058387189,0.75006556981815,0.67543453376989,0.146264513585175,0.114488773717364,0.291826153904957,0.235348706969735,0.283440986610623,0.300519346498422,0.290725307939743,0.242107803256176,0.207084735373344,0.189085313241614,0.213395697858746,0.190459714395978,0.22658225813555,0.215061853009598,0.176838912511556,0.184754473176132,0.249474158307067,0.147715846366185,0.143008259757953,0.263516901651013,0.162232890931365,0.193713112019324,0.170687878057097,0.131853336972204,0.136386315193611,0.22631741844348,0.124691545432412,0.117948661767256,0.12894843427447,0.285424489597048,0.178516578336507,0.067501291475895,0.0281878555880099,0.040030870976978,0.0934050555861314,0.107591709181863,0.136577120930828,0.135094438507434,0.144797492276006,0.152141654852822,0.143185303912799,0.163499819306088,0.143967785178038,0.0630288187408834,0.260576720201638,0.180766137653381,0.182958403161357,0.262954556011266,0.178001978423687,0.256121325597267,0.303431724488224,0.292643406348911,0.297838476679629,0.307245921016559,0.293334521650986,0.279191981328219,0.159707916600431,0.193062511411239,0.214351730441705,0.209971360982887,0.203319154443994,0.157610320839402,0.0444247011788592,0.174770914226734,0.208136254296127,0.175720841804751,0.0992145727390177,0.159536926660288,0.107810209893788,0.140053831826746,0.145333845278005,0.185065037489302,0.2049875316784,0.198248518113003,0.111673522034714,0.108302186297654,0.121656713326604,0.0878420790048965,0.233443620560709,0.282597326068485,0.13274945161415,0.0401836627305474,0.204138436637697,0.16463275578268,0.108910171267078,0.211699974024917,0.133020527129228,0.208362806276944,0.150290129864484,0.128694309649248,0.134076083736396,0.132214189590395,0.0730607890837718,0.154644819200906,0.170663461255554,0.122695680148446,0.276772438992483,0.162336853646057,0.292788623651812,0.294426229050882,0.286556556290232,0.218953204193441,0.201838744061113,0.135285657426032,0.13719405685791,0.165523451637075,0.146063559557251,0.102159232970447,0.200517050653767,0.159772180857478,0.156465458250312,0.162692209875438,0.144120904062685,0.136462731167609,0.188184996102257,0.192399553266794,0.142162147786846,0.157490816577242,0.154547017662853,0.0613764098492326,0.0508121653489541,0.147396055195808,0.181653223512273,0.177392897554627,0.293299742737855,0.291804769529714,0.293758763757278,0.140894248345373,0.146058645021655,0.141154277512425,0.191987120246068,0.154206801387266,0.252574670502239,0.130829055821562,0.177594338970832,0.273455651808342,0.184353990820781,0.130947813059203,0.258048335591364,0.244636510829081,0.18291829397488,0.184783203807339,0.248344488213189
"Atf2",0.101589586635502,0.19050101492727,0.171918849000679,0.551162694624241,1,0.372078251992368,0.178959332752311,0.921740377274762,0.174347476160358,0.173416643690093,0.224708895242453,0.118043346411283,0.157520202736605,0.0971569759507592,0.633403001658929,0.719796635615869,0.169267606058693,0.215357955143833,0.236793617689448,0.197681482757035,0.228566704523468,0.251190695713262,0.25230791125025,0.210515990463354,0.203377902325731,0.164933512156216,0.193727608772335,0.173274152436924,0.211744173534835,0.221394790793507,0.165872890191128,0.20315083875178,0.227691135714724,0.184126527662088,0.181770101566689,0.270741886517455,0.1956181790376,0.203871429041153,0.171922339783081,0.146782058246219,0.135875487994723,0.208089120652938,0.169587592243225,0.100172513434907,0.119237295793259,0.147493111686149,0.18248003692007,0.0547266884825162,0.0606050555353356,0.0324048188243434,0.10363290660661,0.116569647187802,0.150794011251582,0.166976793093678,0.175917610424346,0.186497409912393,0.17463105247391,0.177809812415797,0.165625531005545,0.0854102360976341,0.235293536073339,0.200714732085123,0.17508409724752,0.236356591376429,0.167523649723548,0.21652249560872,0.256427310814704,0.258504693395653,0.2648536467614,0.265551092813713,0.243765104265429,0.238421612596589,0.187317716704927,0.16788976254973,0.219653285211458,0.178171193085355,0.177901092482868,0.198889422282763,0.0481063213582225,0.158936704157643,0.170125235963722,0.156383885054556,0.116110010958175,0.190805057710779,0.164995343653576,0.149660898554845,0.160532533481914,0.17571578398202,0.190719058814659,0.185923347695678,0.126195243364041,0.125539877551464,0.148994280960219,0.112083948755131,0.194147395486609,0.245665719377489,0.141592898868467,0.0423222575498901,0.210821141733825,0.176104807729861,0.143013442848563,0.22614623113738,0.147067709705569,0.207336899052195,0.172553939001043,0.178351543669307,0.181568199079419,0.179005779102581,0.0405342418456853,0.174908861034881,0.192382123659347,0.140410958354667,0.239706755566262,0.147167273267601,0.244512827145671,0.254066320635266,0.240486044663415,0.183170104466392,0.178891087320923,0.177567205008235,0.172117664351195,0.178438388027552,0.166499346823644,0.144635515003692,0.186536067431432,0.198345930521546,0.19003734348806,0.194245559542578,0.186299595698611,0.133474792529321,0.145321085608505,0.178187922413927,0.168966219452156,0.151261772349145,0.176210147854341,0.0510250400013026,0.0475165478866128,0.191519685745624,0.169749652286719,0.166911858588443,0.267626624395978,0.182400820668717,0.261961953038502,0.149348038132721,0.139721660687061,0.169440196181386,0.180154230807821,0.167624533402677,0.248378043762584,0.172769212530086,0.187965444654866,0.254339873798321,0.203460888046036,0.17441121764012,0.21453921582074,0.190491416255044,0.161753910414242,0.175303190335416,0.220051574424447
"Atf3",0.0965276642012696,0.196751669591882,0.189319387248588,0.41093549453284,0.372078251992368,1,0.180591801094026,0.380397302772287,0.57464703706535,0.228661567126648,0.246126112386031,0.137580643808788,0.202422941143941,0.12775508084635,0.417465286152738,0.393790054627672,0.181376173162887,0.165184577131233,0.255131404706834,0.21368676932388,0.226464798404516,0.287373719898934,0.292224183078052,0.239334377255686,0.229701093139711,0.184323003177787,0.217285409259976,0.191013489995266,0.23723237092397,0.258557391371726,0.19048462395565,0.246794930903538,0.26588905719898,0.658304050382842,0.66422535286862,0.823096116788233,0.22204271384337,0.2484735510639,0.223054930680058,0.174222948497111,0.165311618051436,0.225144194504862,0.229379528278537,0.105467352484989,0.131523580473259,0.158483420593374,0.187255096082896,0.0666826035309815,0.0765507608362023,0.036258224402586,0.142275358926595,0.138672639246328,0.163629601742261,0.202305719800999,0.204198113727472,0.215855556206543,0.237013434180104,0.218619368855049,0.215901264279769,0.102204031801812,0.693024320900456,0.610564728010333,0.594295545645866,0.262897213178669,0.174723357732136,0.232704608352444,0.27511096480004,0.310741809707241,0.316515593522036,0.314171970269163,0.26986238808611,0.268871146248166,0.328990238553929,0.167707497986444,0.195105528729121,0.190247441946007,0.19443603350829,0.221738687025647,0.0788003220623603,0.180249119847755,0.201145912540827,0.181538482180411,0.182585288135103,0.335047291117977,0.149093598537802,0.180578298125441,0.192358495560746,0.158672942381057,0.175846163659491,0.181104580564497,0.182318665647999,0.1407734133943,0.187521225662347,0.154700164209471,0.206049598788275,0.264218923012782,0.163145965233535,0.0730807185682587,0.214685983705052,0.204588068324892,0.180336562296888,0.246595743142444,0.163929008029745,0.2064296132836,0.1834708434084,0.229135492394425,0.239250844228716,0.220064337084215,0.0453355074364266,0.175801249697235,0.223835023972148,0.163566346772248,0.228023494326731,0.162722860035069,0.248541441872296,0.257170081359052,0.228414305434219,0.228200836927133,0.207466517502037,0.22023361394831,0.210732065648255,0.20590836818367,0.185021178086594,0.177875351612232,0.187396003549023,0.244084582515211,0.219059031958176,0.197502170614949,0.187062246625516,0.119086738864057,0.162866948029534,0.2161009995334,0.202399544271412,0.187333402988902,0.143048354935491,0.0559337399984989,0.0816383108903487,0.194271847731688,0.198364584419294,0.198810539843197,0.298483359599465,0.298630203662286,0.279662801328396,0.180197321866898,0.160795487359522,0.209170950960431,0.188197160455043,0.167733973159294,0.25321052518554,0.195331458241309,0.188552899136961,0.245254950187775,0.19240117563186,0.199786351139159,0.247233742368925,0.210317551813282,0.177025679522938,0.205618927300925,0.232994382535902
"Atf4",0.0507904884364953,0.120493667533968,0.1089984701283,0.170132000022532,0.178959332752311,0.180591801094026,1,0.144569803335066,0.149028366051732,0.144877115705597,0.175739520430898,0.0733103908749606,0.142240854801621,0.103405020655338,0.144695243551959,0.15958669428654,0.113678088751369,0.646342243874095,0.148790558388562,0.11575770080254,0.140485400981785,0.157323952646392,0.163804215265861,0.152359696402758,0.16877139803087,0.145878490964473,0.142607601132388,0.126298004384589,0.15913084051178,0.171310917580934,0.137613210036131,0.162447473695268,0.166336447872918,0.147245382483882,0.139436285427776,0.177575668294055,0.136802594319436,0.133740095991836,0.112746943802227,0.107875276492328,0.0864280241666233,0.14459133329395,0.169223661168191,0.0836706646652855,0.103633910345924,0.14707091581751,0.12484419941509,0.0730483136152508,0.057999452561745,0.036743237999621,0.0798993187740436,0.0879470933559441,0.113241892437819,0.145052230654988,0.13007410687821,0.153657064552801,0.148276777708723,0.148216222932369,0.134156937055473,0.0639826793013927,0.238925256475872,0.203724841624152,0.16997343561499,0.140996737574478,0.127799126375811,0.118946945690987,0.162902524725763,0.154533541396426,0.164591562448058,0.177327636198438,0.139990252202781,0.140101919253189,0.128044829448624,0.122439716090562,0.144476507369131,0.110996504509021,0.113938598352884,0.114068008580142,0.0542578234518881,0.110369177057621,0.114059978250052,0.127067008554517,0.106674363379543,0.125813380025025,0.407955983650276,0.120711562798488,0.12885741629113,0.123269100287614,0.139786403167913,0.133684590375866,0.0957384870785185,0.0915389511417894,0.155221134190426,0.100322404208657,0.109500789674473,0.151681621905455,0.113668817961734,0.0418489585657841,0.126873275453094,0.137444148061412,0.134984585014817,0.160772716166047,0.094137231332518,0.112683790049221,0.114231237466844,0.150373063996332,0.162855988254279,0.153356982251761,0.0489389209084942,0.112321281043809,0.101912088981214,0.107594716284986,0.146928484398215,0.0929200224759265,0.152374166378975,0.159818495503648,0.147318074553237,0.0989760197858229,0.104905855792301,0.142017654980905,0.131993818310403,0.140135021428816,0.141598501939223,0.0915630153534108,0.115551490440878,0.135248761078926,0.114636337634547,0.130116781184255,0.149702611357304,0.20276751128207,0.0866572553258969,0.117971444257896,0.122117357656013,0.0979209030456309,0.109700420151837,0.0285235218364554,0.0701041707769142,0.126316332019008,0.111680153772323,0.111587413647553,0.171744036990432,0.113366599426987,0.176773749079916,0.111143602636205,0.0829073424980188,0.133710127908323,0.131333845571439,0.129778782448228,0.162399316040029,0.137655421759675,0.106926484474276,0.159296796419441,0.149648280993815,0.154878849255227,0.131091187542566,0.111267514063385,0.0893157555551139,0.135091078599024,0.126051506517822
"Atf7",0.100372683266245,0.18975557402388,0.174201467539266,0.600814250053036,0.921740377274762,0.380397302772287,0.144569803335066,1,0.156141075469788,0.15115328128558,0.195495622383329,0.134240130008489,0.133343681541756,0.0917692653588371,0.683230247621815,0.762771677034101,0.149923372154912,0.166733568207503,0.238073385945409,0.201828116371655,0.230431307356999,0.255614271278315,0.253453810954234,0.197669722160094,0.184982017461409,0.156745851129051,0.178807105996438,0.164931524356137,0.197424415606797,0.196794124829711,0.15543047344771,0.17891622430297,0.2155461284113,0.171995026844504,0.168645143533023,0.265971162086889,0.183836416285654,0.192621947974861,0.161016374950291,0.138575269098136,0.128798793542521,0.191606534767463,0.143544357762072,0.0938719790516405,0.120546739764131,0.153121053003462,0.176069862251415,0.0479357758750594,0.0467852203000797,0.0362113030597328,0.095018411820935,0.105758192282174,0.143951976677042,0.151316015817984,0.156199905781194,0.165263606475045,0.156343981932311,0.169206696011723,0.150550593471097,0.0749835434661724,0.225769663664136,0.188270516932601,0.159437779745254,0.226900545256118,0.164032905462673,0.217483615216736,0.256244121608929,0.264057465785109,0.268598755501845,0.266646123735887,0.24947616031989,0.242158491226268,0.175361517088671,0.157109860080432,0.200751395579704,0.185073569603698,0.166811931577304,0.180398121039364,0.0473494797527387,0.16168760322419,0.170051780875726,0.150972244147706,0.103775512113845,0.169394431227216,0.134421036548801,0.145907870753746,0.154504993025216,0.171217377806874,0.191737447972539,0.18438832766351,0.112926140667716,0.117115893715138,0.135471125766947,0.100668775884128,0.19665259308608,0.242666413986463,0.127072991704568,0.0368389606168642,0.202848567559753,0.15945513813563,0.138982617979749,0.206414019049159,0.138025481681276,0.197924987575467,0.157317359713569,0.151586498528172,0.157536404327887,0.155067505792814,0.0379554968727495,0.15128904436368,0.175878803351428,0.131273294095404,0.23680652548796,0.139119526754555,0.241682622401143,0.251468883314487,0.237725558436922,0.187664346126793,0.179487735990639,0.159052416484884,0.153770654053705,0.174511027232114,0.158098496435143,0.135719748991776,0.176349414177826,0.175961748176764,0.171807964516933,0.177964138564979,0.166708820618698,0.157833239796089,0.153888344133103,0.180864340332745,0.163615751186326,0.147290327537684,0.172805573460626,0.0474812110837525,0.0377020558924763,0.178839111016521,0.170032048423828,0.164553440052847,0.265222454091936,0.190804002347776,0.258550056700185,0.140162993577059,0.137394029815237,0.151910987649804,0.162998020371336,0.159329341986203,0.240140812787804,0.15226452420223,0.181446938682004,0.247513534023725,0.187597698395328,0.156161300705553,0.208543821940394,0.198262189104509,0.164748269150811,0.166941485964058,0.219019798124371
"Batf",0.0698455732806902,0.158365497916629,0.151273160642301,0.135552268776647,0.174347476160358,0.57464703706535,0.149028366051732,0.156141075469788,1,0.230913465493635,0.250831808743918,0.11853497871642,0.251039387984422,0.163915955631205,0.136251587861635,0.166596268516053,0.187315312478138,0.180163727844406,0.14015054039628,0.142127444541041,0.127109702351719,0.175240058268829,0.186022546809894,0.203234259997217,0.226162798421979,0.14753208646522,0.174015597435825,0.146754874999299,0.195328449608786,0.250527194357706,0.153170976718006,0.261561076927959,0.214425754803957,0.780044275641605,0.782191689175505,0.704883630316088,0.263963875010138,0.264220949577521,0.254849828368627,0.202102191579452,0.184118743494548,0.18182666543308,0.236547819479728,0.109263538129831,0.125005572124604,0.0739546721357639,0.180551799019666,0.0950468520229335,0.109712910349726,0.0146684820183645,0.109091018998589,0.141629625534953,0.151965279562174,0.238675452075417,0.240977744949618,0.25168972236398,0.264321805322505,0.217881184009216,0.250786405787103,0.119390009222659,0.685295793372973,0.669118647303998,0.702558513193045,0.182500150856719,0.0993117287358536,0.15997691290349,0.177936734513837,0.195690252295939,0.203973405695006,0.198324762687531,0.15550682433869,0.180444843888847,0.409416672954289,0.124412371940043,0.177446017916001,0.123872401005154,0.148865690981186,0.215571020311644,0.0721148452674331,0.138391759524805,0.11801344349349,0.119519126097475,0.209848604468725,0.422795812007054,0.145498592029045,0.163228594668152,0.173738722558528,0.0887535071696677,0.0967814066479681,0.0957812412956632,0.160907955939166,0.157645088160936,0.177466538247323,0.156573290978958,0.121331513722606,0.184299487843778,0.156892356770668,0.0787715817912373,0.198586615594076,0.212800620865184,0.175894265827109,0.228248343986245,0.149124608220482,0.14919502893083,0.17489547394879,0.28047326054538,0.275975266443908,0.257802608978022,0.0357490686148946,0.197060886740462,0.206911364042293,0.154939586915457,0.165617398337448,0.153925219180256,0.161995760926418,0.176659210768563,0.156083124700768,0.182772833367254,0.17639522660048,0.256945193565112,0.242864906852693,0.184903869957712,0.182935123118179,0.173229746970263,0.150405922736961,0.277631972423554,0.200479389022295,0.197469481127845,0.220884893971545,0.0956616438866803,0.100498693848767,0.181940315690741,0.20531936212995,0.133967823588224,0.107920210125461,0.0487804111034701,0.0989635632149641,0.189922346490133,0.169883612525773,0.177058703867353,0.210677104625824,0.13248235641455,0.197102641025336,0.16853673597223,0.12304646421597,0.211662279039976,0.161595145596951,0.159038216807329,0.194859165998255,0.244217610062344,0.178848464989852,0.191712118586622,0.171369032062791,0.227797899559021,0.173211120739481,0.134207461236452,0.135090442616063,0.136873984879511,0.170951080629888
"Bbx",0.0782605597871656,0.162748027618447,0.158619450253313,0.146740553910808,0.173416643690093,0.228661567126648,0.144877115705597,0.15115328128558,0.230913465493635,1,0.277553602604383,0.0994002410267789,0.214856660747409,0.154728075021153,0.138130597787523,0.159218122017104,0.196980852276105,0.146064347242156,0.198897574631746,0.173565227512369,0.195592637407849,0.186185722575344,0.203393058363381,0.185248049827182,0.219638078593346,0.155417810273554,0.16510945349724,0.149422774991178,0.196236403367098,0.240328183389873,0.166128483518277,0.24464817042048,0.212801320522914,0.217706451703982,0.220026759893184,0.227869334836821,0.241807188928526,0.23455034693853,0.229518475938332,0.178772030761265,0.161355002591596,0.174272174086396,0.245670150582122,0.127109454302485,0.119912431558807,0.0850906369307634,0.209598274918115,0.0787197832861833,0.0933679906407257,-0.00163169700488416,0.13433094205556,0.159298116017486,0.16689357530537,0.268314253393804,0.262455057571933,0.268953639264622,0.264512187024746,0.238107797352713,0.24575698625927,0.137903069068537,0.2130209139583,0.229769401200756,0.225002470682765,0.19722839184612,0.156665296261301,0.187433650311525,0.215486764626094,0.219324542110454,0.221767924093316,0.224913443688117,0.196274428366766,0.216034857002012,0.217528529522022,0.15071924907763,0.210999778691359,0.128971263699739,0.175454630823342,0.210322083952904,0.0729019225805881,0.140076251189009,0.156264349331203,0.146192509242541,0.171432270740144,0.201618578473101,0.135857536767302,0.183292509823998,0.177124244740308,0.159831696360776,0.161778155726141,0.165628998789253,0.168279837590994,0.148545402779792,0.15240005424425,0.13605468918312,0.138597371077944,0.20958450473113,0.183137650666477,0.0819577089950695,0.209663340188216,0.228385161754804,0.180530218169456,0.259592104839339,0.170596778402136,0.154941375716671,0.191684130337011,0.236962871786599,0.230428673744108,0.227002122808853,0.0496094099542589,0.206081198252161,0.174973073227709,0.1358574083163,0.197567690061452,0.161357524856792,0.196278002745786,0.20816027778013,0.211606338160209,0.190651881241976,0.163450121283604,0.266978454951761,0.259227734148033,0.171926069742103,0.190093158043647,0.174487025933724,0.181763614051064,0.227865725919742,0.20251708707927,0.200237115047719,0.238418593026122,0.080983823278419,0.122622965842614,0.165044332522383,0.180197636785674,0.17052714909753,0.123102883521849,0.0359886486198693,0.0894556156428166,0.19159747424182,0.160699347935215,0.175855868539368,0.224461728897664,0.143569045366989,0.221321555089763,0.158552558776414,0.156098986731203,0.226361973911582,0.204915995086409,0.147226002316155,0.234339688014963,0.252803710048268,0.192695726378272,0.224272795887283,0.219838817729247,0.223826648664676,0.188419267148659,0.151311710758098,0.127359195111166,0.155247876977011,0.181617610248704
