"","row","col","corr"
"3","Arnt","Arntl",0.914328431322492
"4","Ahr","Atf1",0.0121244649179811
"10","Atf1","Atf2",0.24128959052601
"14","Atf1","Atf3",0.234489493620027
"15","Atf2","Atf3",0.218724383770128
"20","Atf2","Atf4",0.349861907217198
"22","Ahr","Atf7",0.0412867227332517
"25","Atf1","Atf7",0.691485819760466
"26","Atf2","Atf7",1.59505166397205
"27","Atf3","Atf7",0.284334774157887
"57","Arnt","Bhlhe40",0.531882360541659
"58","Arntl","Bhlhe40",0.637589365728286
"62","Atf4","Bhlhe40",0.00868727847678622
"70","Atf1","Cbfb",0.0803580658533642
"75","Batf","Cbfb",0.285724008034712
"87","Batf","Cdx1",0.168086560546899
"91","Cbfb","Cdx1",0.101224821097701
"95","Atf1","Creb1",1.36261309617507
"96","Atf2","Creb1",0.37404109930839
"97","Atf3","Creb1",0.208178238382454
"99","Atf7","Creb1",0.963089310911138
"104","Cbfb","Creb1",0.0526641106449784
"106","Ahr","Crem",0.0298055861210592
"109","Atf1","Crem",0.997772477586744
"110","Atf2","Crem",0.533858112865459
"111","Atf3","Crem",0.505922062448126
"112","Atf4","Crem",0.0891376139443835
"113","Atf7","Crem",1.03524623981968
"118","Cbfb","Crem",0.0803407750144895
"120","Creb1","Crem",0.988637223286238
"141","Atf2","Ddit3",0.168558689673145
"143","Atf4","Ddit3",0.822252280188918
"145","Batf","Ddit3",0.0100844438074943
"149","Cbfb","Ddit3",0.151908760103853
"168","Creb1","E2f1",0.0279569681719164
"190","E2f1","E2f3",0.332179308159373
"199","Batf","E2f4",0.057556104734662
"208","Ddit3","E2f4",0.0450679080178012
"209","E2f1","E2f4",0.793967391215728
"210","E2f3","E2f4",0.295065360338595
"211","Ahr","Egr1",0.132553410776926
"214","Atf1","Egr1",0.104386911161617
"225","Creb1","Egr1",0.00869339378577997
"226","Crem","Egr1",0.120579539742166
"229","E2f1","Egr1",0.136090760744682
"230","E2f3","Egr1",0.036964050693707
"231","E2f4","Egr1",0.0441763958719274
"232","Ahr","Egr2",0.199222518088387
"235","Atf1","Egr2",0.0270186949691487
"239","Atf7","Egr2",0.0367321378685365
"247","Crem","Egr2",0.108019938789864
"250","E2f1","Egr2",0.0242455335540342
"251","E2f3","Egr2",0.0384489956432602
"253","Egr1","Egr2",1.13036225082647
"254","Ahr","Elf1",0.110192633923269
"273","E2f3","Elf1",0.0159307736995394
"293","Ctcf","Elf2",0.164766702158282
"300","Elf1","Elf2",0.567353812051183
"302","Arnt","Elf4",0.0588582034009537
"324","Elf1","Elf4",0.558383135018004
"325","Elf2","Elf4",0.677714649925555
"326","Ahr","Elk1",0.0859996222508473
"345","E2f3","Elk1",0.00194172866734379
"349","Elf1","Elk1",0.652799273679988
"350","Elf2","Elk1",0.454068179113207
"351","Elf4","Elk1",0.749553592025646
"353","Arnt","Elk3",0.0821468910581037
"354","Arntl","Elk3",0.0510455519096863
"363","Bhlhe40","Elk3",0.205037910409527
"375","Elf1","Elk3",0.434235199404459
"376","Elf2","Elk3",0.128069557957292
"377","Elf4","Elk3",0.966918350775046
"378","Elk1","Elk3",0.88680270157629
"398","E2f3","Elk4",0.0371221090317263
"402","Elf1","Elk4",0.752443001635219
"403","Elf2","Elk4",0.409171195415168
"404","Elf4","Elk4",0.407479258047822
"405","Elk1","Elk4",0.641053510586741
"406","Elk3","Elk4",0.57303212693884
"423","Ctcf","Ets1",0.187411356189194
"430","Elf1","Ets1",0.498421950955879
"431","Elf2","Ets1",0.967726564304834
"432","Elf4","Ets1",0.0280913185136836
"433","Elk1","Ets1",0.352326421351013
"434","Elk3","Ets1",0.00597359885294251
"435","Elk4","Ets1",0.651199212084948
"459","Elf1","Etv3",0.430801629857849
"460","Elf2","Etv3",0.151247153679935
"461","Elf4","Etv3",0.739850776277856
"462","Elk1","Etv3",0.602650301871045
"463","Elk3","Etv3",0.692048558464471
"464","Elk4","Etv3",0.564704065995848
"465","Ets1","Etv3",0.33996894188161
"478","Cbfb","Etv6",0.215701161641787
"481","Crem","Etv6",0.151127944169704
"489","Elf1","Etv6",0.164041160318739
"490","Elf2","Etv6",1.06140746794803
"491","Elf4","Etv6",0.0377303532697906
"492","Elk1","Etv6",0.0848066687241714
"494","Elk4","Etv6",0.096154052265472
"495","Ets1","Etv6",1.35222463733804
"496","Etv3","Etv6",0.368540433893884
"497","Ahr","Fli1",0.0275339567181917
"516","E2f3","Fli1",0.0323351065331008
"520","Elf1","Fli1",0.752050478703326
"521","Elf2","Fli1",0.163168256341009
"522","Elf4","Fli1",0.430345597431286
"523","Elk1","Fli1",0.668675093788803
"524","Elk3","Fli1",0.68553728783822
"525","Elk4","Fli1",0.914681864394546
"526","Ets1","Fli1",0.426116691641963
"527","Etv3","Fli1",0.72987837494283
"537","Batf","Fos",0.924178762690124
"541","Cbfb","Fos",0.00593469669459944
"542","Cdx1","Fos",0.116648365352185
"546","Ddit3","Fos",0.0904433649584975
"549","E2f4","Fos",0.00374335501731137
"570","Batf","Fosb",0.99422660602443
"574","Cbfb","Fosb",0.0303177981983947
"575","Cdx1","Fosb",0.0829541511153303
"595","Fos","Fosb",1.32764243619982
"600","Atf2","Fosl2",0.330871988861811
"601","Atf3","Fosl2",1.57190288410437
"613","Ddit3","Fosl2",0.133900184294347
"629","Fos","Fosl2",0.531488623525407
"630","Fosb","Fosl2",0.483624640484053
"640","Bbx","Foxj3",0.184264150930737
"644","Cdx1","Foxj3",0.193767796620931
"703","Foxj3","Foxn3",1.13558214177067
"710","Atf4","Foxo1",0.0421325779732495
"712","Batf","Foxo1",0.117156537142273
"713","Bbx","Foxo1",0.00147480734810519
"735","Etv6","Foxo1",0.192073449939051
"740","Foxj3","Foxo1",0.754555165884502
"741","Foxn3","Foxo1",0.891229808214354
"750","Batf","Foxo3",0.246408084020961
"754","Cbfb","Foxo3",0.0284359537787305
"775","Fos","Foxo3",0.0344598708512072
"776","Fosb","Foxo3",0.0648798124656344
"778","Foxj3","Foxo3",0.602049550445141
"779","Foxn3","Foxo3",0.674106815597794
"780","Foxo1","Foxo3",1.16841441233565
"814","Fos","Foxp1",0.0422981348781187
"816","Fosl2","Foxp1",0.0516380437731646
"817","Foxj3","Foxp1",0.270224479645285
"818","Foxn3","Foxp1",0.717392540717433
"819","Foxo1","Foxp1",0.870182390758838
"820","Foxo3","Foxp1",1.41776251281115
"840","E2f3","Gabpa",0.0840044461333655
"841","E2f4","Gabpa",0.0475503925752715
"844","Elf1","Gabpa",0.748946759745698
"845","Elf2","Gabpa",0.397473273673608
"846","Elf4","Gabpa",0.720082209610471
"847","Elk1","Gabpa",0.883931615667107
"848","Elk3","Gabpa",0.80774723823867
"849","Elk4","Gabpa",0.74912248183336
"850","Ets1","Gabpa",0.381928794090379
"851","Etv3","Gabpa",0.456547871643709
"853","Fli1","Gabpa",0.729672571638728
"865","Atf1","Gata3",0.119138268820858
"871","Bbx","Gata3",0.706790473017195
"874","Cbfb","Gata3",0.459325673166175
"875","Cdx1","Gata3",0.232207491315461
"876","Creb1","Gata3",0.0422717475713341
"879","Ddit3","Gata3",0.334325994501612
"898","Foxj3","Gata3",0.16255840944446
"899","Foxn3","Gata3",0.0401911007330426
"901","Foxo3","Gata3",0.149669157204519
"906","Arntl","Gfi1",0.0512208161719416
"913","Bbx","Gfi1",0.256082408367296
"914","Bcl6","Gfi1",0.183463348575974
"950","Atf1","Glis3",0.181973503043255
"951","Atf2","Glis3",0.166657733072814
