TF freq type
Zfp324 4851 ko
Hsf2 4848 oe
Zscan20 1196 ko
Cxxc1 690 ko
Hes1 670 oe
Mitf 575 oe
Sp6 550 ko
Etv1 453 oe
Pbx2 444 ko
Foxd2 374 ko
Sp8 348 ko
Gmeb1 331 oe
Atf6 320 ko
Zfp105 316 oe
Zfp113 310 ko
Zfp282 296 ko
Trp73 289 ko
Mybl1 281 oe
Bhlha15 278 oe
Zfp691 264 oe
Tef 261 ko
Plag1 257 oe
Nfe2 255 ko
Vax2 254 ko
Tfec 252 oe
Mef2c 242 ko
Bach1 240 ko
Arid5b 236 ko
Cdc5l 236 ko
Ebf1 236 oe
Pou2f1 236 ko
Pou6f1 236 ko
Zfp652 236 ko
Hinfp 233 ko
Zfp296 232 oe
Zkscan17 231 ko
Nhlh1 228 ko
Lin54 223 ko
Pou1f1 223 oe
Zbtb45 221 ko
Zfp300 221 ko
Zfp647 221 oe
Zik1 221 oe
Ar 220 oe
E2f5 219 ko
Epas1 219 oe
Etv4 219 ko
Mypop 218 oe
Homez 215 ko
Kdm2b 215 oe
Glis2 213 oe
Tead2 213 oe
Zfp90 213 ko
Lcor 212 oe
Gli3 211 oe
Zfp276 210 ko
Rest 209 ko
Sox8 208 oe
Tfap4 207 oe
Dlx1 206 oe
Zbtb20 206 ko
Bcl11b 205 ko
Foxf1 205 oe
Otx2 205 oe
Phf21a 205 ko
Tal1 205 ko
Dmrt2 202 ko
Dpf3 202 oe
Ehf 202 ko
Gata1 202 ko
Gli2 202 oe
Kdm2a 202 ko
Mynn 202 ko
Nr2f2 202 ko
Ovol1 202 oe
Pax8 202 oe
Pbx1 202 ko
Rarb 202 ko
Thrb 202 ko
Zbtb12 202 ko
Zbtb26 202 oe
Zfp174 202 ko
Zfp248 202 ko
Zfp653 202 ko
Zfp69 202 ko
Zfp768 202 ko
Zscan29 202 ko
Hnf4g 201 oe
Grhl1 200 ko
Mafb 200 ko
Hes7 199 ko
Nr6a1 199 oe
Pax5 199 ko
Prdm11 199 ko
Zbtb32 199 ko
Zzz3 199 ko
Esr1 198 ko
Hand2 198 ko
Zbtb37 198 ko
Pou5f1 196 ko
