TF freq type
Hsf2 4616 oe
Zfp324 2228 ko
Pax5 1407 oe
Pbx2 1370 oe
Ar 991 oe
Zfp69 970 ko
Plag1 953 oe
Atf6 819 oe
Nr2f2 741 oe
Bcl11b 709 ko
Bach1 664 oe
Cdc5l 634 oe
Zfp276 568 ko
Hmbox1 499 oe
Bhlha15 464 oe
Hsf4 414 oe
Tfap4 405 oe
Vdr 401 ko
Zbtb26 387 oe
Zbtb12 372 oe
Hic2 353 oe
Mybl1 348 oe
Rest 339 oe
Tef 339 oe
Foxn2 325 oe
Zbtb20 325 ko
Nr1h3 290 ko
Mef2c 284 oe
Zfp282 277 ko
Jrkl 261 oe
Zscan20 254 oe
Zfp90 244 ko
Zfp768 235 ko
E2f5 232 oe
Sp8 232 ko
Six5 230 oe
Zbtb32 230 ko
Glis3 227 oe
Cxxc1 221 ko
Hes1 216 oe
Mybl2 209 ko
Pax9 202 ko
Zik1 193 oe
Vax2 192 ko
Zbtb2 192 ko
Foxd2 188 ko
Grhl1 187 ko
Hnf4a 184 oe
Etv4 183 oe
Mitf 181 oe
Zfp691 179 oe
Klf9 178 ko
Meis1 166 ko
Tigd2 166 oe
Lcor 164 oe
Hoxb4 162 oe
Cphx3 160 oe
Glis2 160 oe
Zbtb37 158 oe
Epas1 156 oe
Glis1 156 ko
Zzz3 156 oe
Arid3b 155 oe
Mafb 152 ko
Pbx1 150 oe
Tead2 149 oe
Esr1 148 oe
Sp6 148 oe
Trp73 148 oe
Gmeb1 147 oe
Mynn 147 ko
Nfix 147 oe
Arid2 146 oe
Tal1 146 oe
Lhx2 136 ko
Pou4f1 136 oe
Zfp113 133 oe
Fosl1 130 oe
Grhl2 126 oe
Lin54 120 ko
Fbxl19 119 oe
Hinfp 119 oe
Sox4 115 oe
Hey1 114 ko
Setbp1 113 oe
Rarb 105 oe
Batf3 104 oe
Zfp647 104 oe
Gata1 100 ko
Zfp653 100 oe
Gli3 98 ko
Myrf 98 oe
Nhlh1 98 ko
Arid5b 97 ko
Prrx2 97 ko
Sox9 97 ko
Creb3l1 95 ko
Homez 95 oe
Zfp174 93 ko
Zfp184 93 oe
